dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,5.0,19.0,20.0,12.0,0.631578947368421,8.0,0.6,0.631578947368421,0.6153846153846154
Foursquare_NYC,CoreFlow,10.0,11.0,10.0,10.0,0.9090909090909091,0.0,1.0,0.9090909090909091,0.9523809523809523
Foursquare_NYC,CoreFlow,15.0,9.0,9.0,8.0,0.8888888888888888,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888
Foursquare_NYC,CoreFlow,20.0,7.0,7.0,7.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,25.0,5.0,5.0,4.0,0.8,1.0,0.8,0.8,0.8000000000000002
Foursquare_NYC,CoreFlow,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,18.0,16.0,13.0,0.7222222222222222,3.0,0.8125,0.7222222222222222,0.7647058823529411
Foursquare_NYC,SentenTree,10.0,10.0,6.0,4.0,0.4,2.0,0.6666666666666666,0.4,0.5
Foursquare_NYC,SentenTree,15.0,9.0,8.0,4.0,0.4444444444444444,4.0,0.5,0.4444444444444444,0.47058823529411764
Foursquare_NYC,SentenTree,20.0,7.0,7.0,4.0,0.5714285714285714,3.0,0.5714285714285714,0.5714285714285714,0.5714285714285714
Foursquare_NYC,SentenTree,25.0,4.0,3.0,3.0,0.75,0.0,1.0,0.75,0.8571428571428571
Foursquare_NYC,SentenTree,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,5.0,16.0,16.0,16.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,10.0,20.0,14.0,14.0,0.7,0.0,1.0,0.7,0.8235294117647058
Foursquare_NYC,Sequence Synopsis,15.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAST,CoreFlow,5.0,6.0,4.0,4.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.8
VAST,CoreFlow,10.0,4.0,3.0,3.0,0.75,0.0,1.0,0.75,0.8571428571428571
VAST,SentenTree,5.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAST,SentenTree,10.0,16.0,14.0,12.0,0.75,2.0,0.8571428571428571,0.75,0.7999999999999999
VAST,SentenTree,15.0,11.0,11.0,8.0,0.7272727272727273,3.0,0.7272727272727273,0.7272727272727273,0.7272727272727273
VAST,SentenTree,20.0,10.0,10.0,10.0,1.0,0.0,1.0,1.0,1.0
VAST,SentenTree,25.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
VAST,Sequence Synopsis,5.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAST,Sequence Synopsis,15.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAST,Sequence Synopsis,20.0,83.0,40.0,32.0,0.3855421686746988,8.0,0.8,0.3855421686746988,0.5203252032520325
VAST,Sequence Synopsis,25.0,71.0,34.0,31.0,0.43661971830985913,3.0,0.9117647058823529,0.43661971830985913,0.5904761904761904
career,CoreFlow,5.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
career,CoreFlow,10.0,19.0,16.0,8.0,0.42105263157894735,8.0,0.5,0.42105263157894735,0.45714285714285713
career,CoreFlow,15.0,13.0,12.0,5.0,0.38461538461538464,7.0,0.4166666666666667,0.38461538461538464,0.4
career,CoreFlow,20.0,9.0,10.0,5.0,0.5555555555555556,5.0,0.5,0.5555555555555556,0.5263157894736842
career,SentenTree,5.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
career,SentenTree,10.0,23.0,24.0,9.0,0.391304347826087,15.0,0.375,0.391304347826087,0.3829787234042554
career,SentenTree,15.0,15.0,14.0,4.0,0.26666666666666666,10.0,0.2857142857142857,0.26666666666666666,0.2758620689655172
career,SentenTree,20.0,12.0,11.0,3.0,0.25,8.0,0.2727272727272727,0.25,0.2608695652173913
career,SentenTree,25.0,10.0,8.0,4.0,0.4,4.0,0.5,0.4,0.4444444444444445
career,Sequence Synopsis,5.0,50.0,35.0,33.0,0.66,2.0,0.9428571428571428,0.66,0.7764705882352942
career,Sequence Synopsis,10.0,36.0,24.0,24.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.8
career,Sequence Synopsis,15.0,49.0,55.0,45.0,0.9183673469387755,10.0,0.8181818181818182,0.9183673469387755,0.8653846153846154
career,Sequence Synopsis,25.0,50.0,58.0,43.0,0.86,15.0,0.7413793103448276,0.86,0.7962962962962963
career,Sequence Synopsis,30.0,40.0,39.0,39.0,0.975,0.0,1.0,0.975,0.9873417721518987
chicago_baseball,CoreFlow,5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chicago_baseball,CoreFlow,10.0,12.0,12.0,10.0,0.8333333333333334,2.0,0.8333333333333334,0.8333333333333334,0.8333333333333334
chicago_baseball,CoreFlow,15.0,8.0,7.0,6.0,0.75,1.0,0.8571428571428571,0.75,0.7999999999999999
chicago_baseball,CoreFlow,25.0,6.0,6.0,4.0,0.6666666666666666,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
