dataset,technique,parameter_value,attribute,value,gt_count,llm_count,hallucinated_count
Foursquare_NYC,CoreFlow,5.0,fast food->exit,43,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,fast food->fast food,106,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,fast food->restaurant,182,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,restaurant->exit,28,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,restaurant->exit,43,2.0,3.0,1.0
Foursquare_NYC,CoreFlow,5.0,restaurant->exit,71,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,restaurant->fast food,43,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,restaurant->fast food,112,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,exit->exit,106,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,25.0,exit->exit,182,0.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,fast food->exit,71,0.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,fast food->exit,106,0.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,fast food->fast food,76,0.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,fast food->exit,182,0.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,start->restaurant,188,0.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,restaurant->exit,137,0.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,restaurant->gym,155,0.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,start->exit,137,0.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,start->restaurant,188,0.0,1.0,1.0
Foursquare_NYC,SentenTree,20.0,exit->exit,182,0.0,1.0,1.0
Foursquare_NYC,SentenTree,20.0,start->exit,137,0.0,1.0,1.0
Foursquare_NYC,SentenTree,20.0,start->restaurant,188,0.0,1.0,1.0
VAST,SentenTree,10.0,general gate->general gate,13,1.0,2.0,1.0
VAST,SentenTree,10.0,general gate->ranger-stop,70,0.0,1.0,1.0
VAST,SentenTree,15.0,entrance->general gate,2,0.0,1.0,1.0
VAST,SentenTree,15.0,general gate->exit,60,0.0,1.0,1.0
VAST,SentenTree,15.0,general gate->general gate,21,1.0,2.0,1.0
VAST,Sequence Synopsis,20.0,entrance,13,1.0,2.0,1.0
VAST,Sequence Synopsis,20.0,entrance,14,1.0,2.0,1.0
VAST,Sequence Synopsis,20.0,exit,4,0.0,1.0,1.0
VAST,Sequence Synopsis,20.0,exit,13,1.0,2.0,1.0
VAST,Sequence Synopsis,20.0,exit,14,1.0,2.0,1.0
VAST,Sequence Synopsis,20.0,ranger-stop,11,2.0,4.0,2.0
VAST,Sequence Synopsis,20.0,ranger-stop,24,2.0,3.0,1.0
VAST,Sequence Synopsis,25.0,exit,4,0.0,1.0,1.0
VAST,Sequence Synopsis,25.0,ranger-stop,11,2.0,3.0,1.0
VAST,Sequence Synopsis,25.0,ranger-stop,24,2.0,3.0,1.0
career,CoreFlow,10.0,bs->professor,7,0.0,1.0,1.0
career,CoreFlow,10.0,conference->exit,4,1.0,2.0,1.0
career,CoreFlow,10.0,conference->professor,25,0.0,1.0,1.0
career,CoreFlow,10.0,ms->professor,8,0.0,1.0,1.0
career,CoreFlow,10.0,professor->exit,2,0.0,1.0,1.0
career,CoreFlow,10.0,professor->journal,5,0.0,1.0,1.0
career,CoreFlow,10.0,start->conference,40,0.0,1.0,1.0
career,CoreFlow,10.0,start->ms,40,0.0,1.0,1.0
career,CoreFlow,15.0,bs->professor,25,0.0,1.0,1.0
career,CoreFlow,15.0,conference->exit,7,1.0,2.0,1.0
career,CoreFlow,15.0,conference->professor,8,0.0,1.0,1.0
career,CoreFlow,15.0,ms->professor,7,0.0,1.0,1.0
career,CoreFlow,15.0,professor->exit,7,0.0,1.0,1.0
career,CoreFlow,15.0,start->conference,40,0.0,1.0,1.0
career,CoreFlow,15.0,start->ms,40,0.0,1.0,1.0
career,CoreFlow,20.0,bs->professor,40,0.0,1.0,1.0
career,CoreFlow,20.0,conference->professor,9,0.0,1.0,1.0
career,CoreFlow,20.0,ms->professor,40,0.0,1.0,1.0
career,CoreFlow,20.0,start->conference,40,0.0,1.0,1.0
career,CoreFlow,20.0,start->ms,40,0.0,1.0,1.0
career,SentenTree,10.0,bs->conference,33,0.0,1.0,1.0
career,SentenTree,10.0,conference->conference,2,0.0,1.0,1.0
career,SentenTree,10.0,conference->conference,7,1.0,2.0,1.0
career,SentenTree,10.0,conference->conference,10,1.0,2.0,1.0
career,SentenTree,10.0,conference->conference,15,1.0,2.0,1.0
career,SentenTree,10.0,conference->exit,3,0.0,1.0,1.0
career,SentenTree,10.0,conference->exit,5,1.0,2.0,1.0
career,SentenTree,10.0,conference->journal,8,0.0,1.0,1.0
career,SentenTree,10.0,conference->professor,4,0.0,1.0,1.0
career,SentenTree,10.0,journal->professor,13,0.0,1.0,1.0
career,SentenTree,10.0,ms->conference,25,0.0,1.0,1.0
career,SentenTree,10.0,professor->exit,7,0.0,1.0,1.0
career,SentenTree,10.0,professor->journal,5,0.0,1.0,1.0
career,SentenTree,10.0,start->conference,38,0.0,1.0,1.0
career,SentenTree,10.0,start->ms,40,0.0,1.0,1.0
career,SentenTree,15.0,bs->conference,25,0.0,1.0,1.0
career,SentenTree,15.0,conference->exit,7,0.0,1.0,1.0
career,SentenTree,15.0,conference->journal,15,0.0,1.0,1.0
career,SentenTree,15.0,conference->professor,10,0.0,1.0,1.0
career,SentenTree,15.0,journal->conference,26,0.0,1.0,1.0
career,SentenTree,15.0,journal->professor,8,0.0,1.0,1.0
career,SentenTree,15.0,ms->conference,20,0.0,1.0,1.0
career,SentenTree,15.0,start->conference,38,0.0,1.0,1.0
career,SentenTree,15.0,start->journal,33,0.0,1.0,1.0
career,SentenTree,15.0,start->ms,40,0.0,1.0,1.0
career,SentenTree,20.0,bs->conference,25,0.0,1.0,1.0
career,SentenTree,20.0,conference->exit,18,0.0,1.0,1.0
career,SentenTree,20.0,journal->conference,10,0.0,1.0,1.0
career,SentenTree,20.0,ms->conference,20,0.0,1.0,1.0
career,SentenTree,20.0,professor->conference,10,0.0,1.0,1.0
career,SentenTree,20.0,start->conference,38,0.0,1.0,1.0
career,SentenTree,20.0,start->journal,33,0.0,1.0,1.0
career,SentenTree,20.0,start->ms,40,0.0,1.0,1.0
career,SentenTree,25.0,conference->exit,15,0.0,1.0,1.0
career,SentenTree,25.0,conference->journal,38,0.0,1.0,1.0
career,SentenTree,25.0,conference->professor,25,0.0,1.0,1.0
career,SentenTree,25.0,journal->conference,33,0.0,1.0,1.0
career,Sequence Synopsis,5.0,exit,5,1.0,2.0,1.0
career,Sequence Synopsis,5.0,journal,3,2.0,3.0,1.0
career,Sequence Synopsis,15.0,assistant professor,6,1.0,2.0,1.0
career,Sequence Synopsis,15.0,associate professor,6,1.0,2.0,1.0
career,Sequence Synopsis,15.0,conference,3,1.0,2.0,1.0
career,Sequence Synopsis,15.0,conference,5,3.0,4.0,1.0
career,Sequence Synopsis,15.0,conference,8,3.0,5.0,2.0
career,Sequence Synopsis,15.0,exit,3,1.0,2.0,1.0
career,Sequence Synopsis,15.0,journal,6,2.0,4.0,2.0
career,Sequence Synopsis,15.0,phd,6,2.0,3.0,1.0
career,Sequence Synopsis,25.0,assistant professor,11,1.0,2.0,1.0
career,Sequence Synopsis,25.0,associate professor,11,1.0,2.0,1.0
career,Sequence Synopsis,25.0,conference,4,0.0,3.0,3.0
career,Sequence Synopsis,25.0,conference,5,2.0,3.0,1.0
career,Sequence Synopsis,25.0,conference,6,5.0,6.0,1.0
career,Sequence Synopsis,25.0,conference,7,2.0,4.0,2.0
career,Sequence Synopsis,25.0,conference,10,1.0,2.0,1.0
career,Sequence Synopsis,25.0,conference,11,1.0,3.0,2.0
career,Sequence Synopsis,25.0,journal,6,1.0,3.0,2.0
career,Sequence Synopsis,25.0,ms,22,1.0,2.0,1.0
chicago_baseball,CoreFlow,10.0,team-1 foul->exit,49,0.0,1.0,1.0
chicago_baseball,CoreFlow,10.0,team-1 offense->exit,18,0.0,1.0,1.0
chicago_baseball,CoreFlow,15.0,exit->exit,0,0.0,1.0,1.0
chicago_baseball,CoreFlow,25.0,start->chicago offense,167,0.0,1.0,1.0
chicago_baseball,CoreFlow,25.0,start->defensive rebound,63,0.0,1.0,1.0
chicago_baseball,SentenTree,5.0,made free throw->exit,9,0.0,1.0,1.0
chicago_baseball,SentenTree,5.0,made free throw->exit,11,0.0,1.0,1.0
chicago_baseball,SentenTree,5.0,missed shot-2->exit,9,1.0,2.0,1.0
chicago_baseball,SentenTree,5.0,missed shot-2->exit,11,1.0,2.0,1.0
chicago_baseball,SentenTree,5.0,opponent offense->exit,29,0.0,1.0,1.0
chicago_baseball,SentenTree,5.0,opponent offense->foul,11,0.0,1.0,1.0
chicago_baseball,SentenTree,5.0,opponent offense->made free throw,9,0.0,1.0,1.0
chicago_baseball,SentenTree,5.0,opponent offense->missed shot-2,45,0.0,1.0,1.0
chicago_baseball,SentenTree,5.0,opponent offense->missed shot-3,0,0.0,1.0,1.0
chicago_baseball,SentenTree,5.0,start->chicago offense,168,0.0,1.0,1.0
chicago_baseball,SentenTree,10.0,exit->exit,18,0.0,1.0,1.0
chicago_baseball,SentenTree,10.0,opponent offense->missed shot-2,49,0.0,1.0,1.0
