dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,5.0,19.0,20.0,12.0,0.631578947368421,8.0,0.6,0.631578947368421,0.6153846153846154
Foursquare_NYC,Sequence Synopsis,15.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAST,SentenTree,5.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAST,Sequence Synopsis,5.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAST,Sequence Synopsis,15.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
career,CoreFlow,5.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
career,CoreFlow,10.0,19.0,16.0,8.0,0.42105263157894735,8.0,0.5,0.42105263157894735,0.45714285714285713
career,SentenTree,5.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
career,SentenTree,10.0,23.0,24.0,9.0,0.391304347826087,15.0,0.375,0.391304347826087,0.3829787234042554
chicago_baseball,CoreFlow,5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chicago_baseball,SentenTree,5.0,25.0,22.0,12.0,0.48,10.0,0.5454545454545454,0.48,0.5106382978723404
pediatric_trauma,CoreFlow,5.0,17.0,15.0,15.0,0.8823529411764706,0.0,1.0,0.8823529411764706,0.9375
pediatric_trauma,SentenTree,5.0,30.0,29.0,3.0,0.1,26.0,0.10344827586206896,0.1,0.10169491525423728
process_mining,CoreFlow,5.0,19.0,18.0,4.0,0.21052631578947367,14.0,0.2222222222222222,0.21052631578947367,0.21621621621621623
test,CoreFlow,5.0,20.0,17.0,13.0,0.65,4.0,0.7647058823529411,0.65,0.7027027027027027
test,SentenTree,5.0,37.0,17.0,10.0,0.2702702702702703,7.0,0.5882352941176471,0.2702702702702703,0.37037037037037035
umdvsunc_D2O_basketball,CoreFlow,5.0,22.0,24.0,14.0,0.6363636363636364,10.0,0.5833333333333334,0.6363636363636364,0.6086956521739131
umdvsunc_D2O_basketball,SentenTree,5.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vast_1000,SentenTree,5.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
