dataset,technique,parameter_value,attribute,value,gt_count,llm_count,hallucinated_count
Foursquare_NYC,CoreFlow,15.0,exit->exit,106,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,25.0,exit->exit,182,0.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,fast food->exit,182,0.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,start->restaurant,188,0.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,restaurant->exit,137,0.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,restaurant->gym,155,0.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,start->exit,137,0.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,start->restaurant,188,0.0,1.0,1.0
Foursquare_NYC,SentenTree,20.0,exit->exit,182,0.0,1.0,1.0
Foursquare_NYC,SentenTree,20.0,start->exit,137,0.0,1.0,1.0
Foursquare_NYC,SentenTree,20.0,start->restaurant,188,0.0,1.0,1.0
VAST,SentenTree,15.0,entrance->general gate,2,0.0,1.0,1.0
VAST,SentenTree,15.0,general gate->exit,60,0.0,1.0,1.0
VAST,SentenTree,15.0,general gate->general gate,21,1.0,2.0,1.0
career,CoreFlow,20.0,bs->professor,40,0.0,1.0,1.0
career,CoreFlow,20.0,conference->professor,9,0.0,1.0,1.0
career,CoreFlow,20.0,ms->professor,40,0.0,1.0,1.0
career,CoreFlow,20.0,start->conference,40,0.0,1.0,1.0
career,CoreFlow,20.0,start->ms,40,0.0,1.0,1.0
career,SentenTree,25.0,conference->exit,15,0.0,1.0,1.0
career,SentenTree,25.0,conference->journal,38,0.0,1.0,1.0
career,SentenTree,25.0,conference->professor,25,0.0,1.0,1.0
career,SentenTree,25.0,journal->conference,33,0.0,1.0,1.0
career,Sequence Synopsis,5.0,exit,5,1.0,2.0,1.0
career,Sequence Synopsis,5.0,journal,3,2.0,3.0,1.0
career,Sequence Synopsis,15.0,assistant professor,6,1.0,2.0,1.0
career,Sequence Synopsis,15.0,associate professor,6,1.0,2.0,1.0
career,Sequence Synopsis,15.0,conference,3,1.0,2.0,1.0
career,Sequence Synopsis,15.0,conference,5,3.0,4.0,1.0
career,Sequence Synopsis,15.0,conference,8,3.0,5.0,2.0
career,Sequence Synopsis,15.0,exit,3,1.0,2.0,1.0
career,Sequence Synopsis,15.0,journal,6,2.0,4.0,2.0
career,Sequence Synopsis,15.0,phd,6,2.0,3.0,1.0
career,Sequence Synopsis,25.0,assistant professor,11,1.0,2.0,1.0
career,Sequence Synopsis,25.0,associate professor,11,1.0,2.0,1.0
career,Sequence Synopsis,25.0,conference,4,0.0,3.0,3.0
career,Sequence Synopsis,25.0,conference,5,2.0,3.0,1.0
career,Sequence Synopsis,25.0,conference,6,5.0,6.0,1.0
career,Sequence Synopsis,25.0,conference,7,2.0,4.0,2.0
career,Sequence Synopsis,25.0,conference,10,1.0,2.0,1.0
career,Sequence Synopsis,25.0,conference,11,1.0,3.0,2.0
career,Sequence Synopsis,25.0,journal,6,1.0,3.0,2.0
career,Sequence Synopsis,25.0,ms,22,1.0,2.0,1.0
chicago_baseball,CoreFlow,15.0,exit->exit,0,0.0,1.0,1.0
chicago_baseball,CoreFlow,25.0,start->chicago offense,167,0.0,1.0,1.0
chicago_baseball,CoreFlow,25.0,start->defensive rebound,63,0.0,1.0,1.0
chicago_baseball,SentenTree,15.0,opponent offense->missed shot-2,49,0.0,1.0,1.0
chicago_baseball,SentenTree,20.0,made shot-2->exit,45,0.0,1.0,1.0
chicago_baseball,SentenTree,20.0,missed shot-2->exit,43,0.0,1.0,1.0
chicago_baseball,Sequence Synopsis,10.0,team-1 offensive rebound,13,0.0,1.0,1.0
chicago_baseball,Sequence Synopsis,30.0,end of period,123,0.0,1.0,1.0
emergency_dataset,CoreFlow,25.0,exit->exit,36,0.0,1.0,1.0
emergency_dataset,SentenTree,25.0,exit->exit,36,0.0,1.0,1.0
emergency_dataset,SentenTree,30.0,icu->exit,36,0.0,1.0,1.0
emergency_dataset,Sequence Synopsis,5.0,die,18,1.0,2.0,1.0
emergency_dataset,Sequence Synopsis,5.0,exit,27,1.0,2.0,1.0
emergency_dataset,Sequence Synopsis,5.0,floor,20,0.0,1.0,1.0
emergency_dataset,Sequence Synopsis,5.0,icu,24,1.0,2.0,1.0
pediatric_trauma,CoreFlow,30.0,blanket->pupil,161,0.0,1.0,1.0
pediatric_trauma,SentenTree,15.0,pupil->secondarysurvey,38,0.0,1.0,1.0
pediatric_trauma,SentenTree,15.0,secondarysurvey->pupil,161,0.0,1.0,1.0
pediatric_trauma,SentenTree,20.0,pupil->secondarysurvey,67,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,30.0,airway,4,2.0,3.0,1.0
process_mining,CoreFlow,15.0,exit->exit,13,0.0,1.0,1.0
process_mining,SentenTree,15.0,commit changes->commit changes,17,0.0,1.0,1.0
test,CoreFlow,20.0,f->exit,2,0.0,1.0,1.0
test,CoreFlow,20.0,start->g,2,0.0,1.0,1.0
umdvsunc_D2O_basketball,CoreFlow,15.0,start->umd offense,69,0.0,1.0,1.0
umdvsunc_D2O_basketball,CoreFlow,15.0,umd offense->rebound,21,0.0,1.0,1.0
umdvsunc_D2O_basketball,CoreFlow,15.0,unc offense->missed shot,14,0.0,1.0,1.0
umdvsunc_D2O_basketball,CoreFlow,15.0,unc offense->rebound,34,0.0,1.0,1.0
umdvsunc_D2O_basketball,CoreFlow,25.0,start->umd offense,69,0.0,1.0,1.0
umdvsunc_D2O_basketball,CoreFlow,25.0,unc offense->rebound,34,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,15.0,made shot->exit,22,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,15.0,made shot->rebound,15,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,15.0,start->rebound,15,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,15.0,unc offense->missed shot,23,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,25.0,exit->exit,22,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,25.0,exit->exit,24,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,25.0,exit->exit,34,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,25.0,made shot->exit,22,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,25.0,missed shot->exit,24,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,25.0,start->made shot,22,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,25.0,start->missed shot,24,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,25.0,unc offense->made shot,23,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,25.0,unc offense->missed shot,22,0.0,1.0,1.0
vast_1000,CoreFlow,5.0,ranger-base->exit,53,1.0,2.0,1.0
vast_1000,CoreFlow,10.0,exit->exit,945,0.0,1.0,1.0
