dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,10.0,11.0,10.0,10.0,0.9090909090909091,0.0,1.0,0.9090909090909091,0.9523809523809523
Foursquare_NYC,SentenTree,5.0,18.0,16.0,13.0,0.7222222222222222,3.0,0.8125,0.7222222222222222,0.7647058823529411
VAST,SentenTree,10.0,16.0,14.0,12.0,0.75,2.0,0.8571428571428571,0.75,0.7999999999999999
VAST,Sequence Synopsis,20.0,83.0,40.0,32.0,0.3855421686746988,8.0,0.8,0.3855421686746988,0.5203252032520325
VAST,Sequence Synopsis,25.0,71.0,34.0,31.0,0.43661971830985913,3.0,0.9117647058823529,0.43661971830985913,0.5904761904761904
career,CoreFlow,15.0,13.0,12.0,5.0,0.38461538461538464,7.0,0.4166666666666667,0.38461538461538464,0.4
career,SentenTree,15.0,15.0,14.0,4.0,0.26666666666666666,10.0,0.2857142857142857,0.26666666666666666,0.2758620689655172
career,SentenTree,20.0,12.0,11.0,3.0,0.25,8.0,0.2727272727272727,0.25,0.2608695652173913
chicago_baseball,CoreFlow,10.0,12.0,12.0,10.0,0.8333333333333334,2.0,0.8333333333333334,0.8333333333333334,0.8333333333333334
chicago_baseball,SentenTree,10.0,13.0,12.0,10.0,0.7692307692307693,2.0,0.8333333333333334,0.7692307692307693,0.8
emergency_dataset,CoreFlow,5.0,11.0,11.0,8.0,0.7272727272727273,3.0,0.7272727272727273,0.7272727272727273,0.7272727272727273
emergency_dataset,SentenTree,5.0,14.0,13.0,9.0,0.6428571428571429,4.0,0.6923076923076923,0.6428571428571429,0.6666666666666666
emergency_dataset,SentenTree,10.0,12.0,11.0,8.0,0.6666666666666666,3.0,0.7272727272727273,0.6666666666666666,0.6956521739130435
emergency_dataset,SentenTree,15.0,12.0,12.0,11.0,0.9166666666666666,1.0,0.9166666666666666,0.9166666666666666,0.9166666666666666
pediatric_trauma,CoreFlow,15.0,11.0,9.0,4.0,0.36363636363636365,5.0,0.4444444444444444,0.36363636363636365,0.39999999999999997
pediatric_trauma,SentenTree,10.0,18.0,16.0,5.0,0.2777777777777778,11.0,0.3125,0.2777777777777778,0.29411764705882354
pediatric_trauma,Sequence Synopsis,5.0,63.0,66.0,50.0,0.7936507936507936,16.0,0.7575757575757576,0.7936507936507936,0.7751937984496123
pediatric_trauma,Sequence Synopsis,15.0,45.0,28.0,27.0,0.6,1.0,0.9642857142857143,0.6,0.7397260273972602
pediatric_trauma,Sequence Synopsis,20.0,58.0,40.0,37.0,0.6379310344827587,3.0,0.925,0.6379310344827587,0.7551020408163266
process_mining,CoreFlow,10.0,13.0,12.0,9.0,0.6923076923076923,3.0,0.75,0.6923076923076923,0.7199999999999999
process_mining,SentenTree,5.0,20.0,18.0,10.0,0.5,8.0,0.5555555555555556,0.5,0.5263157894736842
process_mining,SentenTree,10.0,13.0,12.0,8.0,0.6153846153846154,4.0,0.6666666666666666,0.6153846153846154,0.64
process_mining,Sequence Synopsis,5.0,33.0,19.0,19.0,0.5757575757575758,0.0,1.0,0.5757575757575758,0.7307692307692308
process_mining,Sequence Synopsis,10.0,33.0,32.0,26.0,0.7878787878787878,6.0,0.8125,0.7878787878787878,0.8
process_mining,Sequence Synopsis,15.0,33.0,41.0,28.0,0.8484848484848485,13.0,0.6829268292682927,0.8484848484848485,0.7567567567567567
process_mining,Sequence Synopsis,20.0,33.0,30.0,30.0,0.9090909090909091,0.0,1.0,0.9090909090909091,0.9523809523809523
process_mining,Sequence Synopsis,25.0,33.0,29.0,29.0,0.8787878787878788,0.0,1.0,0.8787878787878788,0.9354838709677419
process_mining,Sequence Synopsis,30.0,33.0,27.0,27.0,0.8181818181818182,0.0,1.0,0.8181818181818182,0.9
umdvsunc_D2O_basketball,CoreFlow,10.0,15.0,17.0,9.0,0.6,8.0,0.5294117647058824,0.6,0.5625
umdvsunc_D2O_basketball,SentenTree,10.0,20.0,22.0,6.0,0.3,16.0,0.2727272727272727,0.3,0.28571428571428564
umdvsunc_D2O_basketball,Sequence Synopsis,5.0,40.0,33.0,33.0,0.825,0.0,1.0,0.825,0.9041095890410958
umdvsunc_D2O_basketball,Sequence Synopsis,30.0,40.0,31.0,28.0,0.7,3.0,0.9032258064516129,0.7,0.7887323943661972
vast_1000,SentenTree,10.0,13.0,13.0,13.0,1.0,0.0,1.0,1.0,1.0
