dataset,technique,parameter_value,attribute,value,gt_count,llm_count,hallucinated_count
Foursquare_NYC,SentenTree,5.0,fast food->exit,71,0.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,fast food->exit,106,0.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,fast food->fast food,76,0.0,1.0,1.0
VAST,SentenTree,10.0,general gate->general gate,13,1.0,2.0,1.0
VAST,SentenTree,10.0,general gate->ranger-stop,70,0.0,1.0,1.0
VAST,Sequence Synopsis,20.0,entrance,13,1.0,2.0,1.0
VAST,Sequence Synopsis,20.0,entrance,14,1.0,2.0,1.0
VAST,Sequence Synopsis,20.0,exit,4,0.0,1.0,1.0
VAST,Sequence Synopsis,20.0,exit,13,1.0,2.0,1.0
VAST,Sequence Synopsis,20.0,exit,14,1.0,2.0,1.0
VAST,Sequence Synopsis,20.0,ranger-stop,11,2.0,4.0,2.0
VAST,Sequence Synopsis,20.0,ranger-stop,24,2.0,3.0,1.0
VAST,Sequence Synopsis,25.0,exit,4,0.0,1.0,1.0
VAST,Sequence Synopsis,25.0,ranger-stop,11,2.0,3.0,1.0
VAST,Sequence Synopsis,25.0,ranger-stop,24,2.0,3.0,1.0
career,CoreFlow,15.0,bs->professor,25,0.0,1.0,1.0
career,CoreFlow,15.0,conference->exit,7,1.0,2.0,1.0
career,CoreFlow,15.0,conference->professor,8,0.0,1.0,1.0
career,CoreFlow,15.0,ms->professor,7,0.0,1.0,1.0
career,CoreFlow,15.0,professor->exit,7,0.0,1.0,1.0
career,CoreFlow,15.0,start->conference,40,0.0,1.0,1.0
career,CoreFlow,15.0,start->ms,40,0.0,1.0,1.0
career,SentenTree,15.0,bs->conference,25,0.0,1.0,1.0
career,SentenTree,15.0,conference->exit,7,0.0,1.0,1.0
career,SentenTree,15.0,conference->journal,15,0.0,1.0,1.0
career,SentenTree,15.0,conference->professor,10,0.0,1.0,1.0
career,SentenTree,15.0,journal->conference,26,0.0,1.0,1.0
career,SentenTree,15.0,journal->professor,8,0.0,1.0,1.0
career,SentenTree,15.0,ms->conference,20,0.0,1.0,1.0
career,SentenTree,15.0,start->conference,38,0.0,1.0,1.0
career,SentenTree,15.0,start->journal,33,0.0,1.0,1.0
career,SentenTree,15.0,start->ms,40,0.0,1.0,1.0
