dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,15.0,9.0,9.0,8.0,0.8888888888888888,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888
Foursquare_NYC,CoreFlow,20.0,7.0,7.0,7.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,25.0,5.0,5.0,4.0,0.8,1.0,0.8,0.8,0.8000000000000002
Foursquare_NYC,CoreFlow,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,9.0,8.0,4.0,0.4444444444444444,4.0,0.5,0.4444444444444444,0.47058823529411764
Foursquare_NYC,SentenTree,20.0,7.0,7.0,4.0,0.5714285714285714,3.0,0.5714285714285714,0.5714285714285714,0.5714285714285714
Foursquare_NYC,SentenTree,25.0,4.0,3.0,3.0,0.75,0.0,1.0,0.75,0.8571428571428571
Foursquare_NYC,SentenTree,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,5.0,16.0,16.0,16.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,10.0,20.0,14.0,14.0,0.7,0.0,1.0,0.7,0.8235294117647058
VAST,CoreFlow,5.0,6.0,4.0,4.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.8
VAST,CoreFlow,10.0,4.0,3.0,3.0,0.75,0.0,1.0,0.75,0.8571428571428571
VAST,SentenTree,15.0,11.0,11.0,8.0,0.7272727272727273,3.0,0.7272727272727273,0.7272727272727273,0.7272727272727273
VAST,SentenTree,20.0,10.0,10.0,10.0,1.0,0.0,1.0,1.0,1.0
VAST,SentenTree,25.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
career,CoreFlow,20.0,9.0,10.0,5.0,0.5555555555555556,5.0,0.5,0.5555555555555556,0.5263157894736842
chicago_baseball,CoreFlow,15.0,8.0,7.0,6.0,0.75,1.0,0.8571428571428571,0.75,0.7999999999999999
chicago_baseball,CoreFlow,25.0,6.0,6.0,4.0,0.6666666666666666,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
chicago_baseball,SentenTree,15.0,11.0,10.0,9.0,0.8181818181818182,1.0,0.9,0.8181818181818182,0.8571428571428572
chicago_baseball,SentenTree,20.0,9.0,9.0,7.0,0.7777777777777778,2.0,0.7777777777777778,0.7777777777777778,0.7777777777777778
chicago_baseball,SentenTree,30.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,5.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,10.0,15.0,9.0,8.0,0.5333333333333333,1.0,0.8888888888888888,0.5333333333333333,0.6666666666666667
chicago_baseball,Sequence Synopsis,15.0,6.0,6.0,6.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,20.0,21.0,17.0,17.0,0.8095238095238095,0.0,1.0,0.8095238095238095,0.8947368421052632
chicago_baseball,Sequence Synopsis,25.0,31.0,19.0,19.0,0.6129032258064516,0.0,1.0,0.6129032258064516,0.76
chicago_baseball,Sequence Synopsis,30.0,25.0,19.0,18.0,0.72,1.0,0.9473684210526315,0.72,0.8181818181818181
emergency_dataset,CoreFlow,25.0,8.0,8.0,7.0,0.875,1.0,0.875,0.875,0.875
emergency_dataset,SentenTree,25.0,8.0,8.0,7.0,0.875,1.0,0.875,0.875,0.875
emergency_dataset,SentenTree,30.0,7.0,7.0,6.0,0.8571428571428571,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571
emergency_dataset,Sequence Synopsis,5.0,25.0,24.0,20.0,0.8,4.0,0.8333333333333334,0.8,0.816326530612245
pediatric_trauma,CoreFlow,30.0,9.0,9.0,8.0,0.8888888888888888,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888
pediatric_trauma,SentenTree,15.0,10.0,8.0,6.0,0.6,2.0,0.75,0.6,0.6666666666666665
pediatric_trauma,SentenTree,20.0,8.0,7.0,6.0,0.75,1.0,0.8571428571428571,0.75,0.7999999999999999
pediatric_trauma,Sequence Synopsis,10.0,31.0,27.0,27.0,0.8709677419354839,0.0,1.0,0.8709677419354839,0.9310344827586207
process_mining,CoreFlow,15.0,7.0,7.0,6.0,0.8571428571428571,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571
process_mining,CoreFlow,20.0,5.0,4.0,4.0,0.8,0.0,1.0,0.8,0.888888888888889
process_mining,CoreFlow,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
process_mining,SentenTree,15.0,7.0,6.0,5.0,0.7142857142857143,1.0,0.8333333333333334,0.7142857142857143,0.7692307692307692
process_mining,SentenTree,20.0,5.0,4.0,4.0,0.8,0.0,1.0,0.8,0.888888888888889
process_mining,SentenTree,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
test,CoreFlow,20.0,8.0,7.0,5.0,0.625,2.0,0.7142857142857143,0.625,0.6666666666666666
test,SentenTree,20.0,8.0,6.0,6.0,0.75,0.0,1.0,0.75,0.8571428571428571
test,Sequence Synopsis,5.0,24.0,23.0,23.0,0.9583333333333334,0.0,1.0,0.9583333333333334,0.9787234042553191
umdvsunc_D2O_basketball,CoreFlow,15.0,9.0,9.0,5.0,0.5555555555555556,4.0,0.5555555555555556,0.5555555555555556,0.5555555555555556
umdvsunc_D2O_basketball,CoreFlow,25.0,5.0,5.0,3.0,0.6,2.0,0.6,0.6,0.6
umdvsunc_D2O_basketball,SentenTree,15.0,10.0,10.0,6.0,0.6,4.0,0.6,0.6,0.6
umdvsunc_D2O_basketball,SentenTree,25.0,9.0,10.0,1.0,0.1111111111111111,9.0,0.1,0.1111111111111111,0.10526315789473685
umdvsunc_D2O_basketball,Sequence Synopsis,15.0,32.0,22.0,22.0,0.6875,0.0,1.0,0.6875,0.8148148148148148
umdvsunc_D2O_basketball,Sequence Synopsis,20.0,25.0,21.0,21.0,0.84,0.0,1.0,0.84,0.9130434782608696
umdvsunc_D2O_basketball,Sequence Synopsis,25.0,32.0,20.0,20.0,0.625,0.0,1.0,0.625,0.7692307692307693
vast_1000,CoreFlow,5.0,7.0,6.0,5.0,0.7142857142857143,1.0,0.8333333333333334,0.7142857142857143,0.7692307692307692
vast_1000,CoreFlow,10.0,5.0,5.0,4.0,0.8,1.0,0.8,0.8,0.8000000000000002
vast_1000,SentenTree,15.0,11.0,10.0,10.0,0.9090909090909091,0.0,1.0,0.9090909090909091,0.9523809523809523
vast_1000,SentenTree,20.0,10.0,10.0,10.0,1.0,0.0,1.0,1.0,1.0
vast_1000,SentenTree,25.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
