dataset,technique,parameter_value,attribute,value,gt_count,llm_count,hallucinated_count
Foursquare_NYC,SentenTree,10.0,fast food->exit,182,0.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,start->restaurant,188,0.0,1.0,1.0
VAST,SentenTree,10.0,general gate->general gate,13,1.0,2.0,1.0
VAST,SentenTree,10.0,general gate->ranger-stop,70,0.0,1.0,1.0
career,CoreFlow,15.0,bs->professor,25,0.0,1.0,1.0
career,CoreFlow,15.0,conference->exit,7,1.0,2.0,1.0
career,CoreFlow,15.0,conference->professor,8,0.0,1.0,1.0
career,CoreFlow,15.0,ms->professor,7,0.0,1.0,1.0
career,CoreFlow,15.0,professor->exit,7,0.0,1.0,1.0
career,CoreFlow,15.0,start->conference,40,0.0,1.0,1.0
career,CoreFlow,15.0,start->ms,40,0.0,1.0,1.0
career,SentenTree,15.0,bs->conference,25,0.0,1.0,1.0
career,SentenTree,15.0,conference->exit,7,0.0,1.0,1.0
career,SentenTree,15.0,conference->journal,15,0.0,1.0,1.0
career,SentenTree,15.0,conference->professor,10,0.0,1.0,1.0
career,SentenTree,15.0,journal->conference,26,0.0,1.0,1.0
career,SentenTree,15.0,journal->professor,8,0.0,1.0,1.0
career,SentenTree,15.0,ms->conference,20,0.0,1.0,1.0
career,SentenTree,15.0,start->conference,38,0.0,1.0,1.0
career,SentenTree,15.0,start->journal,33,0.0,1.0,1.0
career,SentenTree,15.0,start->ms,40,0.0,1.0,1.0
career,SentenTree,20.0,bs->conference,25,0.0,1.0,1.0
career,SentenTree,20.0,conference->exit,18,0.0,1.0,1.0
career,SentenTree,20.0,journal->conference,10,0.0,1.0,1.0
career,SentenTree,20.0,ms->conference,20,0.0,1.0,1.0
career,SentenTree,20.0,professor->conference,10,0.0,1.0,1.0
career,SentenTree,20.0,start->conference,38,0.0,1.0,1.0
career,SentenTree,20.0,start->journal,33,0.0,1.0,1.0
career,SentenTree,20.0,start->ms,40,0.0,1.0,1.0
career,SentenTree,25.0,conference->exit,15,0.0,1.0,1.0
career,SentenTree,25.0,conference->journal,38,0.0,1.0,1.0
career,SentenTree,25.0,conference->professor,25,0.0,1.0,1.0
career,SentenTree,25.0,journal->conference,33,0.0,1.0,1.0
career,Sequence Synopsis,5.0,exit,5,1.0,2.0,1.0
career,Sequence Synopsis,5.0,journal,3,2.0,3.0,1.0
career,Sequence Synopsis,15.0,assistant professor,6,1.0,2.0,1.0
career,Sequence Synopsis,15.0,associate professor,6,1.0,2.0,1.0
career,Sequence Synopsis,15.0,conference,3,1.0,2.0,1.0
career,Sequence Synopsis,15.0,conference,5,3.0,4.0,1.0
career,Sequence Synopsis,15.0,conference,8,3.0,5.0,2.0
career,Sequence Synopsis,15.0,exit,3,1.0,2.0,1.0
career,Sequence Synopsis,15.0,journal,6,2.0,4.0,2.0
career,Sequence Synopsis,15.0,phd,6,2.0,3.0,1.0
career,Sequence Synopsis,25.0,assistant professor,11,1.0,2.0,1.0
career,Sequence Synopsis,25.0,associate professor,11,1.0,2.0,1.0
career,Sequence Synopsis,25.0,conference,4,0.0,3.0,3.0
career,Sequence Synopsis,25.0,conference,5,2.0,3.0,1.0
career,Sequence Synopsis,25.0,conference,6,5.0,6.0,1.0
career,Sequence Synopsis,25.0,conference,7,2.0,4.0,2.0
career,Sequence Synopsis,25.0,conference,10,1.0,2.0,1.0
career,Sequence Synopsis,25.0,conference,11,1.0,3.0,2.0
career,Sequence Synopsis,25.0,journal,6,1.0,3.0,2.0
career,Sequence Synopsis,25.0,ms,22,1.0,2.0,1.0
chicago_baseball,CoreFlow,10.0,team-1 foul->exit,49,0.0,1.0,1.0
chicago_baseball,CoreFlow,10.0,team-1 offense->exit,18,0.0,1.0,1.0
