dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,5.0,19.0,16.0,13.0,0.6842105263157895,3.0,0.8125,0.6842105263157895,0.742857142857143
Foursquare_NYC,CoreFlow,10.0,11.0,10.0,9.0,0.8181818181818182,1.0,0.9,0.8181818181818182,0.8571428571428572
Foursquare_NYC,CoreFlow,15.0,9.0,8.0,8.0,0.8888888888888888,0.0,1.0,0.8888888888888888,0.9411764705882353
Foursquare_NYC,CoreFlow,20.0,7.0,6.0,5.0,0.7142857142857143,1.0,0.8333333333333334,0.7142857142857143,0.7692307692307692
Foursquare_NYC,CoreFlow,25.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,18.0,17.0,12.0,0.6666666666666666,5.0,0.7058823529411765,0.6666666666666666,0.6857142857142857
Foursquare_NYC,SentenTree,10.0,10.0,9.0,8.0,0.8,1.0,0.8888888888888888,0.8,0.8421052631578948
Foursquare_NYC,SentenTree,15.0,9.0,9.0,8.0,0.8888888888888888,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888
Foursquare_NYC,SentenTree,20.0,7.0,6.0,5.0,0.7142857142857143,1.0,0.8333333333333334,0.7142857142857143,0.7692307692307692
Foursquare_NYC,SentenTree,25.0,4.0,4.0,3.0,0.75,1.0,0.75,0.75,0.75
Foursquare_NYC,SentenTree,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,5.0,16.0,16.0,16.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,10.0,20.0,19.0,19.0,0.95,0.0,1.0,0.95,0.9743589743589743
Foursquare_NYC,Sequence Synopsis,15.0,106.0,17.0,0.0,0.0,17.0,0.0,0.0,0.0
VAST,CoreFlow,5.0,6.0,4.0,4.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.8
VAST,CoreFlow,10.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0
VAST,SentenTree,5.0,46.0,36.0,12.0,0.2608695652173913,24.0,0.3333333333333333,0.2608695652173913,0.2926829268292683
VAST,SentenTree,10.0,16.0,15.0,11.0,0.6875,4.0,0.7333333333333333,0.6875,0.7096774193548386
VAST,SentenTree,15.0,11.0,10.0,8.0,0.7272727272727273,2.0,0.8,0.7272727272727273,0.761904761904762
VAST,SentenTree,20.0,10.0,9.0,9.0,0.9,0.0,1.0,0.9,0.9473684210526316
VAST,SentenTree,25.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
VAST,Sequence Synopsis,5.0,96.0,55.0,51.0,0.53125,4.0,0.9272727272727272,0.53125,0.6754966887417219
VAST,Sequence Synopsis,15.0,96.0,45.0,44.0,0.4583333333333333,1.0,0.9777777777777777,0.4583333333333333,0.624113475177305
VAST,Sequence Synopsis,20.0,83.0,40.0,38.0,0.4578313253012048,2.0,0.95,0.4578313253012048,0.6178861788617885
VAST,Sequence Synopsis,25.0,71.0,38.0,36.0,0.5070422535211268,2.0,0.9473684210526315,0.5070422535211268,0.6605504587155963
career,CoreFlow,5.0,23.0,19.0,10.0,0.43478260869565216,9.0,0.5263157894736842,0.43478260869565216,0.47619047619047616
career,CoreFlow,10.0,19.0,15.0,12.0,0.631578947368421,3.0,0.8,0.631578947368421,0.7058823529411765
career,CoreFlow,15.0,13.0,12.0,10.0,0.7692307692307693,2.0,0.8333333333333334,0.7692307692307693,0.8
career,CoreFlow,20.0,9.0,8.0,6.0,0.6666666666666666,2.0,0.75,0.6666666666666666,0.7058823529411765
career,SentenTree,5.0,44.0,36.0,21.0,0.4772727272727273,15.0,0.5833333333333334,0.4772727272727273,0.5250000000000001
career,SentenTree,10.0,23.0,20.0,15.0,0.6521739130434783,5.0,0.75,0.6521739130434783,0.6976744186046512
career,SentenTree,15.0,15.0,15.0,12.0,0.8,3.0,0.8,0.8,0.8000000000000002
career,SentenTree,20.0,12.0,13.0,7.0,0.5833333333333334,6.0,0.5384615384615384,0.5833333333333334,0.5599999999999999
career,SentenTree,25.0,10.0,10.0,7.0,0.7,3.0,0.7,0.7,0.7
career,Sequence Synopsis,5.0,50.0,40.0,40.0,0.8,0.0,1.0,0.8,0.888888888888889
career,Sequence Synopsis,10.0,36.0,33.0,30.0,0.8333333333333334,3.0,0.9090909090909091,0.8333333333333334,0.8695652173913043
career,Sequence Synopsis,15.0,49.0,43.0,40.0,0.8163265306122449,3.0,0.9302325581395349,0.8163265306122449,0.8695652173913043
career,Sequence Synopsis,25.0,50.0,38.0,37.0,0.74,1.0,0.9736842105263158,0.74,0.8409090909090909
career,Sequence Synopsis,30.0,40.0,31.0,30.0,0.75,1.0,0.967741935483871,0.75,0.8450704225352113
chicago_baseball,CoreFlow,5.0,22.0,16.0,9.0,0.4090909090909091,7.0,0.5625,0.4090909090909091,0.47368421052631576
chicago_baseball,CoreFlow,10.0,12.0,11.0,11.0,0.9166666666666666,0.0,1.0,0.9166666666666666,0.9565217391304348
chicago_baseball,CoreFlow,15.0,8.0,9.0,8.0,1.0,1.0,0.8888888888888888,1.0,0.9411764705882353
chicago_baseball,CoreFlow,25.0,6.0,7.0,5.0,0.8333333333333334,2.0,0.7142857142857143,0.8333333333333334,0.7692307692307692
chicago_baseball,SentenTree,5.0,25.0,21.0,17.0,0.68,4.0,0.8095238095238095,0.68,0.7391304347826089
chicago_baseball,SentenTree,10.0,13.0,12.0,11.0,0.8461538461538461,1.0,0.9166666666666666,0.8461538461538461,0.8799999999999999
chicago_baseball,SentenTree,15.0,11.0,10.0,9.0,0.8181818181818182,1.0,0.9,0.8181818181818182,0.8571428571428572
chicago_baseball,SentenTree,20.0,9.0,8.0,7.0,0.7777777777777778,1.0,0.875,0.7777777777777778,0.823529411764706
chicago_baseball,SentenTree,30.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,5.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,10.0,15.0,15.0,15.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,15.0,6.0,6.0,6.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,20.0,21.0,19.0,18.0,0.8571428571428571,1.0,0.9473684210526315,0.8571428571428571,0.9
chicago_baseball,Sequence Synopsis,25.0,31.0,31.0,30.0,0.967741935483871,1.0,0.967741935483871,0.967741935483871,0.967741935483871
chicago_baseball,Sequence Synopsis,30.0,25.0,23.0,15.0,0.6,8.0,0.6521739130434783,0.6,0.6250000000000001
emergency_dataset,CoreFlow,5.0,11.0,11.0,10.0,0.9090909090909091,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091
emergency_dataset,CoreFlow,25.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
emergency_dataset,SentenTree,5.0,14.0,13.0,10.0,0.7142857142857143,3.0,0.7692307692307693,0.7142857142857143,0.7407407407407408
