dataset,technique,parameter_value,attribute,value,gt_count,llm_count,hallucinated_count
Foursquare_NYC,CoreFlow,5.0,gym->restaurant,50,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,restaurant->exit,71,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,restaurant->fast food,106,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,10.0,fast food->exit,106,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,20.0,start->restaurant,188,0.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,fast food->exit,71,0.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,fast food->exit,106,0.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,fast food->fast food,76,0.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,restaurant->exit,50,1.0,2.0,1.0
Foursquare_NYC,SentenTree,5.0,restaurant->restaurant,112,0.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,fast food->exit,71,1.0,2.0,1.0
Foursquare_NYC,SentenTree,15.0,restaurant->exit,106,0.0,1.0,1.0
Foursquare_NYC,SentenTree,20.0,fast food->restaurant,155,0.0,1.0,1.0
Foursquare_NYC,SentenTree,25.0,fast food->exit,182,1.0,2.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,recruitment,1,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,recruitment,2,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,recruitment,3,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,recruitment,4,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,recruitment,5,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,recruitment,6,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,recruitment,7,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,recruitment,8,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,recruitment,9,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,recruitment,10,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,recruitment,11,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,recruitment,12,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,recruitment,13,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,recruitment,14,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,recruitment,15,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,recruitment,16,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,recruitment,17,0.0,1.0,1.0
VAST,SentenTree,5.0,entrance->entrance,7,0.0,1.0,1.0
VAST,SentenTree,5.0,entrance->entrance,8,0.0,2.0,2.0
VAST,SentenTree,5.0,entrance->entrance,14,0.0,1.0,1.0
VAST,SentenTree,5.0,entrance->general gate,11,0.0,1.0,1.0
VAST,SentenTree,5.0,entrance->ranger-stop,4,0.0,1.0,1.0
VAST,SentenTree,5.0,entrance->ranger-stop,11,0.0,1.0,1.0
