dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,10.0,11.0,10.0,9.0,0.8181818181818182,1.0,0.9,0.8181818181818182,0.8571428571428572
Foursquare_NYC,SentenTree,5.0,18.0,17.0,12.0,0.6666666666666666,5.0,0.7058823529411765,0.6666666666666666,0.6857142857142857
VAST,SentenTree,10.0,16.0,15.0,11.0,0.6875,4.0,0.7333333333333333,0.6875,0.7096774193548386
VAST,Sequence Synopsis,20.0,83.0,40.0,38.0,0.4578313253012048,2.0,0.95,0.4578313253012048,0.6178861788617885
VAST,Sequence Synopsis,25.0,71.0,38.0,36.0,0.5070422535211268,2.0,0.9473684210526315,0.5070422535211268,0.6605504587155963
career,CoreFlow,15.0,13.0,12.0,10.0,0.7692307692307693,2.0,0.8333333333333334,0.7692307692307693,0.8
career,SentenTree,15.0,15.0,15.0,12.0,0.8,3.0,0.8,0.8,0.8000000000000002
career,SentenTree,20.0,12.0,13.0,7.0,0.5833333333333334,6.0,0.5384615384615384,0.5833333333333334,0.5599999999999999
chicago_baseball,CoreFlow,10.0,12.0,11.0,11.0,0.9166666666666666,0.0,1.0,0.9166666666666666,0.9565217391304348
chicago_baseball,SentenTree,10.0,13.0,12.0,11.0,0.8461538461538461,1.0,0.9166666666666666,0.8461538461538461,0.8799999999999999
emergency_dataset,CoreFlow,5.0,11.0,11.0,10.0,0.9090909090909091,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091
emergency_dataset,SentenTree,5.0,14.0,13.0,10.0,0.7142857142857143,3.0,0.7692307692307693,0.7142857142857143,0.7407407407407408
emergency_dataset,SentenTree,10.0,12.0,11.0,9.0,0.75,2.0,0.8181818181818182,0.75,0.7826086956521738
emergency_dataset,SentenTree,15.0,12.0,11.0,11.0,0.9166666666666666,0.0,1.0,0.9166666666666666,0.9565217391304348
pediatric_trauma,CoreFlow,15.0,11.0,11.0,11.0,1.0,0.0,1.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,18.0,18.0,6.0,0.3333333333333333,12.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
pediatric_trauma,Sequence Synopsis,5.0,63.0,57.0,54.0,0.8571428571428571,3.0,0.9473684210526315,0.8571428571428571,0.9
pediatric_trauma,Sequence Synopsis,15.0,45.0,42.0,42.0,0.9333333333333333,0.0,1.0,0.9333333333333333,0.9655172413793104
pediatric_trauma,Sequence Synopsis,20.0,58.0,61.0,56.0,0.9655172413793104,5.0,0.9180327868852459,0.9655172413793104,0.9411764705882353
process_mining,CoreFlow,10.0,13.0,13.0,11.0,0.8461538461538461,2.0,0.8461538461538461,0.8461538461538461,0.8461538461538461
process_mining,SentenTree,5.0,20.0,17.0,12.0,0.6,5.0,0.7058823529411765,0.6,0.6486486486486486
process_mining,SentenTree,10.0,13.0,13.0,11.0,0.8461538461538461,2.0,0.8461538461538461,0.8461538461538461,0.8461538461538461
process_mining,Sequence Synopsis,5.0,33.0,33.0,33.0,1.0,0.0,1.0,1.0,1.0
process_mining,Sequence Synopsis,10.0,33.0,31.0,28.0,0.8484848484848485,3.0,0.9032258064516129,0.8484848484848485,0.875
process_mining,Sequence Synopsis,15.0,33.0,24.0,23.0,0.696969696969697,1.0,0.9583333333333334,0.696969696969697,0.8070175438596493
process_mining,Sequence Synopsis,20.0,33.0,33.0,33.0,1.0,0.0,1.0,1.0,1.0
process_mining,Sequence Synopsis,25.0,33.0,33.0,33.0,1.0,0.0,1.0,1.0,1.0
process_mining,Sequence Synopsis,30.0,33.0,30.0,29.0,0.8787878787878788,1.0,0.9666666666666667,0.8787878787878788,0.9206349206349207
umdvsunc_D2O_basketball,CoreFlow,10.0,15.0,13.0,13.0,0.8666666666666667,0.0,1.0,0.8666666666666667,0.9285714285714286
umdvsunc_D2O_basketball,SentenTree,10.0,20.0,17.0,11.0,0.55,6.0,0.6470588235294118,0.55,0.5945945945945946
umdvsunc_D2O_basketball,Sequence Synopsis,5.0,40.0,39.0,39.0,0.975,0.0,1.0,0.975,0.9873417721518987
umdvsunc_D2O_basketball,Sequence Synopsis,30.0,40.0,31.0,31.0,0.775,0.0,1.0,0.775,0.8732394366197184
vast_1000,SentenTree,10.0,13.0,13.0,8.0,0.6153846153846154,5.0,0.6153846153846154,0.6153846153846154,0.6153846153846154
