dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,5.0,19.0,16.0,13.0,0.6842105263157895,3.0,0.8125,0.6842105263157895,0.742857142857143
Foursquare_NYC,SentenTree,5.0,18.0,17.0,12.0,0.6666666666666666,5.0,0.7058823529411765,0.6666666666666666,0.6857142857142857
Foursquare_NYC,Sequence Synopsis,15.0,106.0,17.0,0.0,0.0,17.0,0.0,0.0,0.0
VAST,SentenTree,5.0,46.0,36.0,12.0,0.2608695652173913,24.0,0.3333333333333333,0.2608695652173913,0.2926829268292683
VAST,Sequence Synopsis,5.0,96.0,55.0,51.0,0.53125,4.0,0.9272727272727272,0.53125,0.6754966887417219
VAST,Sequence Synopsis,15.0,96.0,45.0,44.0,0.4583333333333333,1.0,0.9777777777777777,0.4583333333333333,0.624113475177305
VAST,Sequence Synopsis,20.0,83.0,40.0,38.0,0.4578313253012048,2.0,0.95,0.4578313253012048,0.6178861788617885
VAST,Sequence Synopsis,25.0,71.0,38.0,36.0,0.5070422535211268,2.0,0.9473684210526315,0.5070422535211268,0.6605504587155963
career,CoreFlow,5.0,23.0,19.0,10.0,0.43478260869565216,9.0,0.5263157894736842,0.43478260869565216,0.47619047619047616
career,CoreFlow,10.0,19.0,15.0,12.0,0.631578947368421,3.0,0.8,0.631578947368421,0.7058823529411765
career,SentenTree,5.0,44.0,36.0,21.0,0.4772727272727273,15.0,0.5833333333333334,0.4772727272727273,0.5250000000000001
career,SentenTree,10.0,23.0,20.0,15.0,0.6521739130434783,5.0,0.75,0.6521739130434783,0.6976744186046512
chicago_baseball,CoreFlow,5.0,22.0,16.0,9.0,0.4090909090909091,7.0,0.5625,0.4090909090909091,0.47368421052631576
chicago_baseball,SentenTree,5.0,25.0,21.0,17.0,0.68,4.0,0.8095238095238095,0.68,0.7391304347826089
pediatric_trauma,CoreFlow,5.0,17.0,15.0,6.0,0.35294117647058826,9.0,0.4,0.35294117647058826,0.37500000000000006
pediatric_trauma,SentenTree,5.0,30.0,22.0,14.0,0.4666666666666667,8.0,0.6363636363636364,0.4666666666666667,0.5384615384615385
pediatric_trauma,Sequence Synopsis,5.0,63.0,57.0,54.0,0.8571428571428571,3.0,0.9473684210526315,0.8571428571428571,0.9
pediatric_trauma,Sequence Synopsis,20.0,58.0,61.0,56.0,0.9655172413793104,5.0,0.9180327868852459,0.9655172413793104,0.9411764705882353
process_mining,CoreFlow,5.0,19.0,18.0,11.0,0.5789473684210527,7.0,0.6111111111111112,0.5789473684210527,0.5945945945945946
process_mining,SentenTree,5.0,20.0,17.0,12.0,0.6,5.0,0.7058823529411765,0.6,0.6486486486486486
test,CoreFlow,5.0,20.0,15.0,13.0,0.65,2.0,0.8666666666666667,0.65,0.7428571428571429
test,SentenTree,5.0,37.0,23.0,16.0,0.43243243243243246,7.0,0.6956521739130435,0.43243243243243246,0.5333333333333333
umdvsunc_D2O_basketball,CoreFlow,5.0,22.0,20.0,16.0,0.7272727272727273,4.0,0.8,0.7272727272727273,0.761904761904762
umdvsunc_D2O_basketball,SentenTree,5.0,35.0,25.0,14.0,0.4,11.0,0.56,0.4,0.4666666666666667
vast_1000,SentenTree,5.0,36.0,34.0,10.0,0.2777777777777778,24.0,0.29411764705882354,0.2777777777777778,0.28571428571428575
