dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,15.0,9.0,8.0,8.0,0.8888888888888888,0.0,1.0,0.8888888888888888,0.9411764705882353
Foursquare_NYC,CoreFlow,20.0,7.0,6.0,5.0,0.7142857142857143,1.0,0.8333333333333334,0.7142857142857143,0.7692307692307692
Foursquare_NYC,CoreFlow,25.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,9.0,9.0,8.0,0.8888888888888888,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888
Foursquare_NYC,SentenTree,20.0,7.0,6.0,5.0,0.7142857142857143,1.0,0.8333333333333334,0.7142857142857143,0.7692307692307692
Foursquare_NYC,SentenTree,25.0,4.0,4.0,3.0,0.75,1.0,0.75,0.75,0.75
Foursquare_NYC,SentenTree,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,5.0,16.0,16.0,16.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,10.0,20.0,19.0,19.0,0.95,0.0,1.0,0.95,0.9743589743589743
VAST,CoreFlow,5.0,6.0,4.0,4.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.8
VAST,CoreFlow,10.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0
VAST,SentenTree,15.0,11.0,10.0,8.0,0.7272727272727273,2.0,0.8,0.7272727272727273,0.761904761904762
VAST,SentenTree,20.0,10.0,9.0,9.0,0.9,0.0,1.0,0.9,0.9473684210526316
VAST,SentenTree,25.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
career,CoreFlow,20.0,9.0,8.0,6.0,0.6666666666666666,2.0,0.75,0.6666666666666666,0.7058823529411765
chicago_baseball,CoreFlow,15.0,8.0,9.0,8.0,1.0,1.0,0.8888888888888888,1.0,0.9411764705882353
chicago_baseball,CoreFlow,25.0,6.0,7.0,5.0,0.8333333333333334,2.0,0.7142857142857143,0.8333333333333334,0.7692307692307692
chicago_baseball,SentenTree,15.0,11.0,10.0,9.0,0.8181818181818182,1.0,0.9,0.8181818181818182,0.8571428571428572
chicago_baseball,SentenTree,20.0,9.0,8.0,7.0,0.7777777777777778,1.0,0.875,0.7777777777777778,0.823529411764706
chicago_baseball,SentenTree,30.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,5.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,10.0,15.0,15.0,15.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,15.0,6.0,6.0,6.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,20.0,21.0,19.0,18.0,0.8571428571428571,1.0,0.9473684210526315,0.8571428571428571,0.9
chicago_baseball,Sequence Synopsis,25.0,31.0,31.0,30.0,0.967741935483871,1.0,0.967741935483871,0.967741935483871,0.967741935483871
chicago_baseball,Sequence Synopsis,30.0,25.0,23.0,15.0,0.6,8.0,0.6521739130434783,0.6,0.6250000000000001
emergency_dataset,CoreFlow,25.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
emergency_dataset,SentenTree,25.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
emergency_dataset,SentenTree,30.0,7.0,7.0,6.0,0.8571428571428571,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571
emergency_dataset,Sequence Synopsis,5.0,25.0,24.0,19.0,0.76,5.0,0.7916666666666666,0.76,0.7755102040816326
pediatric_trauma,CoreFlow,30.0,9.0,8.0,5.0,0.5555555555555556,3.0,0.625,0.5555555555555556,0.5882352941176471
pediatric_trauma,SentenTree,15.0,10.0,9.0,7.0,0.7,2.0,0.7777777777777778,0.7,0.7368421052631577
pediatric_trauma,SentenTree,20.0,8.0,7.0,6.0,0.75,1.0,0.8571428571428571,0.75,0.7999999999999999
pediatric_trauma,Sequence Synopsis,10.0,31.0,31.0,31.0,1.0,0.0,1.0,1.0,1.0
process_mining,CoreFlow,15.0,7.0,7.0,6.0,0.8571428571428571,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571
process_mining,CoreFlow,20.0,5.0,4.0,4.0,0.8,0.0,1.0,0.8,0.888888888888889
process_mining,CoreFlow,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
process_mining,SentenTree,15.0,7.0,6.0,5.0,0.7142857142857143,1.0,0.8333333333333334,0.7142857142857143,0.7692307692307692
process_mining,SentenTree,20.0,5.0,4.0,4.0,0.8,0.0,1.0,0.8,0.888888888888889
process_mining,SentenTree,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
test,CoreFlow,20.0,8.0,7.0,7.0,0.875,0.0,1.0,0.875,0.9333333333333333
test,SentenTree,20.0,8.0,7.0,7.0,0.875,0.0,1.0,0.875,0.9333333333333333
test,Sequence Synopsis,5.0,24.0,20.0,20.0,0.8333333333333334,0.0,1.0,0.8333333333333334,0.9090909090909091
umdvsunc_D2O_basketball,CoreFlow,15.0,9.0,9.0,9.0,1.0,0.0,1.0,1.0,1.0
umdvsunc_D2O_basketball,CoreFlow,25.0,5.0,7.0,2.0,0.4,5.0,0.2857142857142857,0.4,0.3333333333333333
umdvsunc_D2O_basketball,SentenTree,15.0,10.0,9.0,6.0,0.6,3.0,0.6666666666666666,0.6,0.631578947368421
