dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,5.0,19.0,16.0,15.0,0.7894736842105263,1.0,0.9375,0.7894736842105263,0.8571428571428572
Foursquare_NYC,SentenTree,5.0,18.0,18.0,18.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,106.0,45.0,9.0,0.08490566037735849,36.0,0.2,0.08490566037735849,0.11920529801324503
VAST,SentenTree,5.0,46.0,35.0,17.0,0.3695652173913043,18.0,0.4857142857142857,0.3695652173913043,0.4197530864197531
VAST,Sequence Synopsis,5.0,96.0,77.0,77.0,0.8020833333333334,0.0,1.0,0.8020833333333334,0.8901734104046243
VAST,Sequence Synopsis,15.0,96.0,81.0,79.0,0.8229166666666666,2.0,0.9753086419753086,0.8229166666666666,0.8926553672316384
VAST,Sequence Synopsis,20.0,83.0,46.0,46.0,0.5542168674698795,0.0,1.0,0.5542168674698795,0.7131782945736435
VAST,Sequence Synopsis,25.0,71.0,68.0,66.0,0.9295774647887324,2.0,0.9705882352941176,0.9295774647887324,0.9496402877697842
career,CoreFlow,5.0,23.0,21.0,19.0,0.8260869565217391,2.0,0.9047619047619048,0.8260869565217391,0.8636363636363636
career,CoreFlow,10.0,19.0,18.0,17.0,0.8947368421052632,1.0,0.9444444444444444,0.8947368421052632,0.918918918918919
career,SentenTree,5.0,44.0,32.0,27.0,0.6136363636363636,5.0,0.84375,0.6136363636363636,0.7105263157894737
career,SentenTree,10.0,23.0,22.0,21.0,0.9130434782608695,1.0,0.9545454545454546,0.9130434782608695,0.9333333333333332
chicago_baseball,CoreFlow,5.0,22.0,18.0,14.0,0.6363636363636364,4.0,0.7777777777777778,0.6363636363636364,0.7000000000000001
chicago_baseball,SentenTree,5.0,25.0,20.0,19.0,0.76,1.0,0.95,0.76,0.8444444444444444
pediatric_trauma,CoreFlow,5.0,17.0,15.0,11.0,0.6470588235294118,4.0,0.7333333333333333,0.6470588235294118,0.6875
pediatric_trauma,SentenTree,5.0,30.0,26.0,19.0,0.6333333333333333,7.0,0.7307692307692307,0.6333333333333333,0.6785714285714285
pediatric_trauma,Sequence Synopsis,5.0,63.0,60.0,60.0,0.9523809523809523,0.0,1.0,0.9523809523809523,0.975609756097561
pediatric_trauma,Sequence Synopsis,20.0,58.0,59.0,58.0,1.0,1.0,0.9830508474576272,1.0,0.9914529914529915
process_mining,CoreFlow,5.0,19.0,20.0,19.0,1.0,1.0,0.95,1.0,0.9743589743589743
process_mining,SentenTree,5.0,20.0,19.0,19.0,0.95,0.0,1.0,0.95,0.9743589743589743
test,CoreFlow,5.0,20.0,19.0,19.0,0.95,0.0,1.0,0.95,0.9743589743589743
test,SentenTree,5.0,37.0,28.0,25.0,0.6756756756756757,3.0,0.8928571428571429,0.6756756756756757,0.7692307692307693
umdvsunc_D2O_basketball,CoreFlow,5.0,22.0,20.0,20.0,0.9090909090909091,0.0,1.0,0.9090909090909091,0.9523809523809523
umdvsunc_D2O_basketball,SentenTree,5.0,35.0,29.0,24.0,0.6857142857142857,5.0,0.8275862068965517,0.6857142857142857,0.75
vast_1000,SentenTree,5.0,36.0,25.0,21.0,0.5833333333333334,4.0,0.84,0.5833333333333334,0.6885245901639344
