dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,15.0,9.0,9.0,9.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,20.0,7.0,7.0,7.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,25.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,9.0,9.0,9.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,20.0,7.0,7.0,7.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,25.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,5.0,16.0,16.0,16.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,10.0,20.0,19.0,18.0,0.9,1.0,0.9473684210526315,0.9,0.9230769230769231
VAST,CoreFlow,5.0,6.0,6.0,6.0,1.0,0.0,1.0,1.0,1.0
VAST,CoreFlow,10.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0
VAST,SentenTree,15.0,11.0,10.0,10.0,0.9090909090909091,0.0,1.0,0.9090909090909091,0.9523809523809523
VAST,SentenTree,20.0,10.0,9.0,9.0,0.9,0.0,1.0,0.9,0.9473684210526316
VAST,SentenTree,25.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
career,CoreFlow,20.0,9.0,9.0,9.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,CoreFlow,15.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,CoreFlow,25.0,6.0,6.0,6.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,SentenTree,15.0,11.0,10.0,10.0,0.9090909090909091,0.0,1.0,0.9090909090909091,0.9523809523809523
chicago_baseball,SentenTree,20.0,9.0,8.0,8.0,0.8888888888888888,0.0,1.0,0.8888888888888888,0.9411764705882353
chicago_baseball,SentenTree,30.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,5.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,10.0,15.0,15.0,15.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,15.0,6.0,6.0,6.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,20.0,21.0,21.0,21.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,25.0,31.0,31.0,30.0,0.967741935483871,1.0,0.967741935483871,0.967741935483871,0.967741935483871
chicago_baseball,Sequence Synopsis,30.0,25.0,24.0,24.0,0.96,0.0,1.0,0.96,0.9795918367346939
emergency_dataset,CoreFlow,25.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
emergency_dataset,SentenTree,25.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
emergency_dataset,SentenTree,30.0,7.0,7.0,7.0,1.0,0.0,1.0,1.0,1.0
emergency_dataset,Sequence Synopsis,5.0,25.0,23.0,21.0,0.84,2.0,0.9130434782608695,0.84,0.8749999999999999
pediatric_trauma,CoreFlow,30.0,9.0,8.0,8.0,0.8888888888888888,0.0,1.0,0.8888888888888888,0.9411764705882353
pediatric_trauma,SentenTree,15.0,10.0,10.0,10.0,1.0,0.0,1.0,1.0,1.0
pediatric_trauma,SentenTree,20.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,10.0,31.0,30.0,30.0,0.967741935483871,0.0,1.0,0.967741935483871,0.9836065573770492
process_mining,CoreFlow,15.0,7.0,7.0,7.0,1.0,0.0,1.0,1.0,1.0
process_mining,CoreFlow,20.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
process_mining,CoreFlow,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
process_mining,SentenTree,15.0,7.0,7.0,7.0,1.0,0.0,1.0,1.0,1.0
process_mining,SentenTree,20.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
process_mining,SentenTree,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
test,CoreFlow,20.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
test,SentenTree,20.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
test,Sequence Synopsis,5.0,24.0,22.0,22.0,0.9166666666666666,0.0,1.0,0.9166666666666666,0.9565217391304348
umdvsunc_D2O_basketball,CoreFlow,15.0,9.0,9.0,9.0,1.0,0.0,1.0,1.0,1.0
umdvsunc_D2O_basketball,CoreFlow,25.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
