dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,5.0,19.0,19.0,17.0,0.8947368421052632,2.0,0.8947368421052632,0.8947368421052632,0.8947368421052632
Foursquare_NYC,CoreFlow,10.0,11.0,11.0,11.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,9.0,9.0,9.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,20.0,7.0,7.0,7.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,25.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,18.0,18.0,18.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,10.0,10.0,10.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,9.0,9.0,9.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,20.0,7.0,7.0,7.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,25.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,5.0,16.0,16.0,16.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,10.0,20.0,20.0,20.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAST,CoreFlow,5.0,6.0,6.0,6.0,1.0,0.0,1.0,1.0,1.0
VAST,CoreFlow,10.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0
VAST,SentenTree,5.0,46.0,43.0,25.0,0.5434782608695652,18.0,0.5813953488372093,0.5434782608695652,0.5617977528089888
VAST,SentenTree,10.0,16.0,15.0,14.0,0.875,1.0,0.9333333333333333,0.875,0.9032258064516129
