dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,5.0,19.0,19.0,17.0,0.8947368421052632,2.0,0.8947368421052632,0.8947368421052632,0.8947368421052632
Foursquare_NYC,Sequence Synopsis,15.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAST,SentenTree,5.0,46.0,43.0,25.0,0.5434782608695652,18.0,0.5813953488372093,0.5434782608695652,0.5617977528089888
VAST,Sequence Synopsis,5.0,96.0,92.0,91.0,0.9479166666666666,1.0,0.9891304347826086,0.9479166666666666,0.9680851063829786
VAST,Sequence Synopsis,15.0,96.0,91.0,90.0,0.9375,1.0,0.989010989010989,0.9375,0.9625668449197862
career,CoreFlow,5.0,23.0,23.0,23.0,1.0,0.0,1.0,1.0,1.0
career,CoreFlow,10.0,19.0,19.0,19.0,1.0,0.0,1.0,1.0,1.0
career,SentenTree,5.0,44.0,34.0,29.0,0.6590909090909091,5.0,0.8529411764705882,0.6590909090909091,0.7435897435897436
career,SentenTree,10.0,23.0,23.0,21.0,0.9130434782608695,2.0,0.9130434782608695,0.9130434782608695,0.9130434782608695
chicago_baseball,CoreFlow,5.0,22.0,22.0,19.0,0.8636363636363636,3.0,0.8636363636363636,0.8636363636363636,0.8636363636363636
chicago_baseball,SentenTree,5.0,25.0,22.0,20.0,0.8,2.0,0.9090909090909091,0.8,0.8510638297872342
pediatric_trauma,CoreFlow,5.0,17.0,17.0,12.0,0.7058823529411765,5.0,0.7058823529411765,0.7058823529411765,0.7058823529411765
pediatric_trauma,SentenTree,5.0,30.0,24.0,15.0,0.5,9.0,0.625,0.5,0.5555555555555556
process_mining,CoreFlow,5.0,19.0,19.0,12.0,0.631578947368421,7.0,0.631578947368421,0.631578947368421,0.631578947368421
test,CoreFlow,5.0,20.0,20.0,20.0,1.0,0.0,1.0,1.0,1.0
test,SentenTree,5.0,37.0,35.0,27.0,0.7297297297297297,8.0,0.7714285714285715,0.7297297297297297,0.75
umdvsunc_D2O_basketball,CoreFlow,5.0,22.0,22.0,22.0,1.0,0.0,1.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,5.0,35.0,36.0,18.0,0.5142857142857142,18.0,0.5,0.5142857142857142,0.5070422535211268
vast_1000,SentenTree,5.0,36.0,34.0,23.0,0.6388888888888888,11.0,0.6764705882352942,0.6388888888888888,0.6571428571428571
