dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,10.0,11.0,11.0,11.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,18.0,18.0,18.0,1.0,0.0,1.0,1.0,1.0
VAST,SentenTree,10.0,16.0,15.0,14.0,0.875,1.0,0.9333333333333333,0.875,0.9032258064516129
VAST,Sequence Synopsis,20.0,83.0,82.0,80.0,0.963855421686747,2.0,0.975609756097561,0.963855421686747,0.9696969696969697
VAST,Sequence Synopsis,25.0,71.0,69.0,68.0,0.9577464788732394,1.0,0.9855072463768116,0.9577464788732394,0.9714285714285714
career,CoreFlow,15.0,13.0,13.0,13.0,1.0,0.0,1.0,1.0,1.0
career,SentenTree,15.0,15.0,15.0,15.0,1.0,0.0,1.0,1.0,1.0
career,SentenTree,20.0,12.0,12.0,12.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,CoreFlow,10.0,12.0,12.0,10.0,0.8333333333333334,2.0,0.8333333333333334,0.8333333333333334,0.8333333333333334
chicago_baseball,SentenTree,10.0,13.0,12.0,12.0,0.9230769230769231,0.0,1.0,0.9230769230769231,0.9600000000000001
emergency_dataset,CoreFlow,5.0,11.0,10.0,9.0,0.8181818181818182,1.0,0.9,0.8181818181818182,0.8571428571428572
emergency_dataset,SentenTree,5.0,14.0,14.0,12.0,0.8571428571428571,2.0,0.8571428571428571,0.8571428571428571,0.8571428571428571
emergency_dataset,SentenTree,10.0,12.0,12.0,10.0,0.8333333333333334,2.0,0.8333333333333334,0.8333333333333334,0.8333333333333334
emergency_dataset,SentenTree,15.0,12.0,11.0,10.0,0.8333333333333334,1.0,0.9090909090909091,0.8333333333333334,0.8695652173913043
pediatric_trauma,CoreFlow,15.0,11.0,11.0,11.0,1.0,0.0,1.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,18.0,18.0,15.0,0.8333333333333334,3.0,0.8333333333333334,0.8333333333333334,0.8333333333333334
pediatric_trauma,Sequence Synopsis,5.0,63.0,62.0,62.0,0.9841269841269841,0.0,1.0,0.9841269841269841,0.9919999999999999
pediatric_trauma,Sequence Synopsis,15.0,45.0,43.0,42.0,0.9333333333333333,1.0,0.9767441860465116,0.9333333333333333,0.9545454545454545
pediatric_trauma,Sequence Synopsis,20.0,58.0,57.0,57.0,0.9827586206896551,0.0,1.0,0.9827586206896551,0.9913043478260869
process_mining,CoreFlow,10.0,13.0,13.0,13.0,1.0,0.0,1.0,1.0,1.0
process_mining,SentenTree,5.0,20.0,19.0,19.0,0.95,0.0,1.0,0.95,0.9743589743589743
process_mining,SentenTree,10.0,13.0,13.0,13.0,1.0,0.0,1.0,1.0,1.0
process_mining,Sequence Synopsis,5.0,33.0,33.0,33.0,1.0,0.0,1.0,1.0,1.0
process_mining,Sequence Synopsis,10.0,33.0,33.0,33.0,1.0,0.0,1.0,1.0,1.0
process_mining,Sequence Synopsis,15.0,33.0,33.0,33.0,1.0,0.0,1.0,1.0,1.0
process_mining,Sequence Synopsis,20.0,33.0,33.0,33.0,1.0,0.0,1.0,1.0,1.0
process_mining,Sequence Synopsis,25.0,33.0,33.0,33.0,1.0,0.0,1.0,1.0,1.0
process_mining,Sequence Synopsis,30.0,33.0,33.0,33.0,1.0,0.0,1.0,1.0,1.0
umdvsunc_D2O_basketball,CoreFlow,10.0,15.0,15.0,15.0,1.0,0.0,1.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,10.0,20.0,20.0,14.0,0.7,6.0,0.7,0.7,0.7
umdvsunc_D2O_basketball,Sequence Synopsis,5.0,40.0,40.0,40.0,1.0,0.0,1.0,1.0,1.0
umdvsunc_D2O_basketball,Sequence Synopsis,30.0,40.0,39.0,39.0,0.975,0.0,1.0,0.975,0.9873417721518987
vast_1000,SentenTree,10.0,13.0,12.0,11.0,0.8461538461538461,1.0,0.9166666666666666,0.8461538461538461,0.8799999999999999
