dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,5.0,19.0,13.0,5.0,0.2631578947368421,8.0,0.38461538461538464,0.2631578947368421,0.3125
Foursquare_NYC,CoreFlow,10.0,11.0,10.0,3.0,0.2727272727272727,7.0,0.3,0.2727272727272727,0.28571428571428564
Foursquare_NYC,CoreFlow,15.0,9.0,5.0,4.0,0.4444444444444444,1.0,0.8,0.4444444444444444,0.5714285714285714
Foursquare_NYC,CoreFlow,20.0,7.0,5.0,3.0,0.42857142857142855,2.0,0.6,0.42857142857142855,0.5
Foursquare_NYC,CoreFlow,25.0,5.0,4.0,3.0,0.6,1.0,0.75,0.6,0.6666666666666665
Foursquare_NYC,CoreFlow,30.0,3.0,3.0,2.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
Foursquare_NYC,SentenTree,5.0,18.0,12.0,7.0,0.3888888888888889,5.0,0.5833333333333334,0.3888888888888889,0.4666666666666666
Foursquare_NYC,SentenTree,10.0,10.0,8.0,4.0,0.4,4.0,0.5,0.4,0.4444444444444445
Foursquare_NYC,SentenTree,15.0,9.0,7.0,4.0,0.4444444444444444,3.0,0.5714285714285714,0.4444444444444444,0.5
Foursquare_NYC,SentenTree,20.0,7.0,6.0,6.0,0.8571428571428571,0.0,1.0,0.8571428571428571,0.923076923076923
Foursquare_NYC,SentenTree,25.0,4.0,4.0,3.0,0.75,1.0,0.75,0.75,0.75
Foursquare_NYC,SentenTree,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,5.0,16.0,13.0,13.0,0.8125,0.0,1.0,0.8125,0.896551724137931
Foursquare_NYC,Sequence Synopsis,10.0,20.0,16.0,15.0,0.75,1.0,0.9375,0.75,0.8333333333333334
Foursquare_NYC,Sequence Synopsis,15.0,106.0,23.0,1.0,0.009433962264150943,22.0,0.043478260869565216,0.009433962264150943,0.015503875968992248
VAST,CoreFlow,5.0,6.0,5.0,2.0,0.3333333333333333,3.0,0.4,0.3333333333333333,0.3636363636363636
VAST,CoreFlow,10.0,4.0,3.0,2.0,0.5,1.0,0.6666666666666666,0.5,0.5714285714285715
VAST,SentenTree,5.0,46.0,33.0,17.0,0.3695652173913043,16.0,0.5151515151515151,0.3695652173913043,0.43037974683544306
VAST,SentenTree,10.0,16.0,11.0,11.0,0.6875,0.0,1.0,0.6875,0.8148148148148148
VAST,SentenTree,15.0,11.0,9.0,6.0,0.5454545454545454,3.0,0.6666666666666666,0.5454545454545454,0.6
VAST,SentenTree,20.0,10.0,8.0,8.0,0.8,0.0,1.0,0.8,0.888888888888889
VAST,SentenTree,25.0,8.0,8.0,7.0,0.875,1.0,0.875,0.875,0.875
VAST,Sequence Synopsis,5.0,96.0,44.0,44.0,0.4583333333333333,0.0,1.0,0.4583333333333333,0.6285714285714286
VAST,Sequence Synopsis,15.0,96.0,40.0,39.0,0.40625,1.0,0.975,0.40625,0.5735294117647058
VAST,Sequence Synopsis,20.0,83.0,49.0,45.0,0.5421686746987951,4.0,0.9183673469387755,0.5421686746987951,0.6818181818181818
VAST,Sequence Synopsis,25.0,71.0,46.0,35.0,0.49295774647887325,11.0,0.7608695652173914,0.49295774647887325,0.5982905982905984
career,CoreFlow,5.0,23.0,15.0,4.0,0.17391304347826086,11.0,0.26666666666666666,0.17391304347826086,0.2105263157894737
career,CoreFlow,10.0,19.0,14.0,4.0,0.21052631578947367,10.0,0.2857142857142857,0.21052631578947367,0.24242424242424243
