dataset,technique,parameter_value,attribute,value,gt_count,llm_count,hallucinated_count
Foursquare_NYC,CoreFlow,5.0,exit->exit,43,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,exit->exit,50,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,exit->exit,52,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,exit->exit,136,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,fast food->exit,106,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,fast food->restaurant,182,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,restaurant->exit,71,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,restaurant->gym,50,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,10.0,exit->exit,35,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,10.0,exit->exit,76,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,10.0,exit->exit,188,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,10.0,exit->fast food,155,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,10.0,exit->restaurant,137,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,10.0,fast food->exit,106,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,10.0,fast food->restaurant,182,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,exit->exit,188,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,20.0,exit->exit,188,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,20.0,fast food->restaurant,155,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,25.0,exit->exit,325,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,30.0,fast food->exit,325,0.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,exit->exit,52,0.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,fast food->exit,43,1.0,2.0,1.0
Foursquare_NYC,SentenTree,5.0,fast food->exit,71,0.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,fast food->restaurant,182,0.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,gym/fitness center->exit,136,0.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,exit->exit,188,0.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,fast food->exit,106,0.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,fast food->restaurant,155,0.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,restaurant->exit,137,1.0,2.0,1.0
Foursquare_NYC,SentenTree,15.0,exit->exit,188,0.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,restaurant->exit,137,0.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,restaurant->gym,106,0.0,1.0,1.0
Foursquare_NYC,SentenTree,25.0,fast food->exit,325,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,10.0,alcoholexit,10,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,exit,8,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,exit,12,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,exit,28,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,foul,12,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,jump ball,1,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,made free throw,3,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,made free throw,11,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,made shot,20,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,made shot exit,2,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,missed shot,2,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,missed shot,19,0.0,2.0,2.0
Foursquare_NYC,Sequence Synopsis,15.0,rebound,19,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,start,12,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,start,19,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,turnover,5,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,umd offense,7,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,umd offense,10,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,umd offense,17,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,unc offense,2,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,unc offense,12,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,unc offense,19,0.0,1.0,1.0
VAST,CoreFlow,5.0,entrance->ranger-base,94,0.0,1.0,1.0
VAST,CoreFlow,5.0,entrance->start,94,0.0,1.0,1.0
VAST,CoreFlow,5.0,ranger-base->exit,6,1.0,2.0,1.0
VAST,CoreFlow,10.0,entrance->start,94,0.0,1.0,1.0
VAST,SentenTree,5.0,camping->camping,15,0.0,1.0,1.0
VAST,SentenTree,5.0,camping->exit,6,0.0,1.0,1.0
VAST,SentenTree,5.0,camping->ranger-base,30,0.0,1.0,1.0
VAST,SentenTree,5.0,camping->ranger-stop,7,0.0,2.0,2.0
VAST,SentenTree,5.0,entrance->ranger-base,94,0.0,1.0,1.0
VAST,SentenTree,5.0,general gate,7,0.0,1.0,1.0
VAST,SentenTree,5.0,general gate->camping,3,0.0,1.0,1.0
VAST,SentenTree,5.0,general gate->gate,6,0.0,1.0,1.0
VAST,SentenTree,5.0,general gate->general gate,8,0.0,1.0,1.0
VAST,SentenTree,5.0,general gate->ranger-stop,63,0.0,1.0,1.0
VAST,SentenTree,5.0,ranger-stop->camping,11,0.0,1.0,1.0
VAST,SentenTree,5.0,ranger-stop->ranger-stop,4,0.0,1.0,1.0
VAST,SentenTree,5.0,ranger-stop->ranger-stop,7,1.0,3.0,2.0
VAST,SentenTree,5.0,ranger-stop->ranger-stop,45,0.0,1.0,1.0
VAST,SentenTree,15.0,general gate->exit,60,0.0,1.0,1.0
VAST,SentenTree,15.0,general gate->general gate,21,1.0,2.0,1.0
VAST,SentenTree,15.0,general gate->general gate,37,0.0,1.0,1.0
VAST,SentenTree,25.0,exit->,36,0.0,1.0,1.0
VAST,Sequence Synopsis,15.0,ranger-stop,21,0.0,1.0,1.0
VAST,Sequence Synopsis,20.0,entrance exit,11,0.0,1.0,1.0
VAST,Sequence Synopsis,20.0,start entrance,9,0.0,1.0,1.0
VAST,Sequence Synopsis,20.0,start entrance,10,0.0,1.0,1.0
VAST,Sequence Synopsis,20.0,start entrance,11,0.0,1.0,1.0
VAST,Sequence Synopsis,25.0,entrance exit,11,0.0,2.0,2.0
VAST,Sequence Synopsis,25.0,general gate,27,2.0,3.0,1.0
VAST,Sequence Synopsis,25.0,start entrance,9,0.0,1.0,1.0
VAST,Sequence Synopsis,25.0,start entrance,11,0.0,1.0,1.0
VAST,Sequence Synopsis,25.0,start gate,6,0.0,1.0,1.0
VAST,Sequence Synopsis,25.0,start general gate,10,0.0,1.0,1.0
VAST,Sequence Synopsis,25.0,start general gate,11,0.0,1.0,1.0
VAST,Sequence Synopsis,25.0,start range-base,6,0.0,1.0,1.0
VAST,Sequence Synopsis,25.0,start ranger-stop,11,0.0,2.0,2.0
career,CoreFlow,5.0,bs->conference,40,0.0,1.0,1.0
career,CoreFlow,5.0,conference->journal,16,0.0,1.0,1.0
career,CoreFlow,5.0,conference->professor,25,0.0,1.0,1.0
career,CoreFlow,5.0,exit->exit,3,0.0,1.0,1.0
career,CoreFlow,5.0,exit->exit,5,0.0,1.0,1.0
career,CoreFlow,5.0,exit->journal,2,0.0,2.0,2.0
career,CoreFlow,5.0,journal->exit,5,0.0,1.0,1.0
career,CoreFlow,5.0,professor->conference,7,0.0,1.0,1.0
career,CoreFlow,5.0,professor->journal,8,0.0,1.0,1.0
career,CoreFlow,5.0,start->ms,40,0.0,1.0,1.0
career,CoreFlow,10.0,40->bs,1,0.0,1.0,1.0
