dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,5.0,19.0,13.0,5.0,0.2631578947368421,8.0,0.38461538461538464,0.2631578947368421,0.3125
Foursquare_NYC,Sequence Synopsis,15.0,106.0,23.0,1.0,0.009433962264150943,22.0,0.043478260869565216,0.009433962264150943,0.015503875968992248
VAST,SentenTree,5.0,46.0,33.0,17.0,0.3695652173913043,16.0,0.5151515151515151,0.3695652173913043,0.43037974683544306
VAST,Sequence Synopsis,5.0,96.0,44.0,44.0,0.4583333333333333,0.0,1.0,0.4583333333333333,0.6285714285714286
VAST,Sequence Synopsis,15.0,96.0,40.0,39.0,0.40625,1.0,0.975,0.40625,0.5735294117647058
career,CoreFlow,5.0,23.0,15.0,4.0,0.17391304347826086,11.0,0.26666666666666666,0.17391304347826086,0.2105263157894737
career,CoreFlow,10.0,19.0,14.0,4.0,0.21052631578947367,10.0,0.2857142857142857,0.21052631578947367,0.24242424242424243
career,SentenTree,5.0,44.0,24.0,11.0,0.25,13.0,0.4583333333333333,0.25,0.3235294117647059
career,SentenTree,10.0,23.0,16.0,6.0,0.2608695652173913,10.0,0.375,0.2608695652173913,0.30769230769230765
chicago_baseball,CoreFlow,5.0,22.0,18.0,8.0,0.36363636363636365,10.0,0.4444444444444444,0.36363636363636365,0.39999999999999997
chicago_baseball,SentenTree,5.0,25.0,19.0,10.0,0.4,9.0,0.5263157894736842,0.4,0.45454545454545453
pediatric_trauma,CoreFlow,5.0,17.0,11.0,7.0,0.4117647058823529,4.0,0.6363636363636364,0.4117647058823529,0.5
pediatric_trauma,SentenTree,5.0,30.0,17.0,4.0,0.13333333333333333,13.0,0.23529411764705882,0.13333333333333333,0.1702127659574468
process_mining,CoreFlow,5.0,19.0,13.0,4.0,0.21052631578947367,9.0,0.3076923076923077,0.21052631578947367,0.25
test,CoreFlow,5.0,20.0,14.0,9.0,0.45,5.0,0.6428571428571429,0.45,0.5294117647058824
test,SentenTree,5.0,37.0,23.0,12.0,0.32432432432432434,11.0,0.5217391304347826,0.32432432432432434,0.4
umdvsunc_D2O_basketball,CoreFlow,5.0,22.0,15.0,5.0,0.22727272727272727,10.0,0.3333333333333333,0.22727272727272727,0.27027027027027023
umdvsunc_D2O_basketball,SentenTree,5.0,35.0,23.0,12.0,0.34285714285714286,11.0,0.5217391304347826,0.34285714285714286,0.4137931034482759
vast_1000,SentenTree,5.0,36.0,20.0,8.0,0.2222222222222222,12.0,0.4,0.2222222222222222,0.2857142857142857
