dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,10.0,11.0,10.0,3.0,0.2727272727272727,7.0,0.3,0.2727272727272727,0.28571428571428564
Foursquare_NYC,SentenTree,5.0,18.0,12.0,7.0,0.3888888888888889,5.0,0.5833333333333334,0.3888888888888889,0.4666666666666666
VAST,SentenTree,10.0,16.0,11.0,11.0,0.6875,0.0,1.0,0.6875,0.8148148148148148
VAST,Sequence Synopsis,20.0,83.0,49.0,45.0,0.5421686746987951,4.0,0.9183673469387755,0.5421686746987951,0.6818181818181818
VAST,Sequence Synopsis,25.0,71.0,46.0,35.0,0.49295774647887325,11.0,0.7608695652173914,0.49295774647887325,0.5982905982905984
career,CoreFlow,15.0,13.0,9.0,8.0,0.6153846153846154,1.0,0.8888888888888888,0.6153846153846154,0.7272727272727274
career,SentenTree,15.0,15.0,13.0,8.0,0.5333333333333333,5.0,0.6153846153846154,0.5333333333333333,0.5714285714285715
career,SentenTree,20.0,12.0,10.0,3.0,0.25,7.0,0.3,0.25,0.2727272727272727
chicago_baseball,CoreFlow,10.0,12.0,9.0,5.0,0.4166666666666667,4.0,0.5555555555555556,0.4166666666666667,0.4761904761904762
chicago_baseball,SentenTree,10.0,13.0,11.0,9.0,0.6923076923076923,2.0,0.8181818181818182,0.6923076923076923,0.7500000000000001
emergency_dataset,CoreFlow,5.0,11.0,9.0,6.0,0.5454545454545454,3.0,0.6666666666666666,0.5454545454545454,0.6
emergency_dataset,SentenTree,5.0,14.0,12.0,5.0,0.35714285714285715,7.0,0.4166666666666667,0.35714285714285715,0.3846153846153846
emergency_dataset,SentenTree,10.0,12.0,10.0,7.0,0.5833333333333334,3.0,0.7,0.5833333333333334,0.6363636363636365
emergency_dataset,SentenTree,15.0,12.0,10.0,9.0,0.75,1.0,0.9,0.75,0.8181818181818182
pediatric_trauma,CoreFlow,15.0,11.0,11.0,8.0,0.7272727272727273,3.0,0.7272727272727273,0.7272727272727273,0.7272727272727273
pediatric_trauma,SentenTree,10.0,18.0,12.0,6.0,0.3333333333333333,6.0,0.5,0.3333333333333333,0.4
pediatric_trauma,Sequence Synopsis,5.0,63.0,58.0,57.0,0.9047619047619048,1.0,0.9827586206896551,0.9047619047619048,0.9421487603305785
pediatric_trauma,Sequence Synopsis,15.0,45.0,38.0,38.0,0.8444444444444444,0.0,1.0,0.8444444444444444,0.9156626506024096
pediatric_trauma,Sequence Synopsis,20.0,58.0,42.0,41.0,0.7068965517241379,1.0,0.9761904761904762,0.7068965517241379,0.8199999999999998
process_mining,CoreFlow,10.0,13.0,7.0,6.0,0.46153846153846156,1.0,0.8571428571428571,0.46153846153846156,0.6
process_mining,SentenTree,5.0,20.0,14.0,11.0,0.55,3.0,0.7857142857142857,0.55,0.6470588235294117
process_mining,SentenTree,10.0,13.0,12.0,4.0,0.3076923076923077,8.0,0.3333333333333333,0.3076923076923077,0.32
process_mining,Sequence Synopsis,5.0,33.0,26.0,26.0,0.7878787878787878,0.0,1.0,0.7878787878787878,0.8813559322033898
process_mining,Sequence Synopsis,10.0,33.0,25.0,24.0,0.7272727272727273,1.0,0.96,0.7272727272727273,0.8275862068965517
process_mining,Sequence Synopsis,15.0,33.0,21.0,21.0,0.6363636363636364,0.0,1.0,0.6363636363636364,0.7777777777777778
process_mining,Sequence Synopsis,20.0,33.0,23.0,23.0,0.696969696969697,0.0,1.0,0.696969696969697,0.8214285714285715
process_mining,Sequence Synopsis,25.0,33.0,26.0,26.0,0.7878787878787878,0.0,1.0,0.7878787878787878,0.8813559322033898
process_mining,Sequence Synopsis,30.0,33.0,26.0,26.0,0.7878787878787878,0.0,1.0,0.7878787878787878,0.8813559322033898
umdvsunc_D2O_basketball,CoreFlow,10.0,15.0,14.0,14.0,0.9333333333333333,0.0,1.0,0.9333333333333333,0.9655172413793104
umdvsunc_D2O_basketball,SentenTree,10.0,20.0,14.0,8.0,0.4,6.0,0.5714285714285714,0.4,0.47058823529411764
umdvsunc_D2O_basketball,Sequence Synopsis,5.0,40.0,37.0,37.0,0.925,0.0,1.0,0.925,0.961038961038961
umdvsunc_D2O_basketball,Sequence Synopsis,30.0,40.0,31.0,30.0,0.75,1.0,0.967741935483871,0.75,0.8450704225352113
vast_1000,SentenTree,10.0,13.0,10.0,10.0,0.7692307692307693,0.0,1.0,0.7692307692307693,0.8695652173913044
