dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,15.0,9.0,5.0,4.0,0.4444444444444444,1.0,0.8,0.4444444444444444,0.5714285714285714
Foursquare_NYC,CoreFlow,20.0,7.0,5.0,3.0,0.42857142857142855,2.0,0.6,0.42857142857142855,0.5
Foursquare_NYC,CoreFlow,25.0,5.0,4.0,3.0,0.6,1.0,0.75,0.6,0.6666666666666665
Foursquare_NYC,CoreFlow,30.0,3.0,3.0,2.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
Foursquare_NYC,SentenTree,15.0,9.0,7.0,4.0,0.4444444444444444,3.0,0.5714285714285714,0.4444444444444444,0.5
Foursquare_NYC,SentenTree,20.0,7.0,6.0,6.0,0.8571428571428571,0.0,1.0,0.8571428571428571,0.923076923076923
Foursquare_NYC,SentenTree,25.0,4.0,4.0,3.0,0.75,1.0,0.75,0.75,0.75
Foursquare_NYC,SentenTree,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,5.0,16.0,13.0,13.0,0.8125,0.0,1.0,0.8125,0.896551724137931
Foursquare_NYC,Sequence Synopsis,10.0,20.0,16.0,15.0,0.75,1.0,0.9375,0.75,0.8333333333333334
VAST,CoreFlow,5.0,6.0,5.0,2.0,0.3333333333333333,3.0,0.4,0.3333333333333333,0.3636363636363636
VAST,CoreFlow,10.0,4.0,3.0,2.0,0.5,1.0,0.6666666666666666,0.5,0.5714285714285715
VAST,SentenTree,15.0,11.0,9.0,6.0,0.5454545454545454,3.0,0.6666666666666666,0.5454545454545454,0.6
VAST,SentenTree,20.0,10.0,8.0,8.0,0.8,0.0,1.0,0.8,0.888888888888889
VAST,SentenTree,25.0,8.0,8.0,7.0,0.875,1.0,0.875,0.875,0.875
career,CoreFlow,20.0,9.0,7.0,3.0,0.3333333333333333,4.0,0.42857142857142855,0.3333333333333333,0.375
chicago_baseball,CoreFlow,15.0,8.0,6.0,4.0,0.5,2.0,0.6666666666666666,0.5,0.5714285714285715
chicago_baseball,CoreFlow,25.0,6.0,6.0,5.0,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334
chicago_baseball,SentenTree,15.0,11.0,10.0,7.0,0.6363636363636364,3.0,0.7,0.6363636363636364,0.6666666666666666
chicago_baseball,SentenTree,20.0,9.0,7.0,5.0,0.5555555555555556,2.0,0.7142857142857143,0.5555555555555556,0.6250000000000001
chicago_baseball,SentenTree,30.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,5.0,5.0,4.0,4.0,0.8,0.0,1.0,0.8,0.888888888888889
chicago_baseball,Sequence Synopsis,10.0,15.0,15.0,15.0,1.0,0.0,1.0,1.0,1.0
