dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,10.0,11.0,10.0,3.0,0.2727272727272727,7.0,0.3,0.2727272727272727,0.28571428571428564
Foursquare_NYC,SentenTree,10.0,10.0,8.0,4.0,0.4,4.0,0.5,0.4,0.4444444444444445
VAST,SentenTree,10.0,16.0,11.0,11.0,0.6875,0.0,1.0,0.6875,0.8148148148148148
career,CoreFlow,15.0,13.0,9.0,8.0,0.6153846153846154,1.0,0.8888888888888888,0.6153846153846154,0.7272727272727274
career,SentenTree,15.0,15.0,13.0,8.0,0.5333333333333333,5.0,0.6153846153846154,0.5333333333333333,0.5714285714285715
career,SentenTree,20.0,12.0,10.0,3.0,0.25,7.0,0.3,0.25,0.2727272727272727
career,SentenTree,25.0,10.0,9.0,5.0,0.5,4.0,0.5555555555555556,0.5,0.5263157894736842
career,Sequence Synopsis,5.0,50.0,38.0,38.0,0.76,0.0,1.0,0.76,0.8636363636363636
career,Sequence Synopsis,10.0,36.0,23.0,22.0,0.6111111111111112,1.0,0.9565217391304348,0.6111111111111112,0.7457627118644068
career,Sequence Synopsis,15.0,49.0,36.0,36.0,0.7346938775510204,0.0,1.0,0.7346938775510204,0.8470588235294119
career,Sequence Synopsis,25.0,50.0,38.0,38.0,0.76,0.0,1.0,0.76,0.8636363636363636
career,Sequence Synopsis,30.0,40.0,38.0,35.0,0.875,3.0,0.9210526315789473,0.875,0.8974358974358975
chicago_baseball,CoreFlow,10.0,12.0,9.0,5.0,0.4166666666666667,4.0,0.5555555555555556,0.4166666666666667,0.4761904761904762
chicago_baseball,SentenTree,10.0,13.0,11.0,9.0,0.6923076923076923,2.0,0.8181818181818182,0.6923076923076923,0.7500000000000001
emergency_dataset,CoreFlow,5.0,11.0,9.0,6.0,0.5454545454545454,3.0,0.6666666666666666,0.5454545454545454,0.6
emergency_dataset,SentenTree,5.0,14.0,12.0,5.0,0.35714285714285715,7.0,0.4166666666666667,0.35714285714285715,0.3846153846153846
emergency_dataset,SentenTree,10.0,12.0,10.0,7.0,0.5833333333333334,3.0,0.7,0.5833333333333334,0.6363636363636365
emergency_dataset,SentenTree,15.0,12.0,10.0,9.0,0.75,1.0,0.9,0.75,0.8181818181818182
pediatric_trauma,CoreFlow,15.0,11.0,11.0,8.0,0.7272727272727273,3.0,0.7272727272727273,0.7272727272727273,0.7272727272727273
pediatric_trauma,SentenTree,10.0,18.0,12.0,6.0,0.3333333333333333,6.0,0.5,0.3333333333333333,0.4
pediatric_trauma,Sequence Synopsis,15.0,45.0,38.0,38.0,0.8444444444444444,0.0,1.0,0.8444444444444444,0.9156626506024096
pediatric_trauma,Sequence Synopsis,25.0,40.0,33.0,32.0,0.8,1.0,0.9696969696969697,0.8,0.8767123287671234
pediatric_trauma,Sequence Synopsis,30.0,36.0,33.0,33.0,0.9166666666666666,0.0,1.0,0.9166666666666666,0.9565217391304348
process_mining,CoreFlow,10.0,13.0,7.0,6.0,0.46153846153846156,1.0,0.8571428571428571,0.46153846153846156,0.6
process_mining,SentenTree,10.0,13.0,12.0,4.0,0.3076923076923077,8.0,0.3333333333333333,0.3076923076923077,0.32
umdvsunc_D2O_basketball,CoreFlow,10.0,15.0,14.0,14.0,0.9333333333333333,0.0,1.0,0.9333333333333333,0.9655172413793104
umdvsunc_D2O_basketball,SentenTree,10.0,20.0,14.0,8.0,0.4,6.0,0.5714285714285714,0.4,0.47058823529411764
umdvsunc_D2O_basketball,Sequence Synopsis,5.0,40.0,37.0,37.0,0.925,0.0,1.0,0.925,0.961038961038961
umdvsunc_D2O_basketball,Sequence Synopsis,10.0,35.0,23.0,22.0,0.6285714285714286,1.0,0.9565217391304348,0.6285714285714286,0.7586206896551724
umdvsunc_D2O_basketball,Sequence Synopsis,30.0,40.0,31.0,30.0,0.75,1.0,0.967741935483871,0.75,0.8450704225352113
vast_1000,SentenTree,10.0,13.0,10.0,10.0,0.7692307692307693,0.0,1.0,0.7692307692307693,0.8695652173913044
