dataset,technique,parameter_value,attribute,value,gt_count,llm_count,hallucinated_count
Foursquare_NYC,CoreFlow,10.0,exit->exit,35,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,10.0,exit->exit,76,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,10.0,exit->exit,188,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,10.0,exit->fast food,155,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,10.0,exit->restaurant,137,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,10.0,fast food->exit,106,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,10.0,fast food->restaurant,182,0.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,exit->exit,188,0.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,fast food->exit,106,0.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,fast food->restaurant,155,0.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,restaurant->exit,137,1.0,2.0,1.0
career,CoreFlow,15.0,conference->professor,25,0.0,1.0,1.0
career,SentenTree,15.0,bs->conference,38,0.0,1.0,1.0
career,SentenTree,15.0,conference->conference,26,0.0,1.0,1.0
career,SentenTree,15.0,conference->journal,25,0.0,1.0,1.0
career,SentenTree,15.0,ms->conference,33,0.0,1.0,1.0
career,SentenTree,15.0,start->ms,40,0.0,1.0,1.0
career,SentenTree,20.0,bs->conference,38,0.0,1.0,1.0
career,SentenTree,20.0,conference->conference,10,1.0,2.0,1.0
career,SentenTree,20.0,conference->conference,23,0.0,1.0,1.0
career,SentenTree,20.0,conference->exit,18,0.0,1.0,1.0
career,SentenTree,20.0,conference->journal,25,0.0,1.0,1.0
career,SentenTree,20.0,ms->conference,33,0.0,1.0,1.0
career,SentenTree,20.0,start->ms,40,0.0,1.0,1.0
career,SentenTree,25.0,conference->conference,33,0.0,1.0,1.0
career,SentenTree,25.0,conference->journal,25,0.0,1.0,1.0
career,SentenTree,25.0,journal->conference,20,0.0,1.0,1.0
career,SentenTree,25.0,ms->conference,38,0.0,1.0,1.0
career,Sequence Synopsis,10.0,conference assistant professor,5,0.0,1.0,1.0
career,Sequence Synopsis,30.0,conference,4,0.0,1.0,1.0
career,Sequence Synopsis,30.0,journal conference,3,0.0,1.0,1.0
