dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,5.0,19.0,17.0,17.0,0.8947368421052632,0.0,1.0,0.8947368421052632,0.9444444444444444
Foursquare_NYC,SentenTree,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foursquare_NYC,Sequence Synopsis,15.0,106.0,93.0,86.0,0.8113207547169812,7.0,0.9247311827956989,0.8113207547169812,0.8643216080402009
VAST,SentenTree,5.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAST,Sequence Synopsis,5.0,96.0,77.0,77.0,0.8020833333333334,0.0,1.0,0.8020833333333334,0.8901734104046243
VAST,Sequence Synopsis,15.0,96.0,71.0,69.0,0.71875,2.0,0.971830985915493,0.71875,0.8263473053892216
VAST,Sequence Synopsis,20.0,83.0,75.0,75.0,0.9036144578313253,0.0,1.0,0.9036144578313253,0.9493670886075949
VAST,Sequence Synopsis,25.0,71.0,70.0,70.0,0.9859154929577465,0.0,1.0,0.9859154929577465,0.9929078014184397
career,CoreFlow,5.0,23.0,23.0,23.0,1.0,0.0,1.0,1.0,1.0
career,CoreFlow,10.0,19.0,19.0,19.0,1.0,0.0,1.0,1.0,1.0
career,SentenTree,5.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
career,SentenTree,10.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chicago_baseball,CoreFlow,5.0,22.0,21.0,11.0,0.5,10.0,0.5238095238095238,0.5,0.5116279069767442
chicago_baseball,SentenTree,5.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pediatric_trauma,CoreFlow,5.0,17.0,18.0,16.0,0.9411764705882353,2.0,0.8888888888888888,0.9411764705882353,0.9142857142857143
pediatric_trauma,SentenTree,5.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pediatric_trauma,Sequence Synopsis,5.0,63.0,64.0,63.0,1.0,1.0,0.984375,1.0,0.9921259842519685
pediatric_trauma,Sequence Synopsis,20.0,58.0,58.0,58.0,1.0,0.0,1.0,1.0,1.0
process_mining,CoreFlow,5.0,19.0,17.0,7.0,0.3684210526315789,10.0,0.4117647058823529,0.3684210526315789,0.3888888888888889
process_mining,SentenTree,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,CoreFlow,5.0,20.0,19.0,19.0,0.95,0.0,1.0,0.95,0.9743589743589743
test,SentenTree,5.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
umdvsunc_D2O_basketball,CoreFlow,5.0,22.0,22.0,19.0,0.8636363636363636,3.0,0.8636363636363636,0.8636363636363636,0.8636363636363636
umdvsunc_D2O_basketball,SentenTree,5.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vast_1000,SentenTree,5.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
