dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,5.0,19.0,17.0,17.0,0.8947368421052632,0.0,1.0,0.8947368421052632,0.9444444444444444
Foursquare_NYC,CoreFlow,10.0,11.0,11.0,11.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,9.0,9.0,9.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,20.0,7.0,7.0,7.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,25.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foursquare_NYC,SentenTree,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foursquare_NYC,SentenTree,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foursquare_NYC,SentenTree,20.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foursquare_NYC,SentenTree,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foursquare_NYC,SentenTree,30.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foursquare_NYC,Sequence Synopsis,5.0,16.0,12.0,12.0,0.75,0.0,1.0,0.75,0.8571428571428571
Foursquare_NYC,Sequence Synopsis,10.0,20.0,20.0,20.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,106.0,93.0,86.0,0.8113207547169812,7.0,0.9247311827956989,0.8113207547169812,0.8643216080402009
VAST,CoreFlow,5.0,6.0,6.0,6.0,1.0,0.0,1.0,1.0,1.0
VAST,CoreFlow,10.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0
VAST,SentenTree,5.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAST,SentenTree,10.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAST,SentenTree,15.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAST,SentenTree,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAST,SentenTree,25.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
VAST,Sequence Synopsis,5.0,96.0,77.0,77.0,0.8020833333333334,0.0,1.0,0.8020833333333334,0.8901734104046243
VAST,Sequence Synopsis,15.0,96.0,71.0,69.0,0.71875,2.0,0.971830985915493,0.71875,0.8263473053892216
VAST,Sequence Synopsis,20.0,83.0,75.0,75.0,0.9036144578313253,0.0,1.0,0.9036144578313253,0.9493670886075949
VAST,Sequence Synopsis,25.0,71.0,70.0,70.0,0.9859154929577465,0.0,1.0,0.9859154929577465,0.9929078014184397
career,CoreFlow,5.0,23.0,23.0,23.0,1.0,0.0,1.0,1.0,1.0
career,CoreFlow,10.0,19.0,19.0,19.0,1.0,0.0,1.0,1.0,1.0
career,CoreFlow,15.0,13.0,13.0,13.0,1.0,0.0,1.0,1.0,1.0
career,CoreFlow,20.0,9.0,9.0,9.0,1.0,0.0,1.0,1.0,1.0
career,SentenTree,5.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
career,SentenTree,10.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
career,SentenTree,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
career,SentenTree,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
career,SentenTree,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
career,Sequence Synopsis,5.0,50.0,50.0,50.0,1.0,0.0,1.0,1.0,1.0
career,Sequence Synopsis,10.0,36.0,36.0,36.0,1.0,0.0,1.0,1.0,1.0
career,Sequence Synopsis,15.0,49.0,49.0,49.0,1.0,0.0,1.0,1.0,1.0
career,Sequence Synopsis,25.0,50.0,49.0,49.0,0.98,0.0,1.0,0.98,0.98989898989899
career,Sequence Synopsis,30.0,40.0,40.0,40.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,CoreFlow,5.0,22.0,21.0,11.0,0.5,10.0,0.5238095238095238,0.5,0.5116279069767442
chicago_baseball,CoreFlow,10.0,12.0,12.0,10.0,0.8333333333333334,2.0,0.8333333333333334,0.8333333333333334,0.8333333333333334
chicago_baseball,CoreFlow,15.0,8.0,8.0,6.0,0.75,2.0,0.75,0.75,0.75
chicago_baseball,CoreFlow,25.0,6.0,6.0,6.0,1.0,0.0,1.0,1.0,1.0
