dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,10.0,11.0,11.0,11.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,18.0,18.0,18.0,1.0,0.0,1.0,1.0,1.0
VAST,SentenTree,10.0,16.0,17.0,16.0,1.0,1.0,0.9411764705882353,1.0,0.9696969696969697
VAST,Sequence Synopsis,20.0,83.0,79.0,77.0,0.927710843373494,2.0,0.9746835443037974,0.927710843373494,0.9506172839506173
VAST,Sequence Synopsis,25.0,71.0,80.0,55.0,0.7746478873239436,25.0,0.6875,0.7746478873239436,0.728476821192053
career,CoreFlow,15.0,13.0,13.0,13.0,1.0,0.0,1.0,1.0,1.0
career,SentenTree,15.0,15.0,15.0,15.0,1.0,0.0,1.0,1.0,1.0
career,SentenTree,20.0,12.0,11.0,11.0,0.9166666666666666,0.0,1.0,0.9166666666666666,0.9565217391304348
chicago_baseball,CoreFlow,10.0,12.0,12.0,10.0,0.8333333333333334,2.0,0.8333333333333334,0.8333333333333334,0.8333333333333334
chicago_baseball,SentenTree,10.0,13.0,13.0,13.0,1.0,0.0,1.0,1.0,1.0
emergency_dataset,CoreFlow,5.0,11.0,11.0,11.0,1.0,0.0,1.0,1.0,1.0
emergency_dataset,SentenTree,5.0,14.0,14.0,14.0,1.0,0.0,1.0,1.0,1.0
emergency_dataset,SentenTree,10.0,12.0,12.0,12.0,1.0,0.0,1.0,1.0,1.0
emergency_dataset,SentenTree,15.0,12.0,12.0,12.0,1.0,0.0,1.0,1.0,1.0
pediatric_trauma,CoreFlow,15.0,11.0,11.0,11.0,1.0,0.0,1.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,18.0,18.0,17.0,0.9444444444444444,1.0,0.9444444444444444,0.9444444444444444,0.9444444444444444
pediatric_trauma,Sequence Synopsis,5.0,63.0,63.0,63.0,1.0,0.0,1.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,15.0,45.0,44.0,43.0,0.9555555555555556,1.0,0.9772727272727273,0.9555555555555556,0.9662921348314608
pediatric_trauma,Sequence Synopsis,20.0,58.0,50.0,17.0,0.29310344827586204,33.0,0.34,0.29310344827586204,0.31481481481481477
process_mining,CoreFlow,10.0,13.0,13.0,13.0,1.0,0.0,1.0,1.0,1.0
process_mining,SentenTree,5.0,20.0,19.0,17.0,0.85,2.0,0.8947368421052632,0.85,0.8717948717948718
process_mining,SentenTree,10.0,13.0,13.0,13.0,1.0,0.0,1.0,1.0,1.0
process_mining,Sequence Synopsis,5.0,33.0,33.0,33.0,1.0,0.0,1.0,1.0,1.0
process_mining,Sequence Synopsis,10.0,33.0,33.0,33.0,1.0,0.0,1.0,1.0,1.0
process_mining,Sequence Synopsis,15.0,33.0,33.0,33.0,1.0,0.0,1.0,1.0,1.0
process_mining,Sequence Synopsis,20.0,33.0,26.0,20.0,0.6060606060606061,6.0,0.7692307692307693,0.6060606060606061,0.6779661016949152
process_mining,Sequence Synopsis,25.0,33.0,30.0,21.0,0.6363636363636364,9.0,0.7,0.6363636363636364,0.6666666666666666
process_mining,Sequence Synopsis,30.0,33.0,30.0,25.0,0.7575757575757576,5.0,0.8333333333333334,0.7575757575757576,0.7936507936507938
umdvsunc_D2O_basketball,CoreFlow,10.0,15.0,15.0,15.0,1.0,0.0,1.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,10.0,20.0,19.0,16.0,0.8,3.0,0.8421052631578947,0.8,0.8205128205128205
umdvsunc_D2O_basketball,Sequence Synopsis,5.0,40.0,40.0,40.0,1.0,0.0,1.0,1.0,1.0
umdvsunc_D2O_basketball,Sequence Synopsis,30.0,40.0,39.0,39.0,0.975,0.0,1.0,0.975,0.9873417721518987
vast_1000,SentenTree,10.0,13.0,13.0,13.0,1.0,0.0,1.0,1.0,1.0
