dataset,technique,parameter_value,attribute,value,gt_count,llm_count,hallucinated_count
VAST,SentenTree,10.0,general gate->entrance,13,1.0,2.0,1.0
VAST,Sequence Synopsis,20.0,general gate,4,2.0,3.0,1.0
VAST,Sequence Synopsis,20.0,ranger-stop,7,2.0,3.0,1.0
VAST,Sequence Synopsis,25.0,camping,13,0.0,1.0,1.0
VAST,Sequence Synopsis,25.0,entrance,8,1.0,2.0,1.0
VAST,Sequence Synopsis,25.0,entrance,10,1.0,4.0,3.0
VAST,Sequence Synopsis,25.0,entrance,27,1.0,2.0,1.0
VAST,Sequence Synopsis,25.0,entrance,29,1.0,2.0,1.0
VAST,Sequence Synopsis,25.0,gate,4,0.0,1.0,1.0
VAST,Sequence Synopsis,25.0,gate,5,0.0,1.0,1.0
VAST,Sequence Synopsis,25.0,general gate,7,6.0,7.0,1.0
VAST,Sequence Synopsis,25.0,general gate,10,3.0,4.0,1.0
VAST,Sequence Synopsis,25.0,general gate,12,1.0,2.0,1.0
VAST,Sequence Synopsis,25.0,general gate,13,1.0,2.0,1.0
VAST,Sequence Synopsis,25.0,general gate,14,0.0,2.0,2.0
VAST,Sequence Synopsis,25.0,general gate,24,1.0,3.0,2.0
VAST,Sequence Synopsis,25.0,general gate,29,2.0,3.0,1.0
VAST,Sequence Synopsis,25.0,ranger-base,6,1.0,2.0,1.0
VAST,Sequence Synopsis,25.0,ranger-stop,1,0.0,1.0,1.0
VAST,Sequence Synopsis,25.0,ranger-stop,2,3.0,4.0,1.0
VAST,Sequence Synopsis,25.0,ranger-stop,7,2.0,3.0,1.0
VAST,Sequence Synopsis,25.0,ranger-stop,10,2.0,4.0,2.0
VAST,Sequence Synopsis,25.0,ranger-stop,11,2.0,3.0,1.0
chicago_baseball,CoreFlow,10.0,team-1 offense->exit,18,0.0,1.0,1.0
chicago_baseball,CoreFlow,10.0,team-1 offense->team-1 foul,49,0.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,exit->blanket,67,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,15.0,pupil,6,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,20.0,airway,6,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,20.0,airway,11,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,20.0,airway,28,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,20.0,airway,31,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,20.0,airway,34,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,20.0,airway,70,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,20.0,blanket,12,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,20.0,blanket,35,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,20.0,blanket,77,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,20.0,breathing,4,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,20.0,breathing,7,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,20.0,breathing,32,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,20.0,breathing,67,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,20.0,gcs,2,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,20.0,gcs,19,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,20.0,gcs,24,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,20.0,gcs,42,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,20.0,iv,36,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,20.0,iv,39,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,20.0,oxygen,9,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,20.0,oxygen,19,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,20.0,pulse,11,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,20.0,pulse,29,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,20.0,pupil,5,1.0,2.0,1.0
pediatric_trauma,Sequence Synopsis,20.0,pupil,8,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,20.0,pupil,17,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,20.0,pupil,26,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,20.0,pupil,35,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,20.0,secondarysurvey,8,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,20.0,secondarysurvey,14,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,20.0,secondarysurvey,19,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,20.0,temp,15,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,20.0,temp,19,0.0,1.0,1.0
process_mining,SentenTree,5.0,open pull request->create issue,3,0.0,1.0,1.0
process_mining,SentenTree,5.0,start->open pull request,30,0.0,1.0,1.0
process_mining,Sequence Synopsis,20.0,close pull request,8,0.0,1.0,1.0
process_mining,Sequence Synopsis,20.0,commit changes,2,1.0,2.0,1.0
process_mining,Sequence Synopsis,20.0,create issue,2,0.0,1.0,1.0
process_mining,Sequence Synopsis,20.0,create issue,11,0.0,1.0,1.0
process_mining,Sequence Synopsis,20.0,issue comment,3,0.0,1.0,1.0
process_mining,Sequence Synopsis,20.0,resolve issue,6,0.0,1.0,1.0
process_mining,Sequence Synopsis,25.0,close pull request,8,0.0,1.0,1.0
process_mining,Sequence Synopsis,25.0,commit changes,2,1.0,2.0,1.0
process_mining,Sequence Synopsis,25.0,commit changes,16,1.0,2.0,1.0
process_mining,Sequence Synopsis,25.0,create issue,2,0.0,1.0,1.0
process_mining,Sequence Synopsis,25.0,create issue,3,0.0,1.0,1.0
process_mining,Sequence Synopsis,25.0,create issue,11,0.0,1.0,1.0
process_mining,Sequence Synopsis,25.0,issue comment,3,0.0,2.0,2.0
process_mining,Sequence Synopsis,25.0,resolve issue,6,0.0,1.0,1.0
process_mining,Sequence Synopsis,30.0,build system update,2,1.0,2.0,1.0
process_mining,Sequence Synopsis,30.0,close pull request,8,0.0,1.0,1.0
process_mining,Sequence Synopsis,30.0,commit changes,16,1.0,2.0,1.0
process_mining,Sequence Synopsis,30.0,create issue,11,0.0,1.0,1.0
process_mining,Sequence Synopsis,30.0,resolve issue,6,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,10.0,rebound->umd offense,15,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,10.0,umd offense->exit,27,0.0,1.0,1.0
