dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,5.0,19.0,19.0,19.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,18.0,18.0,18.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,106.0,108.0,99.0,0.9339622641509434,9.0,0.9166666666666666,0.9339622641509434,0.9252336448598131
VAST,SentenTree,5.0,46.0,55.0,36.0,0.782608695652174,19.0,0.6545454545454545,0.782608695652174,0.7128712871287128
VAST,Sequence Synopsis,5.0,96.0,91.0,89.0,0.9270833333333334,2.0,0.978021978021978,0.9270833333333334,0.9518716577540107
VAST,Sequence Synopsis,15.0,96.0,88.0,87.0,0.90625,1.0,0.9886363636363636,0.90625,0.9456521739130435
VAST,Sequence Synopsis,20.0,83.0,79.0,77.0,0.927710843373494,2.0,0.9746835443037974,0.927710843373494,0.9506172839506173
VAST,Sequence Synopsis,25.0,71.0,80.0,55.0,0.7746478873239436,25.0,0.6875,0.7746478873239436,0.728476821192053
career,CoreFlow,5.0,23.0,23.0,23.0,1.0,0.0,1.0,1.0,1.0
career,CoreFlow,10.0,19.0,18.0,18.0,0.9473684210526315,0.0,1.0,0.9473684210526315,0.972972972972973
career,SentenTree,5.0,44.0,40.0,27.0,0.6136363636363636,13.0,0.675,0.6136363636363636,0.6428571428571429
career,SentenTree,10.0,23.0,24.0,21.0,0.9130434782608695,3.0,0.875,0.9130434782608695,0.8936170212765957
chicago_baseball,CoreFlow,5.0,22.0,21.0,14.0,0.6363636363636364,7.0,0.6666666666666666,0.6363636363636364,0.6511627906976744
chicago_baseball,SentenTree,5.0,25.0,23.0,19.0,0.76,4.0,0.8260869565217391,0.76,0.7916666666666667
pediatric_trauma,CoreFlow,5.0,17.0,17.0,17.0,1.0,0.0,1.0,1.0,1.0
pediatric_trauma,SentenTree,5.0,30.0,31.0,19.0,0.6333333333333333,12.0,0.6129032258064516,0.6333333333333333,0.6229508196721313
pediatric_trauma,Sequence Synopsis,5.0,63.0,63.0,63.0,1.0,0.0,1.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,20.0,58.0,50.0,17.0,0.29310344827586204,33.0,0.34,0.29310344827586204,0.31481481481481477
process_mining,CoreFlow,5.0,19.0,19.0,11.0,0.5789473684210527,8.0,0.5789473684210527,0.5789473684210527,0.5789473684210527
process_mining,SentenTree,5.0,20.0,19.0,17.0,0.85,2.0,0.8947368421052632,0.85,0.8717948717948718
test,CoreFlow,5.0,20.0,20.0,20.0,1.0,0.0,1.0,1.0,1.0
test,SentenTree,5.0,37.0,34.0,27.0,0.7297297297297297,7.0,0.7941176470588235,0.7297297297297297,0.7605633802816901
umdvsunc_D2O_basketball,CoreFlow,5.0,22.0,22.0,22.0,1.0,0.0,1.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,5.0,35.0,35.0,22.0,0.6285714285714286,13.0,0.6285714285714286,0.6285714285714286,0.6285714285714286
vast_1000,SentenTree,5.0,36.0,35.0,24.0,0.6666666666666666,11.0,0.6857142857142857,0.6666666666666666,0.676056338028169
