dataset,technique,parameter_value,attribute,value,gt_count,llm_count,hallucinated_count
Foursquare_NYC,Sequence Synopsis,10.0,start,7,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,10.0,start,10,1.0,3.0,2.0
Foursquare_NYC,Sequence Synopsis,10.0,start,84,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,bank,12,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,event space,18,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,exit,1,5.0,6.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,general college&university,10,1.0,2.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,gym/fitness center,6,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,recreation,10,1.0,2.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,safe schools,6,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,start,1,5.0,6.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,store,1,0.0,1.0,1.0
VAST,SentenTree,5.0,camping->camping,6,2.0,3.0,1.0
VAST,SentenTree,5.0,camping->exit,6,0.0,1.0,1.0
VAST,SentenTree,5.0,camping->ranger-base,6,0.0,1.0,1.0
VAST,SentenTree,5.0,entrance->exit,5,0.0,1.0,1.0
VAST,SentenTree,5.0,entrance->general gate,3,0.0,1.0,1.0
VAST,SentenTree,5.0,entrance->general gate,6,0.0,1.0,1.0
VAST,SentenTree,5.0,entrance->general gate,8,0.0,2.0,2.0
VAST,SentenTree,5.0,entrance->general gate,14,0.0,1.0,1.0
VAST,SentenTree,5.0,general gate->camping,6,2.0,3.0,1.0
VAST,SentenTree,5.0,general gate->general gate,6,0.0,1.0,1.0
VAST,SentenTree,5.0,general gate->general gate,7,0.0,3.0,3.0
VAST,SentenTree,5.0,general gate->ranger-stop,7,1.0,2.0,1.0
VAST,SentenTree,5.0,ranger-stop->ranger-stop,6,5.0,8.0,3.0
VAST,SentenTree,5.0,ranger-stop->ranger-stop,63,0.0,1.0,1.0
VAST,SentenTree,10.0,general gate->entrance,13,1.0,2.0,1.0
VAST,SentenTree,15.0,general gate->entrance,21,1.0,2.0,1.0
VAST,SentenTree,15.0,general gate->general gate,37,0.0,1.0,1.0
VAST,Sequence Synopsis,5.0,general gate,2,0.0,1.0,1.0
VAST,Sequence Synopsis,5.0,general gate,8,2.0,3.0,1.0
VAST,Sequence Synopsis,15.0,general gate,4,2.0,3.0,1.0
VAST,Sequence Synopsis,20.0,general gate,4,2.0,3.0,1.0
VAST,Sequence Synopsis,20.0,ranger-stop,7,2.0,3.0,1.0
VAST,Sequence Synopsis,25.0,camping,13,0.0,1.0,1.0
VAST,Sequence Synopsis,25.0,entrance,8,1.0,2.0,1.0
VAST,Sequence Synopsis,25.0,entrance,10,1.0,4.0,3.0
VAST,Sequence Synopsis,25.0,entrance,27,1.0,2.0,1.0
VAST,Sequence Synopsis,25.0,entrance,29,1.0,2.0,1.0
VAST,Sequence Synopsis,25.0,gate,4,0.0,1.0,1.0
VAST,Sequence Synopsis,25.0,gate,5,0.0,1.0,1.0
VAST,Sequence Synopsis,25.0,general gate,7,6.0,7.0,1.0
VAST,Sequence Synopsis,25.0,general gate,10,3.0,4.0,1.0
VAST,Sequence Synopsis,25.0,general gate,12,1.0,2.0,1.0
VAST,Sequence Synopsis,25.0,general gate,13,1.0,2.0,1.0
VAST,Sequence Synopsis,25.0,general gate,14,0.0,2.0,2.0
VAST,Sequence Synopsis,25.0,general gate,24,1.0,3.0,2.0
VAST,Sequence Synopsis,25.0,general gate,29,2.0,3.0,1.0
VAST,Sequence Synopsis,25.0,ranger-base,6,1.0,2.0,1.0
VAST,Sequence Synopsis,25.0,ranger-stop,1,0.0,1.0,1.0
VAST,Sequence Synopsis,25.0,ranger-stop,2,3.0,4.0,1.0
VAST,Sequence Synopsis,25.0,ranger-stop,7,2.0,3.0,1.0
VAST,Sequence Synopsis,25.0,ranger-stop,10,2.0,4.0,2.0
VAST,Sequence Synopsis,25.0,ranger-stop,11,2.0,3.0,1.0
career,SentenTree,5.0,assistant professor->journal,4,0.0,1.0,1.0
career,SentenTree,5.0,assistant professor->professor,2,0.0,1.0,1.0
career,SentenTree,5.0,associate professor->professor,2,0.0,1.0,1.0
career,SentenTree,5.0,conference->assistant professor,35,0.0,1.0,1.0
career,SentenTree,5.0,conference->conference,29,0.0,1.0,1.0
career,SentenTree,5.0,conference->exit,11,0.0,1.0,1.0
career,SentenTree,5.0,conference->journal,4,1.0,2.0,1.0
career,SentenTree,5.0,conference->journal,17,0.0,1.0,1.0
career,SentenTree,5.0,conference->professor,4,0.0,1.0,1.0
career,SentenTree,5.0,journal->associate professor,3,0.0,1.0,1.0
career,SentenTree,5.0,journal->conference,4,1.0,2.0,1.0
career,SentenTree,5.0,journal->exit,9,0.0,1.0,1.0
career,SentenTree,5.0,journal->professor,2,0.0,1.0,1.0
career,SentenTree,10.0,conference->conference,8,0.0,1.0,1.0
career,SentenTree,10.0,conference->professor,4,0.0,1.0,1.0
career,SentenTree,10.0,journal->professor,8,0.0,1.0,1.0
career,Sequence Synopsis,5.0,journal,3,2.0,3.0,1.0
career,Sequence Synopsis,10.0,assistant professor,4,0.0,1.0,1.0
career,Sequence Synopsis,10.0,conference,2,0.0,2.0,2.0
career,Sequence Synopsis,10.0,conference,7,1.0,2.0,1.0
career,Sequence Synopsis,10.0,conference,10,0.0,1.0,1.0
career,Sequence Synopsis,10.0,conference,19,0.0,1.0,1.0
career,Sequence Synopsis,10.0,journal,3,0.0,1.0,1.0
career,Sequence Synopsis,10.0,journal,12,0.0,1.0,1.0
career,Sequence Synopsis,10.0,journal,21,0.0,1.0,1.0
career,Sequence Synopsis,10.0,phd,13,0.0,1.0,1.0
career,Sequence Synopsis,30.0,associate professor,5,0.0,1.0,1.0
career,Sequence Synopsis,30.0,associate professor,11,0.0,1.0,1.0
career,Sequence Synopsis,30.0,associate professor,12,0.0,1.0,1.0
career,Sequence Synopsis,30.0,bs,8,1.0,2.0,1.0
career,Sequence Synopsis,30.0,conference,4,0.0,1.0,1.0
career,Sequence Synopsis,30.0,conference,6,0.0,2.0,2.0
career,Sequence Synopsis,30.0,conference,7,1.0,3.0,2.0
career,Sequence Synopsis,30.0,journal,5,0.0,1.0,1.0
career,Sequence Synopsis,30.0,journal,9,0.0,1.0,1.0
career,Sequence Synopsis,30.0,journal,13,0.0,1.0,1.0
career,Sequence Synopsis,30.0,phd,15,0.0,1.0,1.0
chicago_baseball,CoreFlow,5.0,chicago offense exit->defensive rebound,63,0.0,1.0,1.0
chicago_baseball,CoreFlow,5.0,chicago offense exit->exit,23,0.0,1.0,1.0
chicago_baseball,CoreFlow,5.0,chicago offense exit->foul,18,0.0,1.0,1.0
chicago_baseball,CoreFlow,5.0,chicago offense exit->made shot-2,37,0.0,1.0,1.0
chicago_baseball,CoreFlow,5.0,chicago offense exit->missed shot-2,14,0.0,1.0,1.0
chicago_baseball,CoreFlow,5.0,chicago offense exit->turnover,12,0.0,1.0,1.0
chicago_baseball,CoreFlow,5.0,opponent offense->chicago offense exit,167,0.0,1.0,1.0
chicago_baseball,CoreFlow,10.0,team-1 offense->exit,18,0.0,1.0,1.0
chicago_baseball,CoreFlow,10.0,team-1 offense->team-1 foul,49,0.0,1.0,1.0
chicago_baseball,SentenTree,5.0,chicago offense->exit,29,0.0,1.0,1.0
chicago_baseball,SentenTree,5.0,chicago offense->made shot-2,61,0.0,1.0,1.0
chicago_baseball,SentenTree,5.0,foul->missed shot-3,11,0.0,1.0,1.0
chicago_baseball,SentenTree,5.0,made free throw->missed shot-3,11,0.0,1.0,1.0
chicago_baseball,Sequence Synopsis,5.0,opponent offense,74,0.0,1.0,1.0
chicago_baseball,Sequence Synopsis,5.0,opponent offense,133,0.0,1.0,1.0
