dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,5.0,19.0,19.0,19.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,106.0,115.0,100.0,0.9433962264150944,15.0,0.8695652173913043,0.9433962264150944,0.9049773755656109
VAST,SentenTree,5.0,46.0,46.0,35.0,0.7608695652173914,11.0,0.7608695652173914,0.7608695652173914,0.7608695652173914
VAST,Sequence Synopsis,5.0,96.0,86.0,86.0,0.8958333333333334,0.0,1.0,0.8958333333333334,0.945054945054945
VAST,Sequence Synopsis,15.0,96.0,89.0,89.0,0.9270833333333334,0.0,1.0,0.9270833333333334,0.9621621621621621
career,CoreFlow,5.0,23.0,23.0,23.0,1.0,0.0,1.0,1.0,1.0
career,CoreFlow,10.0,19.0,19.0,19.0,1.0,0.0,1.0,1.0,1.0
career,SentenTree,5.0,44.0,40.0,35.0,0.7954545454545454,5.0,0.875,0.7954545454545454,0.8333333333333334
career,SentenTree,10.0,23.0,23.0,21.0,0.9130434782608695,2.0,0.9130434782608695,0.9130434782608695,0.9130434782608695
chicago_baseball,CoreFlow,5.0,22.0,21.0,14.0,0.6363636363636364,7.0,0.6666666666666666,0.6363636363636364,0.6511627906976744
chicago_baseball,SentenTree,5.0,25.0,24.0,20.0,0.8,4.0,0.8333333333333334,0.8,0.816326530612245
pediatric_trauma,CoreFlow,5.0,17.0,17.0,17.0,1.0,0.0,1.0,1.0,1.0
pediatric_trauma,SentenTree,5.0,30.0,29.0,22.0,0.7333333333333333,7.0,0.7586206896551724,0.7333333333333333,0.7457627118644068
process_mining,CoreFlow,5.0,19.0,19.0,17.0,0.8947368421052632,2.0,0.8947368421052632,0.8947368421052632,0.8947368421052632
test,CoreFlow,5.0,20.0,20.0,20.0,1.0,0.0,1.0,1.0,1.0
test,SentenTree,5.0,37.0,40.0,32.0,0.8648648648648649,8.0,0.8,0.8648648648648649,0.8311688311688312
umdvsunc_D2O_basketball,CoreFlow,5.0,22.0,22.0,22.0,1.0,0.0,1.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,5.0,35.0,32.0,26.0,0.7428571428571429,6.0,0.8125,0.7428571428571429,0.7761194029850748
vast_1000,SentenTree,5.0,36.0,35.0,26.0,0.7222222222222222,9.0,0.7428571428571429,0.7222222222222222,0.732394366197183
