dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,5.0,19.0,19.0,19.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,10.0,11.0,11.0,11.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,9.0,9.0,9.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,20.0,7.0,7.0,7.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,25.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,18.0,18.0,18.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,10.0,10.0,10.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,9.0,9.0,9.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,20.0,7.0,7.0,7.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,25.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,5.0,16.0,16.0,16.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,10.0,20.0,20.0,20.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,106.0,115.0,100.0,0.9433962264150944,15.0,0.8695652173913043,0.9433962264150944,0.9049773755656109
VAST,CoreFlow,5.0,6.0,6.0,6.0,1.0,0.0,1.0,1.0,1.0
VAST,CoreFlow,10.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0
VAST,SentenTree,5.0,46.0,46.0,35.0,0.7608695652173914,11.0,0.7608695652173914,0.7608695652173914,0.7608695652173914
VAST,SentenTree,10.0,16.0,16.0,16.0,1.0,0.0,1.0,1.0,1.0
VAST,SentenTree,15.0,11.0,11.0,11.0,1.0,0.0,1.0,1.0,1.0
VAST,SentenTree,20.0,10.0,10.0,10.0,1.0,0.0,1.0,1.0,1.0
VAST,SentenTree,25.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
VAST,Sequence Synopsis,5.0,96.0,86.0,86.0,0.8958333333333334,0.0,1.0,0.8958333333333334,0.945054945054945
VAST,Sequence Synopsis,15.0,96.0,89.0,89.0,0.9270833333333334,0.0,1.0,0.9270833333333334,0.9621621621621621
