dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,10.0,11.0,11.0,9.0,0.8181818181818182,2.0,0.8181818181818182,0.8181818181818182,0.8181818181818182
Foursquare_NYC,SentenTree,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAST,SentenTree,10.0,16.0,15.0,12.0,0.75,3.0,0.8,0.75,0.7741935483870969
VAST,Sequence Synopsis,20.0,83.0,42.0,39.0,0.46987951807228917,3.0,0.9285714285714286,0.46987951807228917,0.624
VAST,Sequence Synopsis,25.0,71.0,60.0,54.0,0.7605633802816901,6.0,0.9,0.7605633802816901,0.8244274809160305
career,CoreFlow,15.0,13.0,12.0,9.0,0.6923076923076923,3.0,0.75,0.6923076923076923,0.7199999999999999
career,SentenTree,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
career,SentenTree,20.0,12.0,13.0,11.0,0.9166666666666666,2.0,0.8461538461538461,0.9166666666666666,0.8799999999999999
chicago_baseball,CoreFlow,10.0,12.0,11.0,9.0,0.75,2.0,0.8181818181818182,0.75,0.7826086956521738
chicago_baseball,SentenTree,10.0,13.0,11.0,11.0,0.8461538461538461,0.0,1.0,0.8461538461538461,0.9166666666666666
emergency_dataset,CoreFlow,5.0,11.0,11.0,10.0,0.9090909090909091,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091
emergency_dataset,SentenTree,5.0,14.0,12.0,10.0,0.7142857142857143,2.0,0.8333333333333334,0.7142857142857143,0.7692307692307692
emergency_dataset,SentenTree,10.0,12.0,12.0,9.0,0.75,3.0,0.75,0.75,0.75
emergency_dataset,SentenTree,15.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pediatric_trauma,CoreFlow,15.0,11.0,10.0,9.0,0.8181818181818182,1.0,0.9,0.8181818181818182,0.8571428571428572
pediatric_trauma,SentenTree,10.0,18.0,13.0,8.0,0.4444444444444444,5.0,0.6153846153846154,0.4444444444444444,0.5161290322580646
pediatric_trauma,Sequence Synopsis,5.0,63.0,43.0,42.0,0.6666666666666666,1.0,0.9767441860465116,0.6666666666666666,0.7924528301886793
pediatric_trauma,Sequence Synopsis,15.0,45.0,39.0,36.0,0.8,3.0,0.9230769230769231,0.8,0.8571428571428571
pediatric_trauma,Sequence Synopsis,20.0,58.0,47.0,47.0,0.8103448275862069,0.0,1.0,0.8103448275862069,0.8952380952380952
process_mining,CoreFlow,10.0,13.0,11.0,11.0,0.8461538461538461,0.0,1.0,0.8461538461538461,0.9166666666666666
process_mining,SentenTree,5.0,20.0,17.0,12.0,0.6,5.0,0.7058823529411765,0.6,0.6486486486486486
process_mining,SentenTree,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
process_mining,Sequence Synopsis,5.0,33.0,25.0,24.0,0.7272727272727273,1.0,0.96,0.7272727272727273,0.8275862068965517
process_mining,Sequence Synopsis,10.0,33.0,25.0,24.0,0.7272727272727273,1.0,0.96,0.7272727272727273,0.8275862068965517
process_mining,Sequence Synopsis,15.0,33.0,27.0,26.0,0.7878787878787878,1.0,0.9629629629629629,0.7878787878787878,0.8666666666666665
process_mining,Sequence Synopsis,20.0,33.0,22.0,22.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.8
process_mining,Sequence Synopsis,25.0,33.0,27.0,27.0,0.8181818181818182,0.0,1.0,0.8181818181818182,0.9
process_mining,Sequence Synopsis,30.0,33.0,28.0,27.0,0.8181818181818182,1.0,0.9642857142857143,0.8181818181818182,0.8852459016393442
umdvsunc_D2O_basketball,CoreFlow,10.0,15.0,14.0,13.0,0.8666666666666667,1.0,0.9285714285714286,0.8666666666666667,0.896551724137931
umdvsunc_D2O_basketball,SentenTree,10.0,20.0,17.0,9.0,0.45,8.0,0.5294117647058824,0.45,0.48648648648648646
umdvsunc_D2O_basketball,Sequence Synopsis,5.0,40.0,33.0,33.0,0.825,0.0,1.0,0.825,0.9041095890410958
umdvsunc_D2O_basketball,Sequence Synopsis,30.0,40.0,37.0,37.0,0.925,0.0,1.0,0.925,0.961038961038961
vast_1000,SentenTree,10.0,13.0,13.0,12.0,0.9230769230769231,1.0,0.9230769230769231,0.9230769230769231,0.9230769230769231
