dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,5.0,19.0,19.0,14.0,0.7368421052631579,5.0,0.7368421052631579,0.7368421052631579,0.7368421052631579
Foursquare_NYC,SentenTree,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foursquare_NYC,Sequence Synopsis,15.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAST,SentenTree,5.0,46.0,28.0,16.0,0.34782608695652173,12.0,0.5714285714285714,0.34782608695652173,0.4324324324324324
VAST,Sequence Synopsis,5.0,96.0,50.0,44.0,0.4583333333333333,6.0,0.88,0.4583333333333333,0.6027397260273972
VAST,Sequence Synopsis,15.0,96.0,50.0,49.0,0.5104166666666666,1.0,0.98,0.5104166666666666,0.6712328767123288
VAST,Sequence Synopsis,20.0,83.0,42.0,39.0,0.46987951807228917,3.0,0.9285714285714286,0.46987951807228917,0.624
VAST,Sequence Synopsis,25.0,71.0,60.0,54.0,0.7605633802816901,6.0,0.9,0.7605633802816901,0.8244274809160305
career,CoreFlow,5.0,23.0,16.0,9.0,0.391304347826087,7.0,0.5625,0.391304347826087,0.46153846153846156
career,CoreFlow,10.0,19.0,14.0,12.0,0.631578947368421,2.0,0.8571428571428571,0.631578947368421,0.7272727272727273
career,SentenTree,5.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
career,SentenTree,10.0,23.0,21.0,17.0,0.7391304347826086,4.0,0.8095238095238095,0.7391304347826086,0.7727272727272727
chicago_baseball,CoreFlow,5.0,22.0,19.0,10.0,0.45454545454545453,9.0,0.5263157894736842,0.45454545454545453,0.4878048780487805
chicago_baseball,SentenTree,5.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pediatric_trauma,CoreFlow,5.0,17.0,14.0,12.0,0.7058823529411765,2.0,0.8571428571428571,0.7058823529411765,0.7741935483870968
pediatric_trauma,SentenTree,5.0,30.0,22.0,8.0,0.26666666666666666,14.0,0.36363636363636365,0.26666666666666666,0.30769230769230765
pediatric_trauma,Sequence Synopsis,5.0,63.0,43.0,42.0,0.6666666666666666,1.0,0.9767441860465116,0.6666666666666666,0.7924528301886793
pediatric_trauma,Sequence Synopsis,20.0,58.0,47.0,47.0,0.8103448275862069,0.0,1.0,0.8103448275862069,0.8952380952380952
process_mining,CoreFlow,5.0,19.0,15.0,7.0,0.3684210526315789,8.0,0.4666666666666667,0.3684210526315789,0.4117647058823529
process_mining,SentenTree,5.0,20.0,17.0,12.0,0.6,5.0,0.7058823529411765,0.6,0.6486486486486486
test,CoreFlow,5.0,20.0,17.0,16.0,0.8,1.0,0.9411764705882353,0.8,0.8648648648648648
test,SentenTree,5.0,37.0,26.0,18.0,0.4864864864864865,8.0,0.6923076923076923,0.4864864864864865,0.5714285714285714
umdvsunc_D2O_basketball,CoreFlow,5.0,22.0,19.0,14.0,0.6363636363636364,5.0,0.7368421052631579,0.6363636363636364,0.6829268292682926
umdvsunc_D2O_basketball,SentenTree,5.0,35.0,24.0,12.0,0.34285714285714286,12.0,0.5,0.34285714285714286,0.4067796610169492
vast_1000,SentenTree,5.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
