dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,15.0,9.0,9.0,6.0,0.6666666666666666,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
Foursquare_NYC,CoreFlow,20.0,7.0,7.0,5.0,0.7142857142857143,2.0,0.7142857142857143,0.7142857142857143,0.7142857142857143
Foursquare_NYC,CoreFlow,25.0,5.0,4.0,4.0,0.8,0.0,1.0,0.8,0.888888888888889
Foursquare_NYC,CoreFlow,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,9.0,9.0,9.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,20.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foursquare_NYC,SentenTree,25.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,5.0,16.0,16.0,16.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,10.0,20.0,17.0,17.0,0.85,0.0,1.0,0.85,0.9189189189189189
VAST,CoreFlow,5.0,6.0,6.0,6.0,1.0,0.0,1.0,1.0,1.0
VAST,CoreFlow,10.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0
VAST,SentenTree,15.0,11.0,10.0,9.0,0.8181818181818182,1.0,0.9,0.8181818181818182,0.8571428571428572
VAST,SentenTree,20.0,10.0,10.0,9.0,0.9,1.0,0.9,0.9,0.9
VAST,SentenTree,25.0,8.0,9.0,8.0,1.0,1.0,0.8888888888888888,1.0,0.9411764705882353
career,CoreFlow,20.0,9.0,8.0,7.0,0.7777777777777778,1.0,0.875,0.7777777777777778,0.823529411764706
chicago_baseball,CoreFlow,15.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,CoreFlow,25.0,6.0,6.0,6.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,SentenTree,15.0,11.0,9.0,9.0,0.8181818181818182,0.0,1.0,0.8181818181818182,0.9
chicago_baseball,SentenTree,20.0,9.0,8.0,8.0,0.8888888888888888,0.0,1.0,0.8888888888888888,0.9411764705882353
chicago_baseball,SentenTree,30.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,5.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,10.0,15.0,14.0,13.0,0.8666666666666667,1.0,0.9285714285714286,0.8666666666666667,0.896551724137931
