dataset,technique,parameter_value,attribute,value,gt_count,llm_count,hallucinated_count
Foursquare_NYC,CoreFlow,10.0,exit->exit,137,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,10.0,restaurant->exit,188,0.0,1.0,1.0
VAST,SentenTree,10.0,general gate->general gate,0,0.0,1.0,1.0
VAST,SentenTree,10.0,general gate->general gate,13,1.0,2.0,1.0
VAST,SentenTree,10.0,ranger-stop->general gate,70,0.0,1.0,1.0
career,CoreFlow,15.0,conference->conference,25,0.0,1.0,1.0
career,CoreFlow,15.0,conference->exit,7,1.0,2.0,1.0
career,CoreFlow,15.0,conference->exit,16,0.0,1.0,1.0
career,SentenTree,20.0,conference->conference,10,1.0,2.0,1.0
career,SentenTree,20.0,journal->conference,23,0.0,1.0,1.0
career,Sequence Synopsis,10.0,assistant professor,5,0.0,1.0,1.0
career,Sequence Synopsis,10.0,conference,2,0.0,1.0,1.0
career,Sequence Synopsis,10.0,conference,19,0.0,1.0,1.0
career,Sequence Synopsis,10.0,journal,21,0.0,1.0,1.0
career,Sequence Synopsis,15.0,conference,1,0.0,1.0,1.0
career,Sequence Synopsis,15.0,conference,4,0.0,1.0,1.0
career,Sequence Synopsis,15.0,conference,6,1.0,2.0,1.0
career,Sequence Synopsis,15.0,ms,3,0.0,1.0,1.0
career,Sequence Synopsis,15.0,phd,8,0.0,1.0,1.0
career,Sequence Synopsis,25.0,conference,4,0.0,1.0,1.0
career,Sequence Synopsis,25.0,conference,5,2.0,3.0,1.0
career,Sequence Synopsis,30.0,conference,15,0.0,1.0,1.0
career,Sequence Synopsis,30.0,ms,9,0.0,1.0,1.0
chicago_baseball,CoreFlow,10.0,team-1 foul->exit,49,0.0,1.0,1.0
chicago_baseball,CoreFlow,10.0,team-1 offense->exit,18,0.0,1.0,1.0
emergency_dataset,CoreFlow,5.0,floor->exit,24,0.0,1.0,1.0
emergency_dataset,SentenTree,5.0,exit->discharge-alive,16,0.0,1.0,1.0
emergency_dataset,SentenTree,5.0,floor->discharge-alive,41,0.0,1.0,1.0
emergency_dataset,SentenTree,10.0,arrival->discharge-alive,38,0.0,1.0,1.0
emergency_dataset,SentenTree,10.0,floor->die,21,0.0,1.0,1.0
emergency_dataset,SentenTree,10.0,floor->icu,41,0.0,1.0,1.0
pediatric_trauma,CoreFlow,15.0,temp->blanket,57,0.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,exit->blanket,67,0.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,gcs->secondarysurvey,6,0.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,pulse->gcs,129,0.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,secondarysurvey->gcs,26,0.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,start->airway,214,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,15.0,airway,12,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,15.0,breathing,112,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,15.0,pulse,10,0.0,1.0,1.0
umdvsunc_D2O_basketball,CoreFlow,10.0,umd offense->made shot,3,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,10.0,exit->exit,24,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,10.0,exit->made shot,7,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,10.0,exit->rebound,7,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,10.0,rebound->umd offense,8,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,10.0,umd offense->exit,27,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,10.0,unc offense->foul,15,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,10.0,unc offense->missed shot,15,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,10.0,unc offense->rebound,9,0.0,1.0,1.0
vast_1000,SentenTree,10.0,general gate->general gate,134,1.0,2.0,1.0
