dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,5.0,19.0,19.0,14.0,0.7368421052631579,5.0,0.7368421052631579,0.7368421052631579,0.7368421052631579
Foursquare_NYC,CoreFlow,10.0,11.0,11.0,9.0,0.8181818181818182,2.0,0.8181818181818182,0.8181818181818182,0.8181818181818182
Foursquare_NYC,CoreFlow,15.0,9.0,9.0,6.0,0.6666666666666666,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
Foursquare_NYC,CoreFlow,20.0,7.0,7.0,5.0,0.7142857142857143,2.0,0.7142857142857143,0.7142857142857143,0.7142857142857143
Foursquare_NYC,CoreFlow,25.0,5.0,4.0,4.0,0.8,0.0,1.0,0.8,0.888888888888889
Foursquare_NYC,CoreFlow,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foursquare_NYC,SentenTree,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foursquare_NYC,SentenTree,15.0,9.0,9.0,9.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,20.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foursquare_NYC,SentenTree,25.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,5.0,16.0,16.0,16.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,10.0,20.0,17.0,17.0,0.85,0.0,1.0,0.85,0.9189189189189189
Foursquare_NYC,Sequence Synopsis,15.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAST,CoreFlow,5.0,6.0,6.0,6.0,1.0,0.0,1.0,1.0,1.0
VAST,CoreFlow,10.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0
