dataset,technique,parameter_value,attribute,value,gt_count,llm_count,hallucinated_count
Foursquare_NYC,CoreFlow,5.0,exit->exit,50,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,exit->exit,52,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,fast food->exit,43,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,gym->exit,136,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,restaurant->exit,71,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,10.0,exit->exit,137,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,10.0,restaurant->exit,188,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,exit->exit,76,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,exit->exit,106,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,restaurant->exit,188,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,20.0,exit->exit,137,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,20.0,restaurant->exit,188,0.0,1.0,1.0
VAST,SentenTree,5.0,camping->exit,30,0.0,1.0,1.0
VAST,SentenTree,5.0,camping->ranger-base,6,0.0,1.0,1.0
VAST,SentenTree,5.0,general gate->camping,15,0.0,1.0,1.0
VAST,SentenTree,5.0,general gate->gate,42,0.0,1.0,1.0
VAST,SentenTree,5.0,general gate->general gate,6,0.0,1.0,1.0
VAST,SentenTree,5.0,general gate->general gate,8,0.0,1.0,1.0
VAST,SentenTree,5.0,general gate->general gate,14,0.0,1.0,1.0
VAST,SentenTree,5.0,general gate->ranger-stop,4,0.0,1.0,1.0
VAST,SentenTree,5.0,general gate->ranger-stop,7,1.0,2.0,1.0
VAST,SentenTree,5.0,ranger-stop->camping,7,0.0,1.0,1.0
VAST,SentenTree,5.0,ranger-stop->ranger-stop,6,5.0,6.0,1.0
VAST,SentenTree,5.0,start->gate,6,0.0,1.0,1.0
VAST,SentenTree,10.0,general gate->general gate,0,0.0,1.0,1.0
VAST,SentenTree,10.0,general gate->general gate,13,1.0,2.0,1.0
VAST,SentenTree,10.0,ranger-stop->general gate,70,0.0,1.0,1.0
VAST,SentenTree,15.0,general gate->general gate,21,1.0,2.0,1.0
VAST,SentenTree,20.0,general gate->general gate,60,0.0,1.0,1.0
VAST,SentenTree,25.0,general gate->general gate,36,1.0,2.0,1.0
VAST,Sequence Synopsis,5.0,camping,5,0.0,1.0,1.0
VAST,Sequence Synopsis,5.0,camping,9,0.0,1.0,1.0
VAST,Sequence Synopsis,5.0,entrance,6,1.0,2.0,1.0
VAST,Sequence Synopsis,5.0,gate,4,0.0,1.0,1.0
VAST,Sequence Synopsis,5.0,gate,8,0.0,1.0,1.0
VAST,Sequence Synopsis,5.0,ranger-stop,1,0.0,1.0,1.0
VAST,Sequence Synopsis,15.0,entrance,7,2.0,3.0,1.0
VAST,Sequence Synopsis,20.0,camping,14,0.0,1.0,1.0
VAST,Sequence Synopsis,20.0,general gate,2,0.0,1.0,1.0
VAST,Sequence Synopsis,20.0,ranger-stop,6,0.0,1.0,1.0
VAST,Sequence Synopsis,25.0,entrance,11,2.0,3.0,1.0
VAST,Sequence Synopsis,25.0,exit,11,1.0,2.0,1.0
VAST,Sequence Synopsis,25.0,general gate,6,1.0,2.0,1.0
VAST,Sequence Synopsis,25.0,general gate,13,1.0,2.0,1.0
VAST,Sequence Synopsis,25.0,ranger-stop,10,2.0,4.0,2.0
career,CoreFlow,5.0,conference->journal,16,0.0,1.0,1.0
career,CoreFlow,5.0,conference->professor,25,0.0,1.0,1.0
career,CoreFlow,5.0,exit->exit,2,0.0,1.0,1.0
career,CoreFlow,5.0,exit->exit,4,0.0,1.0,1.0
career,CoreFlow,5.0,journal->exit,5,0.0,1.0,1.0
career,CoreFlow,5.0,journal->exit,7,0.0,1.0,1.0
career,CoreFlow,5.0,professor->journal,8,0.0,1.0,1.0
career,CoreFlow,10.0,conference->exit,16,0.0,1.0,1.0
career,CoreFlow,10.0,conference->journal,5,0.0,1.0,1.0
career,CoreFlow,15.0,conference->conference,25,0.0,1.0,1.0
career,CoreFlow,15.0,conference->exit,7,1.0,2.0,1.0
career,CoreFlow,15.0,conference->exit,16,0.0,1.0,1.0
career,CoreFlow,20.0,conference->professor,25,0.0,1.0,1.0
career,SentenTree,10.0,conference->professor,4,0.0,1.0,1.0
career,SentenTree,10.0,exit->exit,5,0.0,1.0,1.0
career,SentenTree,10.0,professor->conference,7,0.0,1.0,1.0
career,SentenTree,10.0,professor->conference,15,0.0,1.0,1.0
career,SentenTree,20.0,conference->conference,10,1.0,2.0,1.0
career,SentenTree,20.0,journal->conference,23,0.0,1.0,1.0
career,Sequence Synopsis,10.0,assistant professor,5,0.0,1.0,1.0
career,Sequence Synopsis,10.0,conference,2,0.0,1.0,1.0
career,Sequence Synopsis,10.0,conference,19,0.0,1.0,1.0
career,Sequence Synopsis,10.0,journal,21,0.0,1.0,1.0
career,Sequence Synopsis,15.0,conference,1,0.0,1.0,1.0
career,Sequence Synopsis,15.0,conference,4,0.0,1.0,1.0
career,Sequence Synopsis,15.0,conference,6,1.0,2.0,1.0
career,Sequence Synopsis,15.0,ms,3,0.0,1.0,1.0
career,Sequence Synopsis,15.0,phd,8,0.0,1.0,1.0
career,Sequence Synopsis,25.0,conference,4,0.0,1.0,1.0
career,Sequence Synopsis,25.0,conference,5,2.0,3.0,1.0
career,Sequence Synopsis,30.0,conference,15,0.0,1.0,1.0
career,Sequence Synopsis,30.0,ms,9,0.0,1.0,1.0
chicago_baseball,CoreFlow,5.0,chicago offenseexit->defensive rebound,63,0.0,1.0,1.0
chicago_baseball,CoreFlow,5.0,chicago offenseexit->exit,23,0.0,1.0,1.0
chicago_baseball,CoreFlow,5.0,chicago offenseexit->foul,18,0.0,1.0,1.0
chicago_baseball,CoreFlow,5.0,chicago offenseexit->made shot-2,37,0.0,1.0,1.0
chicago_baseball,CoreFlow,5.0,chicago offenseexit->missed shot-2,14,0.0,1.0,1.0
chicago_baseball,CoreFlow,5.0,chicago offenseexit->turnover,12,0.0,1.0,1.0
chicago_baseball,CoreFlow,5.0,exit->exit,23,0.0,1.0,1.0
chicago_baseball,CoreFlow,5.0,foul->made free throwexit,9,0.0,1.0,1.0
chicago_baseball,CoreFlow,5.0,opponent offense->chicago offenseexit,167,0.0,1.0,1.0
chicago_baseball,CoreFlow,10.0,team-1 foul->exit,49,0.0,1.0,1.0
chicago_baseball,CoreFlow,10.0,team-1 offense->exit,18,0.0,1.0,1.0
chicago_baseball,Sequence Synopsis,10.0,team-2 missed shot,44,0.0,1.0,1.0
chicago_baseball,Sequence Synopsis,30.0,exit,27,1.0,2.0,1.0
emergency_dataset,CoreFlow,5.0,floor->exit,24,0.0,1.0,1.0
emergency_dataset,SentenTree,5.0,exit->discharge-alive,16,0.0,1.0,1.0
emergency_dataset,SentenTree,5.0,floor->discharge-alive,41,0.0,1.0,1.0
emergency_dataset,SentenTree,10.0,arrival->discharge-alive,38,0.0,1.0,1.0
emergency_dataset,SentenTree,10.0,floor->die,21,0.0,1.0,1.0
emergency_dataset,SentenTree,10.0,floor->icu,41,0.0,1.0,1.0
emergency_dataset,Sequence Synopsis,5.0,dischargealive,20,0.0,1.0,1.0
emergency_dataset,Sequence Synopsis,5.0,dischargealive,37,0.0,2.0,2.0
pediatric_trauma,CoreFlow,5.0,pupil->exit,23,0.0,1.0,1.0
pediatric_trauma,CoreFlow,5.0,start->breathing,1,0.0,1.0,1.0
pediatric_trauma,CoreFlow,15.0,temp->blanket,57,0.0,1.0,1.0
pediatric_trauma,CoreFlow,30.0,breathing->exit,1,0.0,1.0,1.0
pediatric_trauma,CoreFlow,30.0,pulse->exit,5,0.0,1.0,1.0
pediatric_trauma,CoreFlow,30.0,pupil->exit,10,0.0,1.0,1.0
pediatric_trauma,SentenTree,5.0,airway->breathing,214,0.0,1.0,1.0
pediatric_trauma,SentenTree,5.0,airway->pulse,193,0.0,1.0,1.0
pediatric_trauma,SentenTree,5.0,exit->exit,11,0.0,1.0,1.0
pediatric_trauma,SentenTree,5.0,exit->exit,24,0.0,1.0,1.0
pediatric_trauma,SentenTree,5.0,exit->temp,13,0.0,1.0,1.0
pediatric_trauma,SentenTree,5.0,gcs->blanket,28,0.0,1.0,1.0
pediatric_trauma,SentenTree,5.0,gcs->exit,53,0.0,1.0,1.0
pediatric_trauma,SentenTree,5.0,gcs->secondarysurvey,47,0.0,1.0,1.0
pediatric_trauma,SentenTree,5.0,gcs->temp,32,0.0,1.0,1.0
pediatric_trauma,SentenTree,5.0,secondarysurvey->gcs,22,0.0,1.0,1.0
pediatric_trauma,SentenTree,5.0,secondarysurvey->gcs,26,0.0,1.0,1.0
pediatric_trauma,SentenTree,5.0,secondarysurvey->gcs,108,0.0,1.0,1.0
pediatric_trauma,SentenTree,5.0,secondarysurvey->temp,24,0.0,1.0,1.0
pediatric_trauma,SentenTree,5.0,temp->exit,93,0.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,exit->blanket,67,0.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,gcs->secondarysurvey,6,0.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,pulse->gcs,129,0.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,secondarysurvey->gcs,26,0.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,start->airway,214,0.0,1.0,1.0
pediatric_trauma,SentenTree,20.0,secondarysurvey->blanket,67,0.0,1.0,1.0
pediatric_trauma,SentenTree,20.0,secondarysurvey->secondarysurvey,73,0.0,1.0,1.0
