dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,10.0,11.0,11.0,11.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,18.0,17.0,17.0,0.9444444444444444,0.0,1.0,0.9444444444444444,0.9714285714285714
VAST,SentenTree,10.0,16.0,14.0,13.0,0.8125,1.0,0.9285714285714286,0.8125,0.8666666666666666
VAST,Sequence Synopsis,20.0,83.0,80.0,68.0,0.8192771084337349,12.0,0.85,0.8192771084337349,0.8343558282208589
VAST,Sequence Synopsis,25.0,71.0,60.0,53.0,0.7464788732394366,7.0,0.8833333333333333,0.7464788732394366,0.8091603053435115
career,CoreFlow,15.0,13.0,13.0,13.0,1.0,0.0,1.0,1.0,1.0
career,SentenTree,15.0,15.0,16.0,12.0,0.8,4.0,0.75,0.8,0.7741935483870969
career,SentenTree,20.0,12.0,11.0,7.0,0.5833333333333334,4.0,0.6363636363636364,0.5833333333333334,0.6086956521739131
chicago_baseball,CoreFlow,10.0,12.0,12.0,12.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,SentenTree,10.0,13.0,12.0,9.0,0.6923076923076923,3.0,0.75,0.6923076923076923,0.7199999999999999
emergency_dataset,CoreFlow,5.0,11.0,11.0,11.0,1.0,0.0,1.0,1.0,1.0
emergency_dataset,SentenTree,5.0,14.0,14.0,12.0,0.8571428571428571,2.0,0.8571428571428571,0.8571428571428571,0.8571428571428571
emergency_dataset,SentenTree,10.0,12.0,13.0,11.0,0.9166666666666666,2.0,0.8461538461538461,0.9166666666666666,0.8799999999999999
emergency_dataset,SentenTree,15.0,12.0,18.0,10.0,0.8333333333333334,8.0,0.5555555555555556,0.8333333333333334,0.6666666666666667
pediatric_trauma,CoreFlow,15.0,11.0,11.0,11.0,1.0,0.0,1.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,18.0,16.0,11.0,0.6111111111111112,5.0,0.6875,0.6111111111111112,0.6470588235294118
pediatric_trauma,Sequence Synopsis,5.0,63.0,62.0,60.0,0.9523809523809523,2.0,0.967741935483871,0.9523809523809523,0.96
pediatric_trauma,Sequence Synopsis,15.0,45.0,41.0,41.0,0.9111111111111111,0.0,1.0,0.9111111111111111,0.9534883720930233
pediatric_trauma,Sequence Synopsis,20.0,58.0,57.0,57.0,0.9827586206896551,0.0,1.0,0.9827586206896551,0.9913043478260869
process_mining,CoreFlow,10.0,13.0,13.0,11.0,0.8461538461538461,2.0,0.8461538461538461,0.8461538461538461,0.8461538461538461
process_mining,SentenTree,5.0,20.0,19.0,13.0,0.65,6.0,0.6842105263157895,0.65,0.6666666666666667
process_mining,SentenTree,10.0,13.0,13.0,13.0,1.0,0.0,1.0,1.0,1.0
process_mining,Sequence Synopsis,5.0,33.0,33.0,32.0,0.9696969696969697,1.0,0.9696969696969697,0.9696969696969697,0.9696969696969697
process_mining,Sequence Synopsis,10.0,33.0,34.0,33.0,1.0,1.0,0.9705882352941176,1.0,0.9850746268656716
process_mining,Sequence Synopsis,15.0,33.0,32.0,32.0,0.9696969696969697,0.0,1.0,0.9696969696969697,0.9846153846153847
process_mining,Sequence Synopsis,20.0,33.0,34.0,33.0,1.0,1.0,0.9705882352941176,1.0,0.9850746268656716
process_mining,Sequence Synopsis,25.0,33.0,33.0,32.0,0.9696969696969697,1.0,0.9696969696969697,0.9696969696969697,0.9696969696969697
process_mining,Sequence Synopsis,30.0,33.0,32.0,31.0,0.9393939393939394,1.0,0.96875,0.9393939393939394,0.9538461538461539
umdvsunc_D2O_basketball,CoreFlow,10.0,15.0,15.0,15.0,1.0,0.0,1.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,10.0,20.0,18.0,13.0,0.65,5.0,0.7222222222222222,0.65,0.6842105263157895
umdvsunc_D2O_basketball,Sequence Synopsis,5.0,40.0,43.0,40.0,1.0,3.0,0.9302325581395349,1.0,0.963855421686747
umdvsunc_D2O_basketball,Sequence Synopsis,30.0,40.0,41.0,40.0,1.0,1.0,0.975609756097561,1.0,0.9876543209876543
vast_1000,SentenTree,10.0,13.0,13.0,10.0,0.7692307692307693,3.0,0.7692307692307693,0.7692307692307693,0.7692307692307693
