dataset,technique,parameter_value,attribute,value,gt_count,llm_count,hallucinated_count
VAST,SentenTree,10.0,general gate->exit,13,0.0,1.0,1.0
career,SentenTree,15.0,conference->conference,33,0.0,1.0,1.0
career,SentenTree,15.0,conference->journal,25,0.0,1.0,1.0
career,SentenTree,15.0,conference->professor,8,0.0,1.0,1.0
career,SentenTree,15.0,journal->conference,26,0.0,1.0,1.0
career,SentenTree,20.0,conference->conference,33,0.0,1.0,1.0
career,SentenTree,20.0,conference->journal,25,0.0,1.0,1.0
career,SentenTree,20.0,journal->conference,23,0.0,1.0,1.0
career,SentenTree,20.0,ms->conference,38,0.0,1.0,1.0
career,SentenTree,25.0,conference->conference,33,0.0,1.0,1.0
career,SentenTree,25.0,conference->journal,25,0.0,1.0,1.0
career,SentenTree,25.0,journal->conference,20,0.0,1.0,1.0
career,SentenTree,25.0,ms->conference,38,0.0,1.0,1.0
career,Sequence Synopsis,25.0,conference,1,2.0,4.0,2.0
chicago_baseball,SentenTree,10.0,chicago offense->defensive rebound,18,0.0,1.0,1.0
chicago_baseball,SentenTree,10.0,chicago offense->made shot-2,45,0.0,1.0,1.0
chicago_baseball,SentenTree,10.0,opponent offense->missed shot-2,49,0.0,1.0,1.0
emergency_dataset,SentenTree,5.0,emergency->floor,41,0.0,1.0,1.0
emergency_dataset,SentenTree,5.0,emergency->icu,21,0.0,1.0,1.0
emergency_dataset,SentenTree,10.0,floor->discharge-alive,24,1.0,2.0,1.0
emergency_dataset,SentenTree,10.0,floor->icu,41,0.0,1.0,1.0
emergency_dataset,SentenTree,15.0,die->exit,21,1.0,2.0,1.0
emergency_dataset,SentenTree,15.0,discharge-alive->exit,24,1.0,2.0,1.0
emergency_dataset,SentenTree,15.0,discharge-alive->exit,38,1.0,2.0,1.0
emergency_dataset,SentenTree,15.0,emergency->floor,41,0.0,1.0,1.0
emergency_dataset,SentenTree,15.0,floor->discharge-alive,24,1.0,2.0,1.0
emergency_dataset,SentenTree,15.0,floor->icu,21,1.0,2.0,1.0
emergency_dataset,SentenTree,15.0,icu->die,36,1.0,2.0,1.0
emergency_dataset,SentenTree,15.0,icu->floor,24,1.0,2.0,1.0
pediatric_trauma,SentenTree,10.0,gcs->secondarysurvey,6,0.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,pulse->gcs,129,0.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,pulse->pupil,32,0.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,secondarysurvey->exit,26,0.0,1.0,1.0
pediatric_trauma,SentenTree,10.0,start->airway,214,0.0,1.0,1.0
process_mining,CoreFlow,10.0,start->create issue,8,0.0,1.0,1.0
process_mining,CoreFlow,10.0,start->exit,7,0.0,1.0,1.0
process_mining,Sequence Synopsis,5.0,build system update,1,1.0,2.0,1.0
process_mining,Sequence Synopsis,10.0,build system update,1,1.0,2.0,1.0
process_mining,Sequence Synopsis,20.0,build system update,1,1.0,2.0,1.0
process_mining,Sequence Synopsis,25.0,build system update,1,1.0,2.0,1.0
process_mining,Sequence Synopsis,30.0,build system update,1,1.0,2.0,1.0
umdvsunc_D2O_basketball,SentenTree,10.0,missed shot->umd offense,15,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,10.0,rebound->umd offense,9,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,10.0,umd offense->exit,27,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,10.0,unc offense->missed shot,15,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,10.0,unc offense->rebound,9,0.0,1.0,1.0
umdvsunc_D2O_basketball,Sequence Synopsis,5.0,made shot,14,0.0,1.0,1.0
umdvsunc_D2O_basketball,Sequence Synopsis,5.0,missed shot,11,0.0,1.0,1.0
umdvsunc_D2O_basketball,Sequence Synopsis,5.0,rebound,6,0.0,1.0,1.0
umdvsunc_D2O_basketball,Sequence Synopsis,30.0,exit,14,2.0,3.0,1.0
vast_1000,SentenTree,10.0,general gate->exit,12,0.0,1.0,1.0
vast_1000,SentenTree,10.0,general gate->exit,88,0.0,1.0,1.0
vast_1000,SentenTree,10.0,general gate->exit,134,0.0,1.0,1.0
