dataset,technique,parameter_value,attribute,value,gt_count,llm_count,hallucinated_count
Foursquare_NYC,CoreFlow,5.0,fast food->exit,35,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,fast food->restaurant,71,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,10.0,start,82,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,10.0,start,135,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,start,9,1.0,2.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,start,10,2.0,4.0,2.0
Foursquare_NYC,Sequence Synopsis,15.0,start,31,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,start,33,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,start,83,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,start,133,0.0,1.0,1.0
VAST,SentenTree,5.0,camping->exit,6,0.0,1.0,1.0
VAST,SentenTree,5.0,camping->general gate,15,0.0,1.0,1.0
VAST,SentenTree,5.0,entrance->exit,5,0.0,1.0,1.0
VAST,SentenTree,5.0,general gate->camping,11,0.0,1.0,1.0
VAST,SentenTree,5.0,general gate->camping,30,0.0,1.0,1.0
VAST,SentenTree,5.0,general gate->ranger-stop,45,0.0,1.0,1.0
VAST,SentenTree,5.0,general gate->ranger-stop,63,0.0,1.0,1.0
VAST,SentenTree,5.0,ranger-stop->camping,4,0.0,1.0,1.0
VAST,SentenTree,5.0,ranger-stop->general gate,7,2.0,3.0,1.0
VAST,SentenTree,10.0,general gate->exit,13,0.0,1.0,1.0
VAST,SentenTree,20.0,general gate->exit,60,0.0,1.0,1.0
VAST,Sequence Synopsis,5.0,camping,17,0.0,1.0,1.0
VAST,Sequence Synopsis,5.0,camping,18,0.0,1.0,1.0
VAST,Sequence Synopsis,5.0,entrance,6,1.0,3.0,2.0
VAST,Sequence Synopsis,5.0,entrance,17,0.0,1.0,1.0
VAST,Sequence Synopsis,5.0,entrance,18,1.0,2.0,1.0
VAST,Sequence Synopsis,5.0,exit,6,2.0,4.0,2.0
VAST,Sequence Synopsis,5.0,gate,11,0.0,1.0,1.0
VAST,Sequence Synopsis,5.0,general gate,6,5.0,6.0,1.0
VAST,Sequence Synopsis,5.0,general gate,10,3.0,4.0,1.0
VAST,Sequence Synopsis,5.0,general gate,18,2.0,3.0,1.0
VAST,Sequence Synopsis,5.0,general gate,21,2.0,3.0,1.0
VAST,Sequence Synopsis,5.0,ranger-base,11,0.0,1.0,1.0
VAST,Sequence Synopsis,15.0,camping,13,0.0,2.0,2.0
VAST,Sequence Synopsis,15.0,entrance,6,1.0,2.0,1.0
VAST,Sequence Synopsis,15.0,entrance,14,1.0,2.0,1.0
VAST,Sequence Synopsis,15.0,exit,6,2.0,3.0,1.0
VAST,Sequence Synopsis,15.0,exit,10,1.0,2.0,1.0
