Model,Complexity_Level,Ground_Truth_Events,Extracted_Events,Correctly_Extracted,Precision,Recall,F1,Hallucinated_Events
gemini-2.0-flash,Medium,880,669,665,0.9940209267563528,0.7556818181818182,0.8586184635248548,4
gemini-2.0-flash,High,735,397,363,0.9143576826196473,0.49387755102040815,0.6413427561837456,34
gemini-2.0-flash,Low,968,775,769,0.9922580645161291,0.7944214876033058,0.8823866896156052,6
gemini-2.5-flash-preview-04-17,Medium,880,860,770,0.8953488372093024,0.875,0.8850574712643678,90
gemini-2.5-flash-preview-04-17,High,735,723,614,0.8492392807745505,0.8353741496598639,0.8422496570644717,109
gemini-2.5-flash-preview-04-17,Low,968,938,861,0.917910447761194,0.8894628099173554,0.9034627492130116,77
gemini-2.5-pro-preview-05-06,Medium,880,860,840,0.9767441860465116,0.9545454545454546,0.9655172413793104,20
gemini-2.5-pro-preview-05-06,High,735,719,643,0.894297635605007,0.8748299319727891,0.8844566712517195,76
gemini-2.5-pro-preview-05-06,Low,968,957,949,0.9916405433646813,0.9803719008264463,0.985974025974026,8
google_gemma-3-27b-it,Medium,880,658,602,0.9148936170212766,0.6840909090909091,0.7828348504551367,56
google_gemma-3-27b-it,High,735,354,258,0.7288135593220338,0.3510204081632653,0.4738292011019283,96
google_gemma-3-27b-it,Low,968,845,805,0.9526627218934911,0.8316115702479339,0.888030888030888,40
meta_llama-3.2-90b-vision-instruct-maas,Medium,880,825,819,0.9927272727272727,0.9306818181818182,0.9607038123167155,6
meta_llama-3.2-90b-vision-instruct-maas,High,735,621,569,0.9162640901771336,0.7741496598639456,0.8392330383480826,52
meta_llama-3.2-90b-vision-instruct-maas,Low,968,867,851,0.9815455594002307,0.8791322314049587,0.9275204359673025,16
meta_llama-4-scout-17b-16e-instruct-maas,Medium,880,714,625,0.8753501400560224,0.7102272727272727,0.7841907151819323,89
meta_llama-4-scout-17b-16e-instruct-maas,High,735,502,304,0.6055776892430279,0.41360544217687073,0.49151172190784154,198
meta_llama-4-scout-17b-16e-instruct-maas,Low,968,865,780,0.9017341040462428,0.8057851239669421,0.851063829787234,85
meta-llama_Llama-3.2-11B-Vision-Instruct,Medium,880,405,304,0.7506172839506173,0.34545454545454546,0.47315175097276263,101
meta-llama_Llama-3.2-11B-Vision-Instruct,High,735,216,69,0.3194444444444444,0.09387755102040816,0.14511041009463724,147
meta-llama_Llama-3.2-11B-Vision-Instruct,Low,968,654,465,0.7110091743119266,0.48037190082644626,0.5733662145499383,189
meta_llama-4-maverick-17b-128e-instruct-maas,Medium,880,885,775,0.8757062146892656,0.8806818181818182,0.8781869688385269,110
meta_llama-4-maverick-17b-128e-instruct-maas,High,735,599,451,0.7529215358931552,0.6136054421768707,0.6761619190404798,148
meta_llama-4-maverick-17b-128e-instruct-maas,Low,968,953,920,0.9653725078698846,0.9504132231404959,0.9578344612181156,33
qwen2.5-vl-72b,Medium,880,842,783,0.9299287410926366,0.8897727272727273,0.9094076655052266,59
qwen2.5-vl-72b,High,735,616,439,0.7126623376623377,0.5972789115646259,0.6498889711324944,177
qwen2.5-vl-72b,Low,968,948,926,0.9767932489451476,0.9566115702479339,0.9665970772442589,22
qwen2.5-vl-32b,Medium,880,740,673,0.9094594594594595,0.7647727272727273,0.8308641975308643,67
qwen2.5-vl-32b,High,735,569,391,0.687170474516696,0.5319727891156463,0.5996932515337423,178
qwen2.5-vl-32b,Low,968,895,840,0.9385474860335196,0.8677685950413223,0.9017713365539453,55
Qwen_Qwen2.5-VL-7B-Instruct,Medium,880,717,564,0.7866108786610879,0.6409090909090909,0.7063243581715717,153
Qwen_Qwen2.5-VL-7B-Instruct,High,735,202,100,0.49504950495049505,0.1360544217687075,0.21344717182497333,102
Qwen_Qwen2.5-VL-7B-Instruct,Low,968,853,758,0.8886283704572099,0.7830578512396694,0.8325096101043383,95
qwen-vl-plus,Medium,880,386,271,0.7020725388601037,0.3079545454545455,0.42812006319115337,115
qwen-vl-plus,High,735,268,125,0.4664179104477612,0.17006802721088435,0.2492522432701894,143
qwen-vl-plus,Low,968,504,408,0.8095238095238095,0.4214876033057851,0.5543478260869565,96
qwen-vl-max,Medium,880,770,726,0.9428571428571428,0.825,0.88,44
qwen-vl-max,High,735,441,301,0.6825396825396826,0.4095238095238095,0.5119047619047619,140
qwen-vl-max,Low,968,804,779,0.9689054726368159,0.8047520661157025,0.8792325056433409,25
claude-3-5-haiku-20241022,Medium,880,758,681,0.8984168865435356,0.7738636363636363,0.8315018315018314,77
claude-3-5-haiku-20241022,High,735,468,304,0.6495726495726496,0.41360544217687073,0.5054031587697423,164
claude-3-5-haiku-20241022,Low,968,892,827,0.9271300448430493,0.8543388429752066,0.8892473118279569,65
claude-3-haiku-20240307,Medium,880,668,577,0.8637724550898204,0.6556818181818181,0.7454780361757105,91
claude-3-haiku-20240307,High,735,395,210,0.5316455696202531,0.2857142857142857,0.3716814159292035,185
claude-3-haiku-20240307,Low,968,797,708,0.8883312421580929,0.731404958677686,0.8022662889518415,89
claude-3-5-sonnet-20241022,Medium,880,812,788,0.9704433497536946,0.8954545454545455,0.9314420803782507,24
claude-3-5-sonnet-20241022,High,735,567,472,0.8324514991181657,0.6421768707482993,0.7250384024577572,95
claude-3-5-sonnet-20241022,Low,968,941,933,0.9914984059511158,0.9638429752066116,0.9774751178627554,8
claude-3-7-sonnet-20250219,Medium,880,866,843,0.9734411085450346,0.9579545454545455,0.9656357388316151,23
claude-3-7-sonnet-20250219,High,735,595,503,0.8453781512605042,0.6843537414965987,0.756390977443609,92
claude-3-7-sonnet-20250219,Low,968,950,947,0.9968421052631579,0.9783057851239669,0.9874869655891555,3
gpt-4.1,Medium,880,862,787,0.9129930394431555,0.8943181818181818,0.9035591274397244,75
gpt-4.1,High,735,590,448,0.7593220338983051,0.6095238095238096,0.6762264150943397,142
gpt-4.1,Low,968,956,931,0.9738493723849372,0.9617768595041323,0.9677754677754679,25
