dataset,technique,parameter_value,attribute,value,gt_count,llm_count,hallucinated_count
Foursquare_NYC,CoreFlow,15.0,exit->exit,0,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,exit->fast food,106,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,exit->restaurant,188,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,fast food->restaurant,76,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,fast food->restaurant,155,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,restaurant->fast food,182,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,restaurant->fast food,337,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,20.0,exit->exit,0,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,20.0,fast food->restaurant,182,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,20.0,fast food->start,337,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,25.0,fast food->exit,182,1.0,2.0,1.0
Foursquare_NYC,CoreFlow,25.0,fast food->start,337,0.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,exit->exit,188,0.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,fast food->exit,182,0.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,fast food->fast food,71,1.0,2.0,1.0
Foursquare_NYC,SentenTree,10.0,fast food->fast food,76,0.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,fast food->restaurant,137,0.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,fast food->start,337,0.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,fast food->restaurant,155,0.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,gym->exit,137,0.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,restaurant->fast food,182,0.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,restaurant->gym,292,0.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,start->gym,188,0.0,1.0,1.0
Foursquare_NYC,SentenTree,20.0,exit->exit,188,0.0,1.0,1.0
Foursquare_NYC,SentenTree,20.0,fast food->restaurant,182,0.0,1.0,1.0
Foursquare_NYC,SentenTree,20.0,fast food->start,337,0.0,1.0,1.0
Foursquare_NYC,SentenTree,20.0,restaurant->start,137,0.0,1.0,1.0
Foursquare_NYC,SentenTree,25.0,exit->start,325,0.0,1.0,1.0
Foursquare_NYC,SentenTree,25.0,fast food->start,337,0.0,1.0,1.0
Foursquare_NYC,SentenTree,30.0,fast food->start,337,0.0,1.0,1.0
VAST,CoreFlow,5.0,entrance->ranger-base,6,0.0,3.0,3.0
VAST,CoreFlow,5.0,exit->ranger-base,6,0.0,1.0,1.0
