dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,10.0,11.0,8.0,4.0,0.36363636363636365,4.0,0.5,0.36363636363636365,0.4210526315789474
Foursquare_NYC,SentenTree,10.0,10.0,9.0,3.0,0.3,6.0,0.3333333333333333,0.3,0.3157894736842105
VAST,SentenTree,10.0,16.0,13.0,11.0,0.6875,2.0,0.8461538461538461,0.6875,0.7586206896551724
career,CoreFlow,15.0,13.0,11.0,5.0,0.38461538461538464,6.0,0.45454545454545453,0.38461538461538464,0.41666666666666663
career,SentenTree,15.0,15.0,12.0,5.0,0.3333333333333333,7.0,0.4166666666666667,0.3333333333333333,0.3703703703703704
career,SentenTree,20.0,12.0,9.0,7.0,0.5833333333333334,2.0,0.7777777777777778,0.5833333333333334,0.6666666666666666
career,SentenTree,25.0,10.0,9.0,7.0,0.7,2.0,0.7777777777777778,0.7,0.7368421052631577
career,Sequence Synopsis,5.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
career,Sequence Synopsis,10.0,36.0,31.0,29.0,0.8055555555555556,2.0,0.9354838709677419,0.8055555555555556,0.8656716417910448
career,Sequence Synopsis,15.0,49.0,32.0,25.0,0.5102040816326531,7.0,0.78125,0.5102040816326531,0.617283950617284
career,Sequence Synopsis,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
career,Sequence Synopsis,30.0,40.0,48.0,34.0,0.85,14.0,0.7083333333333334,0.85,0.7727272727272727
chicago_baseball,CoreFlow,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chicago_baseball,SentenTree,10.0,13.0,11.0,7.0,0.5384615384615384,4.0,0.6363636363636364,0.5384615384615384,0.5833333333333334
emergency_dataset,CoreFlow,5.0,11.0,9.0,7.0,0.6363636363636364,2.0,0.7777777777777778,0.6363636363636364,0.7000000000000001
emergency_dataset,SentenTree,5.0,14.0,10.0,8.0,0.5714285714285714,2.0,0.8,0.5714285714285714,0.6666666666666666
emergency_dataset,SentenTree,10.0,12.0,9.0,6.0,0.5,3.0,0.6666666666666666,0.5,0.5714285714285715
emergency_dataset,SentenTree,15.0,12.0,9.0,7.0,0.5833333333333334,2.0,0.7777777777777778,0.5833333333333334,0.6666666666666666
pediatric_trauma,CoreFlow,15.0,11.0,11.0,1.0,0.09090909090909091,10.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
pediatric_trauma,SentenTree,10.0,18.0,9.0,3.0,0.16666666666666666,6.0,0.3333333333333333,0.16666666666666666,0.2222222222222222
pediatric_trauma,Sequence Synopsis,15.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pediatric_trauma,Sequence Synopsis,25.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pediatric_trauma,Sequence Synopsis,30.0,36.0,19.0,19.0,0.5277777777777778,0.0,1.0,0.5277777777777778,0.6909090909090909
process_mining,CoreFlow,10.0,13.0,9.0,5.0,0.38461538461538464,4.0,0.5555555555555556,0.38461538461538464,0.4545454545454546
process_mining,SentenTree,10.0,13.0,11.0,3.0,0.23076923076923078,8.0,0.2727272727272727,0.23076923076923078,0.24999999999999994
umdvsunc_D2O_basketball,CoreFlow,10.0,15.0,10.0,4.0,0.26666666666666666,6.0,0.4,0.26666666666666666,0.32
umdvsunc_D2O_basketball,SentenTree,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
umdvsunc_D2O_basketball,Sequence Synopsis,5.0,40.0,36.0,32.0,0.8,4.0,0.8888888888888888,0.8,0.8421052631578948
umdvsunc_D2O_basketball,Sequence Synopsis,10.0,35.0,24.0,23.0,0.6571428571428571,1.0,0.9583333333333334,0.6571428571428571,0.7796610169491525
umdvsunc_D2O_basketball,Sequence Synopsis,30.0,40.0,20.0,17.0,0.425,3.0,0.85,0.425,0.5666666666666667
vast_1000,SentenTree,10.0,13.0,12.0,9.0,0.6923076923076923,3.0,0.75,0.6923076923076923,0.7199999999999999
