dataset,technique,parameter_value,attribute,value,gt_count,llm_count,hallucinated_count
Foursquare_NYC,CoreFlow,5.0,fast food->restaurant,28,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,fast food->restaurant,35,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,fast food->restaurant,76,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,gym->restaurant,52,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,restaurant->fast food,43,0.0,2.0,2.0
Foursquare_NYC,CoreFlow,5.0,restaurant->gym,52,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,restaurant->restaurant,43,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,restaurant->restaurant,50,1.0,3.0,2.0
Foursquare_NYC,CoreFlow,5.0,restaurant->restaurant,87,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,restaurant->restaurant,112,0.0,1.0,1.0
career,CoreFlow,5.0,conference->exit,16,0.0,1.0,1.0
career,CoreFlow,5.0,conference->journal,7,0.0,1.0,1.0
career,CoreFlow,5.0,exit->professor,8,0.0,1.0,1.0
career,CoreFlow,5.0,exit->professor,25,0.0,1.0,1.0
career,CoreFlow,5.0,journal->exit,5,0.0,1.0,1.0
career,CoreFlow,10.0,conference->exit,16,0.0,1.0,1.0
career,CoreFlow,10.0,conference->journal,5,0.0,1.0,1.0
career,CoreFlow,10.0,exit->journal,2,0.0,1.0,1.0
career,CoreFlow,10.0,exit->professor,25,0.0,1.0,1.0
career,CoreFlow,10.0,exit->start,40,0.0,1.0,1.0
career,CoreFlow,10.0,ms->professor,40,0.0,1.0,1.0
career,CoreFlow,10.0,start->ms,40,0.0,1.0,1.0
pediatric_trauma,CoreFlow,5.0,blanket->pupil,161,0.0,1.0,1.0
pediatric_trauma,CoreFlow,5.0,breathing->start,214,0.0,1.0,1.0
pediatric_trauma,CoreFlow,5.0,exit->exit,1,0.0,1.0,1.0
pediatric_trauma,CoreFlow,5.0,iv->pupil,77,0.0,1.0,1.0
pediatric_trauma,CoreFlow,5.0,pupil->breathing,199,0.0,1.0,1.0
pediatric_trauma,CoreFlow,5.0,temp->iv,30,0.0,1.0,1.0
pediatric_trauma,CoreFlow,5.0,temp->pupil,27,0.0,1.0,1.0
pediatric_trauma,SentenTree,5.0,airway->breathing,16,0.0,1.0,1.0
pediatric_trauma,SentenTree,5.0,blanket->secondarysurvey,24,0.0,1.0,1.0
pediatric_trauma,SentenTree,5.0,breathing->pulse,38,0.0,1.0,1.0
pediatric_trauma,SentenTree,5.0,exit->temp,11,0.0,1.0,1.0
pediatric_trauma,SentenTree,5.0,exit->temp,13,0.0,1.0,1.0
pediatric_trauma,SentenTree,5.0,exit->temp,14,0.0,1.0,1.0
pediatric_trauma,SentenTree,5.0,exit->temp,21,0.0,1.0,1.0
pediatric_trauma,SentenTree,5.0,gcs->temp,25,0.0,1.0,1.0
pediatric_trauma,SentenTree,5.0,pulse->secondarysurvey,15,0.0,1.0,1.0
pediatric_trauma,SentenTree,5.0,pupil->gcs,47,0.0,1.0,1.0
pediatric_trauma,SentenTree,5.0,secondarysurvey->blanket,2,0.0,1.0,1.0
pediatric_trauma,SentenTree,5.0,secondarysurvey->pupil,26,0.0,1.0,1.0
pediatric_trauma,SentenTree,5.0,secondarysurvey->temp,93,0.0,1.0,1.0
