dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,5.0,19.0,19.0,19.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,106.0,117.0,101.0,0.9528301886792453,16.0,0.8632478632478633,0.9528301886792453,0.9058295964125562
VAST,SentenTree,5.0,46.0,44.0,34.0,0.7391304347826086,10.0,0.7727272727272727,0.7391304347826086,0.7555555555555555
VAST,Sequence Synopsis,5.0,96.0,88.0,88.0,0.9166666666666666,0.0,1.0,0.9166666666666666,0.9565217391304348
VAST,Sequence Synopsis,15.0,96.0,88.0,88.0,0.9166666666666666,0.0,1.0,0.9166666666666666,0.9565217391304348
career,CoreFlow,5.0,23.0,23.0,23.0,1.0,0.0,1.0,1.0,1.0
career,CoreFlow,10.0,19.0,19.0,19.0,1.0,0.0,1.0,1.0,1.0
career,SentenTree,5.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
career,SentenTree,10.0,23.0,23.0,21.0,0.9130434782608695,2.0,0.9130434782608695,0.9130434782608695,0.9130434782608695
chicago_baseball,CoreFlow,5.0,22.0,22.0,14.0,0.6363636363636364,8.0,0.6363636363636364,0.6363636363636364,0.6363636363636364
chicago_baseball,SentenTree,5.0,25.0,24.0,21.0,0.84,3.0,0.875,0.84,0.8571428571428572
pediatric_trauma,CoreFlow,5.0,17.0,17.0,17.0,1.0,0.0,1.0,1.0,1.0
pediatric_trauma,SentenTree,5.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
process_mining,CoreFlow,5.0,19.0,19.0,17.0,0.8947368421052632,2.0,0.8947368421052632,0.8947368421052632,0.8947368421052632
test,CoreFlow,5.0,20.0,20.0,20.0,1.0,0.0,1.0,1.0,1.0
test,SentenTree,5.0,37.0,41.0,33.0,0.8918918918918919,8.0,0.8048780487804879,0.8918918918918919,0.8461538461538461
umdvsunc_D2O_basketball,CoreFlow,5.0,22.0,22.0,22.0,1.0,0.0,1.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,5.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vast_1000,SentenTree,5.0,36.0,35.0,32.0,0.8888888888888888,3.0,0.9142857142857143,0.8888888888888888,0.9014084507042254
