dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,5.0,19.0,19.0,19.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,10.0,11.0,11.0,11.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,9.0,9.0,9.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,20.0,7.0,7.0,7.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,25.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,18.0,18.0,18.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foursquare_NYC,SentenTree,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foursquare_NYC,SentenTree,20.0,7.0,7.0,7.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foursquare_NYC,SentenTree,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,5.0,16.0,16.0,16.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,10.0,20.0,20.0,20.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,106.0,117.0,101.0,0.9528301886792453,16.0,0.8632478632478633,0.9528301886792453,0.9058295964125562
VAST,CoreFlow,5.0,6.0,6.0,6.0,1.0,0.0,1.0,1.0,1.0
VAST,CoreFlow,10.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0
VAST,SentenTree,5.0,46.0,44.0,34.0,0.7391304347826086,10.0,0.7727272727272727,0.7391304347826086,0.7555555555555555
VAST,SentenTree,10.0,16.0,15.0,15.0,0.9375,0.0,1.0,0.9375,0.967741935483871
VAST,SentenTree,15.0,11.0,11.0,11.0,1.0,0.0,1.0,1.0,1.0
VAST,SentenTree,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAST,SentenTree,25.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
VAST,Sequence Synopsis,5.0,96.0,88.0,88.0,0.9166666666666666,0.0,1.0,0.9166666666666666,0.9565217391304348
VAST,Sequence Synopsis,15.0,96.0,88.0,88.0,0.9166666666666666,0.0,1.0,0.9166666666666666,0.9565217391304348
