dataset,technique,parameter_value,attribute,value,gt_count,llm_count,hallucinated_count
Foursquare_NYC,Sequence Synopsis,15.0,exit,1,5.0,11.0,6.0
Foursquare_NYC,Sequence Synopsis,15.0,general college&university,3,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,gym/fitness center,67,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,school,9,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,start,1,5.0,11.0,6.0
Foursquare_NYC,Sequence Synopsis,15.0,store,1,0.0,1.0,1.0
VAST,SentenTree,5.0,camping->ranger-stop,7,0.0,2.0,2.0
VAST,SentenTree,5.0,gate->exit,6,0.0,1.0,1.0
VAST,SentenTree,5.0,general gate->ranger-stop,7,1.0,2.0,1.0
VAST,SentenTree,5.0,ranger-stop->camping,7,0.0,1.0,1.0
VAST,SentenTree,5.0,ranger-stop->exit,6,0.0,1.0,1.0
VAST,SentenTree,5.0,ranger-stop->general gate,7,2.0,3.0,1.0
VAST,SentenTree,5.0,ranger-stop->general gate,11,0.0,1.0,1.0
VAST,SentenTree,5.0,ranger-stop->ranger-base,6,0.0,1.0,1.0
VAST,SentenTree,5.0,ranger-stop->ranger-stop,63,0.0,1.0,1.0
VAST,Sequence Synopsis,20.0,general gate,2,0.0,1.0,1.0
career,SentenTree,10.0,conference->professor,4,0.0,1.0,1.0
career,SentenTree,10.0,journal->professor,8,0.0,1.0,1.0
chicago_baseball,CoreFlow,5.0,chicago offense exit->defensive rebound,63,0.0,1.0,1.0
chicago_baseball,CoreFlow,5.0,chicago offense exit->exit,23,0.0,1.0,1.0
chicago_baseball,CoreFlow,5.0,chicago offense exit->foul,18,0.0,1.0,1.0
chicago_baseball,CoreFlow,5.0,chicago offense exit->made shot-2,37,0.0,1.0,1.0
chicago_baseball,CoreFlow,5.0,chicago offense exit->missed shot-2,14,0.0,1.0,1.0
chicago_baseball,CoreFlow,5.0,chicago offense exit->turnover,12,0.0,1.0,1.0
chicago_baseball,CoreFlow,5.0,opponent offense->chicago offense exit,1,0.0,1.0,1.0
chicago_baseball,CoreFlow,5.0,opponent offense->chicago offense exit,167,0.0,1.0,1.0
chicago_baseball,SentenTree,5.0,foul->missed shot-3,11,0.0,1.0,1.0
chicago_baseball,SentenTree,5.0,made free throw->chicago offense,21,0.0,1.0,1.0
chicago_baseball,SentenTree,5.0,made free throw->missed shot-3,11,0.0,1.0,1.0
chicago_baseball,Sequence Synopsis,25.0,chicago offense,7,0.0,1.0,1.0
chicago_baseball,Sequence Synopsis,25.0,chicago offense,12,0.0,1.0,1.0
chicago_baseball,Sequence Synopsis,25.0,defensive rebound,6,1.0,2.0,1.0
chicago_baseball,Sequence Synopsis,25.0,defensive rebound,10,0.0,1.0,1.0
chicago_baseball,Sequence Synopsis,25.0,defensive rebound,19,0.0,1.0,1.0
chicago_baseball,Sequence Synopsis,25.0,foul,13,0.0,1.0,1.0
chicago_baseball,Sequence Synopsis,25.0,missed shot-2,8,0.0,1.0,1.0
chicago_baseball,Sequence Synopsis,25.0,offensive rebound,21,0.0,1.0,1.0
chicago_baseball,Sequence Synopsis,25.0,opponent offense,2,0.0,1.0,1.0
chicago_baseball,Sequence Synopsis,25.0,opponent offense,6,0.0,1.0,1.0
chicago_baseball,Sequence Synopsis,25.0,opponent offense,8,0.0,1.0,1.0
chicago_baseball,Sequence Synopsis,25.0,opponent offense,14,0.0,2.0,2.0
chicago_baseball,Sequence Synopsis,25.0,opponent offense,18,0.0,1.0,1.0
chicago_baseball,Sequence Synopsis,25.0,opponent offense,46,0.0,1.0,1.0
chicago_baseball,Sequence Synopsis,25.0,opponent offense,76,0.0,1.0,1.0
pediatric_trauma,CoreFlow,10.0,blanket->exit,27,0.0,1.0,1.0
pediatric_trauma,CoreFlow,10.0,blanket->iv,57,0.0,1.0,1.0
pediatric_trauma,CoreFlow,10.0,breathing->exit,5,0.0,1.0,1.0
pediatric_trauma,CoreFlow,10.0,iv->exit,27,0.0,1.0,1.0
pediatric_trauma,CoreFlow,10.0,iv->temp,77,0.0,1.0,1.0
pediatric_trauma,CoreFlow,10.0,pulse->exit,10,0.0,1.0,1.0
pediatric_trauma,CoreFlow,10.0,pupil->exit,23,0.0,1.0,1.0
pediatric_trauma,CoreFlow,10.0,pupil->temp,15,0.0,1.0,1.0
pediatric_trauma,CoreFlow,10.0,start->breathing,214,0.0,1.0,1.0
pediatric_trauma,CoreFlow,10.0,start->pulse,209,0.0,1.0,1.0
pediatric_trauma,CoreFlow,10.0,start->pupil,199,0.0,1.0,1.0
pediatric_trauma,CoreFlow,10.0,temp->exit,23,0.0,1.0,1.0
pediatric_trauma,CoreFlow,10.0,temp->exit,30,0.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,15.0,pupil,6,0.0,1.0,1.0
process_mining,CoreFlow,5.0,close pull request exit->exit,4,0.0,1.0,1.0
process_mining,CoreFlow,5.0,commit changes->close pull request exit,4,0.0,1.0,1.0
test,SentenTree,5.0,a->exit,1,2.0,4.0,2.0
test,SentenTree,5.0,b->a,1,1.0,2.0,1.0
test,SentenTree,5.0,b->b,0,0.0,1.0,1.0
test,SentenTree,5.0,b->d,1,0.0,1.0,1.0
test,SentenTree,5.0,b->exit,1,1.0,2.0,1.0
test,SentenTree,5.0,c->b,1,1.0,2.0,1.0
test,SentenTree,5.0,e->d,0,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,10.0,missed shot->rebound,15,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,10.0,rebound->umd offense,8,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,10.0,umd offense->exit,27,0.0,1.0,1.0
umdvsunc_D2O_basketball,SentenTree,10.0,umd offense->rebound,8,0.0,1.0,1.0
vast_1000,SentenTree,5.0,camping->ranger-stop,57,0.0,1.0,1.0
vast_1000,SentenTree,5.0,general gate->ranger-stop,642,0.0,1.0,1.0
vast_1000,SentenTree,5.0,ranger-stop->camping,57,0.0,1.0,1.0
