dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,5.0,19.0,18.0,16.0,0.8421052631578947,2.0,0.8888888888888888,0.8421052631578947,0.8648648648648649
Foursquare_NYC,SentenTree,5.0,18.0,17.0,13.0,0.7222222222222222,4.0,0.7647058823529411,0.7222222222222222,0.7428571428571428
Foursquare_NYC,Sequence Synopsis,15.0,106.0,68.0,52.0,0.49056603773584906,16.0,0.7647058823529411,0.49056603773584906,0.5977011494252874
VAST,SentenTree,5.0,46.0,37.0,22.0,0.4782608695652174,15.0,0.5945945945945946,0.4782608695652174,0.5301204819277109
VAST,Sequence Synopsis,5.0,96.0,89.0,81.0,0.84375,8.0,0.9101123595505618,0.84375,0.8756756756756756
VAST,Sequence Synopsis,15.0,96.0,66.0,60.0,0.625,6.0,0.9090909090909091,0.625,0.7407407407407406
VAST,Sequence Synopsis,20.0,83.0,75.0,71.0,0.8554216867469879,4.0,0.9466666666666667,0.8554216867469879,0.8987341772151898
VAST,Sequence Synopsis,25.0,71.0,69.0,69.0,0.971830985915493,0.0,1.0,0.971830985915493,0.9857142857142858
career,CoreFlow,5.0,23.0,18.0,11.0,0.4782608695652174,7.0,0.6111111111111112,0.4782608695652174,0.5365853658536586
career,CoreFlow,10.0,19.0,17.0,16.0,0.8421052631578947,1.0,0.9411764705882353,0.8421052631578947,0.8888888888888888
career,SentenTree,5.0,44.0,33.0,19.0,0.4318181818181818,14.0,0.5757575757575758,0.4318181818181818,0.49350649350649356
career,SentenTree,10.0,23.0,22.0,18.0,0.782608695652174,4.0,0.8181818181818182,0.782608695652174,0.8
chicago_baseball,CoreFlow,5.0,22.0,17.0,9.0,0.4090909090909091,8.0,0.5294117647058824,0.4090909090909091,0.46153846153846156
chicago_baseball,SentenTree,5.0,25.0,22.0,18.0,0.72,4.0,0.8181818181818182,0.72,0.7659574468085107
pediatric_trauma,CoreFlow,5.0,17.0,15.0,15.0,0.8823529411764706,0.0,1.0,0.8823529411764706,0.9375
pediatric_trauma,SentenTree,5.0,30.0,29.0,17.0,0.5666666666666667,12.0,0.5862068965517241,0.5666666666666667,0.576271186440678
pediatric_trauma,Sequence Synopsis,5.0,63.0,61.0,61.0,0.9682539682539683,0.0,1.0,0.9682539682539683,0.9838709677419354
pediatric_trauma,Sequence Synopsis,20.0,58.0,57.0,56.0,0.9655172413793104,1.0,0.9824561403508771,0.9655172413793104,0.9739130434782608
process_mining,CoreFlow,5.0,19.0,16.0,8.0,0.42105263157894735,8.0,0.5,0.42105263157894735,0.45714285714285713
process_mining,SentenTree,5.0,20.0,18.0,15.0,0.75,3.0,0.8333333333333334,0.75,0.7894736842105262
test,CoreFlow,5.0,20.0,17.0,17.0,0.85,0.0,1.0,0.85,0.9189189189189189
test,SentenTree,5.0,37.0,35.0,26.0,0.7027027027027027,9.0,0.7428571428571429,0.7027027027027027,0.7222222222222223
umdvsunc_D2O_basketball,CoreFlow,5.0,22.0,20.0,11.0,0.5,9.0,0.55,0.5,0.5238095238095238
umdvsunc_D2O_basketball,SentenTree,5.0,35.0,27.0,19.0,0.5428571428571428,8.0,0.7037037037037037,0.5428571428571428,0.6129032258064516
vast_1000,SentenTree,5.0,36.0,33.0,16.0,0.4444444444444444,17.0,0.48484848484848486,0.4444444444444444,0.463768115942029
