dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,10.0,11.0,11.0,11.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,10.0,10.0,10.0,1.0,0.0,1.0,1.0,1.0
VAST,SentenTree,10.0,16.0,15.0,10.0,0.625,5.0,0.6666666666666666,0.625,0.6451612903225806
career,CoreFlow,15.0,13.0,12.0,9.0,0.6923076923076923,3.0,0.75,0.6923076923076923,0.7199999999999999
career,SentenTree,15.0,15.0,17.0,14.0,0.9333333333333333,3.0,0.8235294117647058,0.9333333333333333,0.8749999999999999
career,SentenTree,20.0,12.0,12.0,11.0,0.9166666666666666,1.0,0.9166666666666666,0.9166666666666666,0.9166666666666666
career,SentenTree,25.0,10.0,9.0,5.0,0.5,4.0,0.5555555555555556,0.5,0.5263157894736842
career,Sequence Synopsis,5.0,50.0,53.0,50.0,1.0,3.0,0.9433962264150944,1.0,0.970873786407767
career,Sequence Synopsis,10.0,36.0,36.0,36.0,1.0,0.0,1.0,1.0,1.0
career,Sequence Synopsis,15.0,49.0,49.0,49.0,1.0,0.0,1.0,1.0,1.0
career,Sequence Synopsis,25.0,50.0,37.0,37.0,0.74,0.0,1.0,0.74,0.8505747126436781
career,Sequence Synopsis,30.0,40.0,40.0,40.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,CoreFlow,10.0,12.0,12.0,8.0,0.6666666666666666,4.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
chicago_baseball,SentenTree,10.0,13.0,12.0,12.0,0.9230769230769231,0.0,1.0,0.9230769230769231,0.9600000000000001
emergency_dataset,CoreFlow,5.0,11.0,11.0,10.0,0.9090909090909091,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091
emergency_dataset,SentenTree,5.0,14.0,12.0,10.0,0.7142857142857143,2.0,0.8333333333333334,0.7142857142857143,0.7692307692307692
emergency_dataset,SentenTree,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emergency_dataset,SentenTree,15.0,12.0,11.0,10.0,0.8333333333333334,1.0,0.9090909090909091,0.8333333333333334,0.8695652173913043
pediatric_trauma,CoreFlow,15.0,11.0,10.0,10.0,0.9090909090909091,0.0,1.0,0.9090909090909091,0.9523809523809523
pediatric_trauma,SentenTree,10.0,18.0,15.0,10.0,0.5555555555555556,5.0,0.6666666666666666,0.5555555555555556,0.606060606060606
pediatric_trauma,Sequence Synopsis,15.0,45.0,43.0,43.0,0.9555555555555556,0.0,1.0,0.9555555555555556,0.9772727272727273
pediatric_trauma,Sequence Synopsis,25.0,40.0,40.0,40.0,1.0,0.0,1.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,30.0,36.0,36.0,36.0,1.0,0.0,1.0,1.0,1.0
process_mining,CoreFlow,10.0,13.0,14.0,10.0,0.7692307692307693,4.0,0.7142857142857143,0.7692307692307693,0.7407407407407408
process_mining,SentenTree,10.0,13.0,12.0,12.0,0.9230769230769231,0.0,1.0,0.9230769230769231,0.9600000000000001
umdvsunc_D2O_basketball,CoreFlow,10.0,15.0,14.0,14.0,0.9333333333333333,0.0,1.0,0.9333333333333333,0.9655172413793104
umdvsunc_D2O_basketball,SentenTree,10.0,20.0,17.0,11.0,0.55,6.0,0.6470588235294118,0.55,0.5945945945945946
umdvsunc_D2O_basketball,Sequence Synopsis,5.0,40.0,35.0,35.0,0.875,0.0,1.0,0.875,0.9333333333333333
umdvsunc_D2O_basketball,Sequence Synopsis,10.0,35.0,35.0,35.0,1.0,0.0,1.0,1.0,1.0
umdvsunc_D2O_basketball,Sequence Synopsis,30.0,40.0,41.0,39.0,0.975,2.0,0.9512195121951219,0.975,0.9629629629629629
vast_1000,SentenTree,10.0,13.0,13.0,10.0,0.7692307692307693,3.0,0.7692307692307693,0.7692307692307693,0.7692307692307693
