dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,15.0,9.0,9.0,9.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,20.0,7.0,7.0,7.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,25.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,9.0,9.0,8.0,0.8888888888888888,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888
Foursquare_NYC,SentenTree,20.0,7.0,7.0,7.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,25.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,5.0,16.0,16.0,16.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,10.0,20.0,19.0,19.0,0.95,0.0,1.0,0.95,0.9743589743589743
VAST,CoreFlow,5.0,6.0,6.0,6.0,1.0,0.0,1.0,1.0,1.0
VAST,CoreFlow,10.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0
VAST,SentenTree,15.0,11.0,11.0,8.0,0.7272727272727273,3.0,0.7272727272727273,0.7272727272727273,0.7272727272727273
VAST,SentenTree,20.0,10.0,12.0,10.0,1.0,2.0,0.8333333333333334,1.0,0.9090909090909091
VAST,SentenTree,25.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
career,CoreFlow,20.0,9.0,9.0,7.0,0.7777777777777778,2.0,0.7777777777777778,0.7777777777777778,0.7777777777777778
chicago_baseball,CoreFlow,15.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,CoreFlow,25.0,6.0,6.0,6.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,SentenTree,15.0,11.0,10.0,10.0,0.9090909090909091,0.0,1.0,0.9090909090909091,0.9523809523809523
chicago_baseball,SentenTree,20.0,9.0,8.0,8.0,0.8888888888888888,0.0,1.0,0.8888888888888888,0.9411764705882353
chicago_baseball,SentenTree,30.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,5.0,5.0,8.0,5.0,1.0,3.0,0.625,1.0,0.7692307692307693
chicago_baseball,Sequence Synopsis,10.0,15.0,15.0,15.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,15.0,6.0,6.0,6.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,20.0,21.0,21.0,21.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,25.0,31.0,31.0,31.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,30.0,25.0,24.0,23.0,0.92,1.0,0.9583333333333334,0.92,0.9387755102040817
emergency_dataset,CoreFlow,25.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
emergency_dataset,SentenTree,25.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
emergency_dataset,SentenTree,30.0,7.0,7.0,7.0,1.0,0.0,1.0,1.0,1.0
emergency_dataset,Sequence Synopsis,5.0,25.0,21.0,21.0,0.84,0.0,1.0,0.84,0.9130434782608696
pediatric_trauma,CoreFlow,30.0,9.0,8.0,8.0,0.8888888888888888,0.0,1.0,0.8888888888888888,0.9411764705882353
pediatric_trauma,SentenTree,15.0,10.0,8.0,8.0,0.8,0.0,1.0,0.8,0.888888888888889
pediatric_trauma,SentenTree,20.0,8.0,8.0,7.0,0.875,1.0,0.875,0.875,0.875
pediatric_trauma,Sequence Synopsis,10.0,31.0,31.0,31.0,1.0,0.0,1.0,1.0,1.0
process_mining,CoreFlow,15.0,7.0,7.0,7.0,1.0,0.0,1.0,1.0,1.0
process_mining,CoreFlow,20.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
process_mining,CoreFlow,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
process_mining,SentenTree,15.0,7.0,7.0,7.0,1.0,0.0,1.0,1.0,1.0
process_mining,SentenTree,20.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
process_mining,SentenTree,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
test,CoreFlow,20.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
test,SentenTree,20.0,8.0,8.0,7.0,0.875,1.0,0.875,0.875,0.875
test,Sequence Synopsis,5.0,24.0,24.0,24.0,1.0,0.0,1.0,1.0,1.0
umdvsunc_D2O_basketball,CoreFlow,15.0,9.0,9.0,9.0,1.0,0.0,1.0,1.0,1.0
umdvsunc_D2O_basketball,CoreFlow,25.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
