dataset,technique,parameter_value,attribute,value,gt_count,llm_count,hallucinated_count
Foursquare_NYC,CoreFlow,5.0,fast food->restaurant,43,2.0,3.0,1.0
Foursquare_NYC,CoreFlow,5.0,restaurant->gym,50,0.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,fast food->exit,43,1.0,2.0,1.0
Foursquare_NYC,SentenTree,5.0,fast food->restaurant,182,0.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,gym/fitness center->exit,136,0.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,restaurant->exit,112,0.0,1.0,1.0
Foursquare_NYC,SentenTree,15.0,restaurant->exit,137,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,beach exit,1,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,cults schools exit,10,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,fast food,38,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,fast food,64,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,general college&university exit,5,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,gym/exit,4,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,home(private)exit,1,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,hotel exit,3,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,laundry service exit,2,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,office exit,1,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,outdoor,5,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,railway exit,1,0.0,2.0,2.0
Foursquare_NYC,Sequence Synopsis,15.0,shop exit,2,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,spiritual exit,16,0.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,15.0,tattoo parlor exit,14,0.0,1.0,1.0
VAST,SentenTree,5.0,camping->exit,6,0.0,1.0,1.0
VAST,SentenTree,5.0,camping->ranger-base,6,0.0,1.0,1.0
VAST,SentenTree,5.0,camping->ranger-stop,6,0.0,2.0,2.0
VAST,SentenTree,5.0,camping->ranger-stop,7,0.0,2.0,2.0
