dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,15.0,9.0,10.0,4.0,0.4444444444444444,6.0,0.4,0.4444444444444444,0.4210526315789474
Foursquare_NYC,CoreFlow,20.0,7.0,6.0,4.0,0.5714285714285714,2.0,0.6666666666666666,0.5714285714285714,0.6153846153846153
Foursquare_NYC,CoreFlow,25.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,10.0,9.0,8.0,0.8,1.0,0.8888888888888888,0.8,0.8421052631578948
Foursquare_NYC,SentenTree,15.0,9.0,7.0,4.0,0.4444444444444444,3.0,0.5714285714285714,0.4444444444444444,0.5
Foursquare_NYC,SentenTree,20.0,7.0,6.0,5.0,0.7142857142857143,1.0,0.8333333333333334,0.7142857142857143,0.7692307692307692
Foursquare_NYC,SentenTree,25.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,5.0,16.0,16.0,16.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,10.0,20.0,19.0,19.0,0.95,0.0,1.0,0.95,0.9743589743589743
VAST,CoreFlow,5.0,6.0,5.0,4.0,0.6666666666666666,1.0,0.8,0.6666666666666666,0.7272727272727272
VAST,CoreFlow,10.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0
VAST,SentenTree,15.0,11.0,10.0,9.0,0.8181818181818182,1.0,0.9,0.8181818181818182,0.8571428571428572
VAST,SentenTree,20.0,10.0,10.0,9.0,0.9,1.0,0.9,0.9,0.9
VAST,SentenTree,25.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
career,CoreFlow,20.0,9.0,8.0,8.0,0.8888888888888888,0.0,1.0,0.8888888888888888,0.9411764705882353
career,SentenTree,25.0,10.0,10.0,10.0,1.0,0.0,1.0,1.0,1.0
career,Sequence Synopsis,5.0,50.0,37.0,36.0,0.72,1.0,0.972972972972973,0.72,0.8275862068965518
career,Sequence Synopsis,10.0,36.0,29.0,29.0,0.8055555555555556,0.0,1.0,0.8055555555555556,0.8923076923076924
career,Sequence Synopsis,15.0,49.0,42.0,42.0,0.8571428571428571,0.0,1.0,0.8571428571428571,0.923076923076923
career,Sequence Synopsis,25.0,50.0,31.0,31.0,0.62,0.0,1.0,0.62,0.7654320987654321
career,Sequence Synopsis,30.0,40.0,35.0,34.0,0.85,1.0,0.9714285714285714,0.85,0.9066666666666667
chicago_baseball,CoreFlow,15.0,8.0,8.0,7.0,0.875,1.0,0.875,0.875,0.875
chicago_baseball,CoreFlow,25.0,6.0,6.0,6.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,SentenTree,15.0,11.0,9.0,6.0,0.5454545454545454,3.0,0.6666666666666666,0.5454545454545454,0.6
chicago_baseball,SentenTree,20.0,9.0,9.0,7.0,0.7777777777777778,2.0,0.7777777777777778,0.7777777777777778,0.7777777777777778
chicago_baseball,SentenTree,30.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,5.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,10.0,15.0,15.0,15.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,15.0,6.0,5.0,5.0,0.8333333333333334,0.0,1.0,0.8333333333333334,0.9090909090909091
chicago_baseball,Sequence Synopsis,20.0,21.0,21.0,21.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,25.0,31.0,29.0,29.0,0.9354838709677419,0.0,1.0,0.9354838709677419,0.9666666666666666
chicago_baseball,Sequence Synopsis,30.0,25.0,24.0,23.0,0.92,1.0,0.9583333333333334,0.92,0.9387755102040817
emergency_dataset,CoreFlow,25.0,8.0,8.0,6.0,0.75,2.0,0.75,0.75,0.75
emergency_dataset,SentenTree,25.0,8.0,7.0,7.0,0.875,0.0,1.0,0.875,0.9333333333333333
emergency_dataset,SentenTree,30.0,7.0,7.0,6.0,0.8571428571428571,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571
emergency_dataset,Sequence Synopsis,5.0,25.0,22.0,22.0,0.88,0.0,1.0,0.88,0.9361702127659575
pediatric_trauma,CoreFlow,30.0,9.0,8.0,1.0,0.1111111111111111,7.0,0.125,0.1111111111111111,0.11764705882352941
pediatric_trauma,SentenTree,15.0,10.0,8.0,5.0,0.5,3.0,0.625,0.5,0.5555555555555556
pediatric_trauma,SentenTree,20.0,8.0,8.0,6.0,0.75,2.0,0.75,0.75,0.75
pediatric_trauma,Sequence Synopsis,10.0,31.0,32.0,31.0,1.0,1.0,0.96875,1.0,0.9841269841269841
pediatric_trauma,Sequence Synopsis,25.0,40.0,35.0,35.0,0.875,0.0,1.0,0.875,0.9333333333333333
pediatric_trauma,Sequence Synopsis,30.0,36.0,32.0,32.0,0.8888888888888888,0.0,1.0,0.8888888888888888,0.9411764705882353
process_mining,CoreFlow,15.0,7.0,5.0,4.0,0.5714285714285714,1.0,0.8,0.5714285714285714,0.6666666666666666
process_mining,CoreFlow,20.0,5.0,5.0,4.0,0.8,1.0,0.8,0.8,0.8000000000000002
process_mining,CoreFlow,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
process_mining,SentenTree,15.0,7.0,6.0,6.0,0.8571428571428571,0.0,1.0,0.8571428571428571,0.923076923076923
process_mining,SentenTree,20.0,5.0,5.0,3.0,0.6,2.0,0.6,0.6,0.6
process_mining,SentenTree,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
test,CoreFlow,20.0,8.0,9.0,8.0,1.0,1.0,0.8888888888888888,1.0,0.9411764705882353
test,SentenTree,20.0,8.0,8.0,5.0,0.625,3.0,0.625,0.625,0.625
test,Sequence Synopsis,5.0,24.0,17.0,16.0,0.6666666666666666,1.0,0.9411764705882353,0.6666666666666666,0.7804878048780487
umdvsunc_D2O_basketball,CoreFlow,15.0,9.0,9.0,7.0,0.7777777777777778,2.0,0.7777777777777778,0.7777777777777778,0.7777777777777778
umdvsunc_D2O_basketball,CoreFlow,25.0,5.0,4.0,4.0,0.8,0.0,1.0,0.8,0.888888888888889
umdvsunc_D2O_basketball,SentenTree,15.0,10.0,9.0,7.0,0.7,2.0,0.7777777777777778,0.7,0.7368421052631577
umdvsunc_D2O_basketball,SentenTree,25.0,9.0,8.0,6.0,0.6666666666666666,2.0,0.75,0.6666666666666666,0.7058823529411765
umdvsunc_D2O_basketball,Sequence Synopsis,10.0,35.0,28.0,27.0,0.7714285714285715,1.0,0.9642857142857143,0.7714285714285715,0.8571428571428572
umdvsunc_D2O_basketball,Sequence Synopsis,15.0,32.0,31.0,31.0,0.96875,0.0,1.0,0.96875,0.9841269841269841
umdvsunc_D2O_basketball,Sequence Synopsis,20.0,25.0,21.0,21.0,0.84,0.0,1.0,0.84,0.9130434782608696
umdvsunc_D2O_basketball,Sequence Synopsis,25.0,32.0,26.0,26.0,0.8125,0.0,1.0,0.8125,0.896551724137931
vast_1000,CoreFlow,5.0,7.0,6.0,4.0,0.5714285714285714,2.0,0.6666666666666666,0.5714285714285714,0.6153846153846153
vast_1000,CoreFlow,10.0,5.0,5.0,2.0,0.4,3.0,0.4,0.4,0.4000000000000001
vast_1000,SentenTree,15.0,11.0,10.0,6.0,0.5454545454545454,4.0,0.6,0.5454545454545454,0.5714285714285713
vast_1000,SentenTree,20.0,10.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0
vast_1000,SentenTree,25.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
