dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,10.0,11.0,11.0,8.0,0.7272727272727273,3.0,0.7272727272727273,0.7272727272727273,0.7272727272727273
Foursquare_NYC,SentenTree,5.0,18.0,16.0,9.0,0.5,7.0,0.5625,0.5,0.5294117647058824
VAST,SentenTree,10.0,16.0,13.0,11.0,0.6875,2.0,0.8461538461538461,0.6875,0.7586206896551724
VAST,Sequence Synopsis,20.0,83.0,50.0,46.0,0.5542168674698795,4.0,0.92,0.5542168674698795,0.6917293233082706
VAST,Sequence Synopsis,25.0,71.0,54.0,53.0,0.7464788732394366,1.0,0.9814814814814815,0.7464788732394366,0.848
career,CoreFlow,15.0,13.0,11.0,5.0,0.38461538461538464,6.0,0.45454545454545453,0.38461538461538464,0.41666666666666663
career,SentenTree,15.0,15.0,14.0,9.0,0.6,5.0,0.6428571428571429,0.6,0.6206896551724138
career,SentenTree,20.0,12.0,12.0,9.0,0.75,3.0,0.75,0.75,0.75
chicago_baseball,CoreFlow,10.0,12.0,9.0,5.0,0.4166666666666667,4.0,0.5555555555555556,0.4166666666666667,0.4761904761904762
chicago_baseball,SentenTree,10.0,13.0,12.0,11.0,0.8461538461538461,1.0,0.9166666666666666,0.8461538461538461,0.8799999999999999
emergency_dataset,CoreFlow,5.0,11.0,9.0,4.0,0.36363636363636365,5.0,0.4444444444444444,0.36363636363636365,0.39999999999999997
emergency_dataset,SentenTree,5.0,14.0,13.0,9.0,0.6428571428571429,4.0,0.6923076923076923,0.6428571428571429,0.6666666666666666
emergency_dataset,SentenTree,10.0,12.0,10.0,8.0,0.6666666666666666,2.0,0.8,0.6666666666666666,0.7272727272727272
emergency_dataset,SentenTree,15.0,12.0,11.0,8.0,0.6666666666666666,3.0,0.7272727272727273,0.6666666666666666,0.6956521739130435
pediatric_trauma,CoreFlow,15.0,11.0,10.0,5.0,0.45454545454545453,5.0,0.5,0.45454545454545453,0.47619047619047616
pediatric_trauma,SentenTree,10.0,18.0,14.0,7.0,0.3888888888888889,7.0,0.5,0.3888888888888889,0.43750000000000006
pediatric_trauma,Sequence Synopsis,5.0,63.0,53.0,52.0,0.8253968253968254,1.0,0.9811320754716981,0.8253968253968254,0.8965517241379309
pediatric_trauma,Sequence Synopsis,15.0,45.0,38.0,38.0,0.8444444444444444,0.0,1.0,0.8444444444444444,0.9156626506024096
pediatric_trauma,Sequence Synopsis,20.0,58.0,46.0,45.0,0.7758620689655172,1.0,0.9782608695652174,0.7758620689655172,0.8653846153846154
process_mining,CoreFlow,10.0,13.0,11.0,7.0,0.5384615384615384,4.0,0.6363636363636364,0.5384615384615384,0.5833333333333334
process_mining,SentenTree,5.0,20.0,16.0,11.0,0.55,5.0,0.6875,0.55,0.6111111111111112
process_mining,SentenTree,10.0,13.0,13.0,10.0,0.7692307692307693,3.0,0.7692307692307693,0.7692307692307693,0.7692307692307693
process_mining,Sequence Synopsis,5.0,33.0,26.0,26.0,0.7878787878787878,0.0,1.0,0.7878787878787878,0.8813559322033898
process_mining,Sequence Synopsis,10.0,33.0,30.0,29.0,0.8787878787878788,1.0,0.9666666666666667,0.8787878787878788,0.9206349206349207
process_mining,Sequence Synopsis,15.0,33.0,29.0,27.0,0.8181818181818182,2.0,0.9310344827586207,0.8181818181818182,0.8709677419354839
process_mining,Sequence Synopsis,20.0,33.0,21.0,21.0,0.6363636363636364,0.0,1.0,0.6363636363636364,0.7777777777777778
process_mining,Sequence Synopsis,25.0,33.0,26.0,26.0,0.7878787878787878,0.0,1.0,0.7878787878787878,0.8813559322033898
process_mining,Sequence Synopsis,30.0,33.0,24.0,24.0,0.7272727272727273,0.0,1.0,0.7272727272727273,0.8421052631578948
umdvsunc_D2O_basketball,CoreFlow,10.0,15.0,11.0,11.0,0.7333333333333333,0.0,1.0,0.7333333333333333,0.846153846153846
umdvsunc_D2O_basketball,SentenTree,10.0,20.0,15.0,8.0,0.4,7.0,0.5333333333333333,0.4,0.4571428571428572
umdvsunc_D2O_basketball,Sequence Synopsis,5.0,40.0,37.0,37.0,0.925,0.0,1.0,0.925,0.961038961038961
umdvsunc_D2O_basketball,Sequence Synopsis,30.0,40.0,39.0,38.0,0.95,1.0,0.9743589743589743,0.95,0.9620253164556962
vast_1000,SentenTree,10.0,13.0,10.0,8.0,0.6153846153846154,2.0,0.8,0.6153846153846154,0.6956521739130435
