dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,5.0,19.0,16.0,7.0,0.3684210526315789,9.0,0.4375,0.3684210526315789,0.39999999999999997
Foursquare_NYC,SentenTree,5.0,18.0,16.0,9.0,0.5,7.0,0.5625,0.5,0.5294117647058824
Foursquare_NYC,Sequence Synopsis,15.0,106.0,45.0,35.0,0.330188679245283,10.0,0.7777777777777778,0.330188679245283,0.46357615894039733
VAST,SentenTree,5.0,46.0,38.0,15.0,0.32608695652173914,23.0,0.39473684210526316,0.32608695652173914,0.35714285714285715
VAST,Sequence Synopsis,5.0,96.0,74.0,60.0,0.625,14.0,0.8108108108108109,0.625,0.7058823529411764
VAST,Sequence Synopsis,15.0,96.0,58.0,52.0,0.5416666666666666,6.0,0.896551724137931,0.5416666666666666,0.6753246753246753
VAST,Sequence Synopsis,20.0,83.0,50.0,46.0,0.5542168674698795,4.0,0.92,0.5542168674698795,0.6917293233082706
VAST,Sequence Synopsis,25.0,71.0,54.0,53.0,0.7464788732394366,1.0,0.9814814814814815,0.7464788732394366,0.848
career,CoreFlow,5.0,23.0,16.0,9.0,0.391304347826087,7.0,0.5625,0.391304347826087,0.46153846153846156
career,CoreFlow,10.0,19.0,14.0,9.0,0.47368421052631576,5.0,0.6428571428571429,0.47368421052631576,0.5454545454545454
career,SentenTree,5.0,44.0,25.0,17.0,0.38636363636363635,8.0,0.68,0.38636363636363635,0.4927536231884058
career,SentenTree,10.0,23.0,17.0,8.0,0.34782608695652173,9.0,0.47058823529411764,0.34782608695652173,0.39999999999999997
chicago_baseball,CoreFlow,5.0,22.0,16.0,6.0,0.2727272727272727,10.0,0.375,0.2727272727272727,0.3157894736842105
chicago_baseball,SentenTree,5.0,25.0,19.0,10.0,0.4,9.0,0.5263157894736842,0.4,0.45454545454545453
pediatric_trauma,CoreFlow,5.0,17.0,15.0,5.0,0.29411764705882354,10.0,0.3333333333333333,0.29411764705882354,0.3125
pediatric_trauma,SentenTree,5.0,30.0,22.0,4.0,0.13333333333333333,18.0,0.18181818181818182,0.13333333333333333,0.15384615384615383
pediatric_trauma,Sequence Synopsis,5.0,63.0,53.0,52.0,0.8253968253968254,1.0,0.9811320754716981,0.8253968253968254,0.8965517241379309
pediatric_trauma,Sequence Synopsis,20.0,58.0,46.0,45.0,0.7758620689655172,1.0,0.9782608695652174,0.7758620689655172,0.8653846153846154
process_mining,CoreFlow,5.0,19.0,15.0,5.0,0.2631578947368421,10.0,0.3333333333333333,0.2631578947368421,0.29411764705882354
process_mining,SentenTree,5.0,20.0,16.0,11.0,0.55,5.0,0.6875,0.55,0.6111111111111112
test,CoreFlow,5.0,20.0,16.0,11.0,0.55,5.0,0.6875,0.55,0.6111111111111112
test,SentenTree,5.0,37.0,25.0,17.0,0.4594594594594595,8.0,0.68,0.4594594594594595,0.5483870967741935
umdvsunc_D2O_basketball,CoreFlow,5.0,22.0,18.0,13.0,0.5909090909090909,5.0,0.7222222222222222,0.5909090909090909,0.65
umdvsunc_D2O_basketball,SentenTree,5.0,35.0,26.0,12.0,0.34285714285714286,14.0,0.46153846153846156,0.34285714285714286,0.3934426229508197
vast_1000,SentenTree,5.0,36.0,27.0,9.0,0.25,18.0,0.3333333333333333,0.25,0.28571428571428575
