dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,10.0,11.0,11.0,8.0,0.7272727272727273,3.0,0.7272727272727273,0.7272727272727273,0.7272727272727273
Foursquare_NYC,SentenTree,10.0,10.0,9.0,8.0,0.8,1.0,0.8888888888888888,0.8,0.8421052631578948
VAST,SentenTree,10.0,16.0,13.0,11.0,0.6875,2.0,0.8461538461538461,0.6875,0.7586206896551724
career,CoreFlow,15.0,13.0,11.0,5.0,0.38461538461538464,6.0,0.45454545454545453,0.38461538461538464,0.41666666666666663
career,SentenTree,15.0,15.0,14.0,9.0,0.6,5.0,0.6428571428571429,0.6,0.6206896551724138
career,SentenTree,20.0,12.0,12.0,9.0,0.75,3.0,0.75,0.75,0.75
career,SentenTree,25.0,10.0,10.0,10.0,1.0,0.0,1.0,1.0,1.0
career,Sequence Synopsis,5.0,50.0,37.0,36.0,0.72,1.0,0.972972972972973,0.72,0.8275862068965518
career,Sequence Synopsis,10.0,36.0,29.0,29.0,0.8055555555555556,0.0,1.0,0.8055555555555556,0.8923076923076924
career,Sequence Synopsis,15.0,49.0,42.0,42.0,0.8571428571428571,0.0,1.0,0.8571428571428571,0.923076923076923
career,Sequence Synopsis,25.0,50.0,31.0,31.0,0.62,0.0,1.0,0.62,0.7654320987654321
career,Sequence Synopsis,30.0,40.0,35.0,34.0,0.85,1.0,0.9714285714285714,0.85,0.9066666666666667
chicago_baseball,CoreFlow,10.0,12.0,9.0,5.0,0.4166666666666667,4.0,0.5555555555555556,0.4166666666666667,0.4761904761904762
chicago_baseball,SentenTree,10.0,13.0,12.0,11.0,0.8461538461538461,1.0,0.9166666666666666,0.8461538461538461,0.8799999999999999
emergency_dataset,CoreFlow,5.0,11.0,9.0,4.0,0.36363636363636365,5.0,0.4444444444444444,0.36363636363636365,0.39999999999999997
emergency_dataset,SentenTree,5.0,14.0,13.0,9.0,0.6428571428571429,4.0,0.6923076923076923,0.6428571428571429,0.6666666666666666
emergency_dataset,SentenTree,10.0,12.0,10.0,8.0,0.6666666666666666,2.0,0.8,0.6666666666666666,0.7272727272727272
emergency_dataset,SentenTree,15.0,12.0,11.0,8.0,0.6666666666666666,3.0,0.7272727272727273,0.6666666666666666,0.6956521739130435
pediatric_trauma,CoreFlow,15.0,11.0,10.0,5.0,0.45454545454545453,5.0,0.5,0.45454545454545453,0.47619047619047616
pediatric_trauma,SentenTree,10.0,18.0,14.0,7.0,0.3888888888888889,7.0,0.5,0.3888888888888889,0.43750000000000006
pediatric_trauma,Sequence Synopsis,15.0,45.0,38.0,38.0,0.8444444444444444,0.0,1.0,0.8444444444444444,0.9156626506024096
pediatric_trauma,Sequence Synopsis,25.0,40.0,35.0,35.0,0.875,0.0,1.0,0.875,0.9333333333333333
pediatric_trauma,Sequence Synopsis,30.0,36.0,32.0,32.0,0.8888888888888888,0.0,1.0,0.8888888888888888,0.9411764705882353
process_mining,CoreFlow,10.0,13.0,11.0,7.0,0.5384615384615384,4.0,0.6363636363636364,0.5384615384615384,0.5833333333333334
process_mining,SentenTree,10.0,13.0,13.0,10.0,0.7692307692307693,3.0,0.7692307692307693,0.7692307692307693,0.7692307692307693
umdvsunc_D2O_basketball,CoreFlow,10.0,15.0,11.0,11.0,0.7333333333333333,0.0,1.0,0.7333333333333333,0.846153846153846
umdvsunc_D2O_basketball,SentenTree,10.0,20.0,15.0,8.0,0.4,7.0,0.5333333333333333,0.4,0.4571428571428572
umdvsunc_D2O_basketball,Sequence Synopsis,5.0,40.0,37.0,37.0,0.925,0.0,1.0,0.925,0.961038961038961
umdvsunc_D2O_basketball,Sequence Synopsis,10.0,35.0,28.0,27.0,0.7714285714285715,1.0,0.9642857142857143,0.7714285714285715,0.8571428571428572
umdvsunc_D2O_basketball,Sequence Synopsis,30.0,40.0,39.0,38.0,0.95,1.0,0.9743589743589743,0.95,0.9620253164556962
vast_1000,SentenTree,10.0,13.0,10.0,8.0,0.6153846153846154,2.0,0.8,0.6153846153846154,0.6956521739130435
