dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,5.0,19.0,16.0,7.0,0.3684210526315789,9.0,0.4375,0.3684210526315789,0.39999999999999997
Foursquare_NYC,CoreFlow,10.0,11.0,11.0,8.0,0.7272727272727273,3.0,0.7272727272727273,0.7272727272727273,0.7272727272727273
Foursquare_NYC,CoreFlow,15.0,9.0,10.0,4.0,0.4444444444444444,6.0,0.4,0.4444444444444444,0.4210526315789474
Foursquare_NYC,CoreFlow,20.0,7.0,6.0,4.0,0.5714285714285714,2.0,0.6666666666666666,0.5714285714285714,0.6153846153846153
Foursquare_NYC,CoreFlow,25.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,18.0,16.0,9.0,0.5,7.0,0.5625,0.5,0.5294117647058824
Foursquare_NYC,SentenTree,10.0,10.0,9.0,8.0,0.8,1.0,0.8888888888888888,0.8,0.8421052631578948
Foursquare_NYC,SentenTree,15.0,9.0,7.0,4.0,0.4444444444444444,3.0,0.5714285714285714,0.4444444444444444,0.5
Foursquare_NYC,SentenTree,20.0,7.0,6.0,5.0,0.7142857142857143,1.0,0.8333333333333334,0.7142857142857143,0.7692307692307692
Foursquare_NYC,SentenTree,25.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,5.0,16.0,16.0,16.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,10.0,20.0,19.0,19.0,0.95,0.0,1.0,0.95,0.9743589743589743
Foursquare_NYC,Sequence Synopsis,15.0,106.0,45.0,35.0,0.330188679245283,10.0,0.7777777777777778,0.330188679245283,0.46357615894039733
VAST,CoreFlow,5.0,6.0,5.0,4.0,0.6666666666666666,1.0,0.8,0.6666666666666666,0.7272727272727272
VAST,CoreFlow,10.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0
VAST,SentenTree,5.0,46.0,38.0,15.0,0.32608695652173914,23.0,0.39473684210526316,0.32608695652173914,0.35714285714285715
VAST,SentenTree,10.0,16.0,13.0,11.0,0.6875,2.0,0.8461538461538461,0.6875,0.7586206896551724
VAST,SentenTree,15.0,11.0,10.0,9.0,0.8181818181818182,1.0,0.9,0.8181818181818182,0.8571428571428572
VAST,SentenTree,20.0,10.0,10.0,9.0,0.9,1.0,0.9,0.9,0.9
VAST,SentenTree,25.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
VAST,Sequence Synopsis,5.0,96.0,74.0,60.0,0.625,14.0,0.8108108108108109,0.625,0.7058823529411764
VAST,Sequence Synopsis,15.0,96.0,58.0,52.0,0.5416666666666666,6.0,0.896551724137931,0.5416666666666666,0.6753246753246753
VAST,Sequence Synopsis,20.0,83.0,50.0,46.0,0.5542168674698795,4.0,0.92,0.5542168674698795,0.6917293233082706
VAST,Sequence Synopsis,25.0,71.0,54.0,53.0,0.7464788732394366,1.0,0.9814814814814815,0.7464788732394366,0.848
career,CoreFlow,5.0,23.0,16.0,9.0,0.391304347826087,7.0,0.5625,0.391304347826087,0.46153846153846156
career,CoreFlow,10.0,19.0,14.0,9.0,0.47368421052631576,5.0,0.6428571428571429,0.47368421052631576,0.5454545454545454
career,CoreFlow,15.0,13.0,11.0,5.0,0.38461538461538464,6.0,0.45454545454545453,0.38461538461538464,0.41666666666666663
career,CoreFlow,20.0,9.0,8.0,8.0,0.8888888888888888,0.0,1.0,0.8888888888888888,0.9411764705882353
career,SentenTree,5.0,44.0,25.0,17.0,0.38636363636363635,8.0,0.68,0.38636363636363635,0.4927536231884058
career,SentenTree,10.0,23.0,17.0,8.0,0.34782608695652173,9.0,0.47058823529411764,0.34782608695652173,0.39999999999999997
career,SentenTree,15.0,15.0,14.0,9.0,0.6,5.0,0.6428571428571429,0.6,0.6206896551724138
career,SentenTree,20.0,12.0,12.0,9.0,0.75,3.0,0.75,0.75,0.75
career,SentenTree,25.0,10.0,10.0,10.0,1.0,0.0,1.0,1.0,1.0
career,Sequence Synopsis,5.0,50.0,37.0,36.0,0.72,1.0,0.972972972972973,0.72,0.8275862068965518
career,Sequence Synopsis,10.0,36.0,29.0,29.0,0.8055555555555556,0.0,1.0,0.8055555555555556,0.8923076923076924
career,Sequence Synopsis,15.0,49.0,42.0,42.0,0.8571428571428571,0.0,1.0,0.8571428571428571,0.923076923076923
career,Sequence Synopsis,25.0,50.0,31.0,31.0,0.62,0.0,1.0,0.62,0.7654320987654321
career,Sequence Synopsis,30.0,40.0,35.0,34.0,0.85,1.0,0.9714285714285714,0.85,0.9066666666666667
chicago_baseball,CoreFlow,5.0,22.0,16.0,6.0,0.2727272727272727,10.0,0.375,0.2727272727272727,0.3157894736842105
chicago_baseball,CoreFlow,10.0,12.0,9.0,5.0,0.4166666666666667,4.0,0.5555555555555556,0.4166666666666667,0.4761904761904762
chicago_baseball,CoreFlow,15.0,8.0,8.0,7.0,0.875,1.0,0.875,0.875,0.875
chicago_baseball,CoreFlow,25.0,6.0,6.0,6.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,SentenTree,5.0,25.0,19.0,10.0,0.4,9.0,0.5263157894736842,0.4,0.45454545454545453
chicago_baseball,SentenTree,10.0,13.0,12.0,11.0,0.8461538461538461,1.0,0.9166666666666666,0.8461538461538461,0.8799999999999999
chicago_baseball,SentenTree,15.0,11.0,9.0,6.0,0.5454545454545454,3.0,0.6666666666666666,0.5454545454545454,0.6
chicago_baseball,SentenTree,20.0,9.0,9.0,7.0,0.7777777777777778,2.0,0.7777777777777778,0.7777777777777778,0.7777777777777778
chicago_baseball,SentenTree,30.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,5.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,10.0,15.0,15.0,15.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,Sequence Synopsis,15.0,6.0,5.0,5.0,0.8333333333333334,0.0,1.0,0.8333333333333334,0.9090909090909091
chicago_baseball,Sequence Synopsis,20.0,21.0,21.0,21.0,1.0,0.0,1.0,1.0,1.0
