dataset,technique,parameter_value,attribute,value,gt_count,llm_count,hallucinated_count
Foursquare_NYC,CoreFlow,5.0,exit->exit,35,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,fast food->exit,43,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,fast food->exit,71,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,fast food->restaurant,182,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,restaurant->exit,28,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,restaurant->exit,50,1.0,2.0,1.0
Foursquare_NYC,CoreFlow,5.0,restaurant->exit,112,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,restaurant->restaurant,87,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,5.0,start->fast food,137,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,10.0,fast food->exit,182,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,10.0,start->fast food,155,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,10.0,start->fast food,182,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,exit->exit,106,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,fast food->fast food,106,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,restaurant->exit,106,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,restaurant->fast food,76,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,start->exit,137,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,15.0,start->restaurant,188,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,20.0,exit->exit,182,0.0,1.0,1.0
Foursquare_NYC,CoreFlow,20.0,start->restaurant,188,0.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,fast food->exit,71,0.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,fast food->restaurant,76,0.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,fast food->restaurant,106,0.0,1.0,1.0
