Model,Ground_Truth_Events,Extracted_Events,Correctly_Extracted,Precision,Recall,F1,Hallucinated_Events
gemini-2.0-flash,2583,1841,1797,0.9760999456816948,0.6957026713124274,0.8123869801084991,44
gemini-2.5-flash-preview-04-17,2583,2521,2245,0.8905196350654502,0.8691444057297716,0.8797021943573667,276
gemini-2.5-pro-preview-05-06,2583,2536,2432,0.9589905362776026,0.9415408439798684,0.9501855831217035,104
google_gemma-3-27b-it,2583,1857,1665,0.8966074313408724,0.6445993031358885,0.75,192
meta_llama-3.2-90b-vision-instruct-maas,2583,2326,2239,0.9625967325881342,0.8668215253581107,0.9122020778162558,87
meta_llama-4-scout-17b-16e-instruct-maas,2583,2081,1709,0.8212397885631908,0.6616337591947348,0.7328473413379074,372
meta-llama_Llama-3.2-11B-Vision-Instruct,2583,1275,838,0.6572549019607843,0.3244289585753,0.4344219803006739,437
meta_llama-4-maverick-17b-128e-instruct-maas,2583,2437,2146,0.8805908904390645,0.8308168795973674,0.854980079681275,291
qwen2.5-vl-72b,2583,2406,2148,0.8927680798004988,0.8315911730545877,0.8610944076969332,258
qwen2.5-vl-32b,2583,2204,1904,0.8638838475499092,0.7371273712737128,0.7954877794025484,300
Qwen_Qwen2.5-VL-7B-Instruct,2583,1772,1422,0.8024830699774267,0.5505226480836237,0.6530424799081516,350
qwen-vl-plus,2583,1158,804,0.694300518134715,0.31126596980255516,0.42983159582999203,354
qwen-vl-max,2583,2015,1806,0.8962779156327544,0.6991869918699187,0.7855589386689865,209
claude-3-5-haiku-20241022,2583,2118,1812,0.8555240793201133,0.7015098722415796,0.770899808551372,306
claude-3-haiku-20240307,2583,1860,1495,0.803763440860215,0.5787843592721641,0.6729687148323203,365
claude-3-5-sonnet-20241022,2583,2320,2193,0.9452586206896552,0.8490127758420442,0.894554354476851,127
claude-3-7-sonnet-20250219,2583,2411,2293,0.9510576524263791,0.8877274487030584,0.9183019623548259,118
gpt-4.1,2583,2408,2166,0.8995016611295681,0.8385598141695703,0.8679623321979563,242
