Model,Complexity_Level,Ground_Truth_Events,Extracted_Events,Correctly_Extracted,Precision,Recall,F1,Hallucinated_Events
gemini-2.0-flash,Medium,725,544,541,0.9944852941176471,0.7462068965517241,0.8526398739164698,3
gemini-2.0-flash,High,1048,664,629,0.947289156626506,0.6001908396946565,0.7348130841121495,35
gemini-2.0-flash,Low,810,633,627,0.990521327014218,0.774074074074074,0.869022869022869,6
gemini-2.5-flash-preview-04-17,Medium,725,718,686,0.9554317548746518,0.9462068965517242,0.9507969507969508,32
gemini-2.5-flash-preview-04-17,High,1048,1032,861,0.8343023255813954,0.8215648854961832,0.8278846153846154,171
gemini-2.5-flash-preview-04-17,Low,810,771,698,0.9053177691309987,0.8617283950617284,0.8829854522454142,73
gemini-2.5-pro-preview-05-06,Medium,725,719,706,0.9819193324061196,0.9737931034482759,0.9778393351800555,13
gemini-2.5-pro-preview-05-06,High,1048,1019,942,0.9244357212953876,0.898854961832061,0.9114658925979681,77
gemini-2.5-pro-preview-05-06,Low,810,798,784,0.9824561403508771,0.9679012345679012,0.9751243781094527,14
google_gemma-3-27b-it,Medium,725,616,566,0.9188311688311688,0.7806896551724138,0.8441461595824011,50
google_gemma-3-27b-it,High,1048,563,452,0.8028419182948491,0.4312977099236641,0.5611421477343266,111
google_gemma-3-27b-it,Low,810,678,647,0.9542772861356932,0.7987654320987654,0.8696236559139785,31
meta_llama-3.2-90b-vision-instruct-maas,Medium,725,675,670,0.9925925925925926,0.9241379310344827,0.9571428571428572,5
meta_llama-3.2-90b-vision-instruct-maas,High,1048,906,853,0.9415011037527594,0.8139312977099237,0.873080859774821,53
meta_llama-3.2-90b-vision-instruct-maas,Low,810,732,716,0.9781420765027322,0.8839506172839506,0.9286640726329443,16
meta_llama-4-scout-17b-16e-instruct-maas,Medium,725,611,540,0.88379705400982,0.7448275862068966,0.8083832335329342,71
meta_llama-4-scout-17b-16e-instruct-maas,High,1048,737,520,0.7055630936227951,0.4961832061068702,0.5826330532212886,217
meta_llama-4-scout-17b-16e-instruct-maas,Low,810,733,649,0.8854024556616644,0.8012345679012346,0.8412184057031757,84
meta-llama_Llama-3.2-11B-Vision-Instruct,Medium,725,391,281,0.7186700767263428,0.3875862068965517,0.503584229390681,110
meta-llama_Llama-3.2-11B-Vision-Instruct,High,1048,310,144,0.4645161290322581,0.13740458015267176,0.21207658321060383,166
