dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,15.0,9.0,8.0,6.0,0.6666666666666666,2.0,0.75,0.6666666666666666,0.7058823529411765
Foursquare_NYC,CoreFlow,20.0,7.0,7.0,7.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,25.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,CoreFlow,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,10.0,9.0,8.0,0.8,1.0,0.8888888888888888,0.8,0.8421052631578948
Foursquare_NYC,SentenTree,15.0,9.0,8.0,6.0,0.6666666666666666,2.0,0.75,0.6666666666666666,0.7058823529411765
Foursquare_NYC,SentenTree,20.0,7.0,5.0,3.0,0.42857142857142855,2.0,0.6,0.42857142857142855,0.5
Foursquare_NYC,SentenTree,25.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,5.0,16.0,16.0,16.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,Sequence Synopsis,10.0,20.0,20.0,20.0,1.0,0.0,1.0,1.0,1.0
VAST,CoreFlow,5.0,6.0,4.0,4.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.8
VAST,CoreFlow,10.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0
VAST,SentenTree,15.0,11.0,9.0,9.0,0.8181818181818182,0.0,1.0,0.8181818181818182,0.9
VAST,SentenTree,20.0,10.0,10.0,9.0,0.9,1.0,0.9,0.9,0.9
VAST,SentenTree,25.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
career,CoreFlow,20.0,9.0,9.0,9.0,1.0,0.0,1.0,1.0,1.0
career,SentenTree,25.0,10.0,11.0,10.0,1.0,1.0,0.9090909090909091,1.0,0.9523809523809523
career,Sequence Synopsis,5.0,50.0,22.0,22.0,0.44,0.0,1.0,0.44,0.6111111111111112
career,Sequence Synopsis,10.0,36.0,35.0,35.0,0.9722222222222222,0.0,1.0,0.9722222222222222,0.9859154929577464
career,Sequence Synopsis,15.0,49.0,14.0,14.0,0.2857142857142857,0.0,1.0,0.2857142857142857,0.4444444444444445
career,Sequence Synopsis,25.0,50.0,9.0,9.0,0.18,0.0,1.0,0.18,0.3050847457627119
career,Sequence Synopsis,30.0,40.0,15.0,15.0,0.375,0.0,1.0,0.375,0.5454545454545454
chicago_baseball,CoreFlow,15.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,CoreFlow,25.0,6.0,6.0,6.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,SentenTree,15.0,11.0,10.0,9.0,0.8181818181818182,1.0,0.9,0.8181818181818182,0.8571428571428572
chicago_baseball,SentenTree,20.0,9.0,8.0,7.0,0.7777777777777778,1.0,0.875,0.7777777777777778,0.823529411764706
