dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,10.0,11.0,11.0,11.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,18.0,16.0,15.0,0.8333333333333334,1.0,0.9375,0.8333333333333334,0.8823529411764706
VAST,SentenTree,10.0,16.0,16.0,12.0,0.75,4.0,0.75,0.75,0.75
VAST,Sequence Synopsis,20.0,83.0,69.0,65.0,0.7831325301204819,4.0,0.9420289855072463,0.7831325301204819,0.8552631578947367
VAST,Sequence Synopsis,25.0,71.0,65.0,61.0,0.8591549295774648,4.0,0.9384615384615385,0.8591549295774648,0.8970588235294118
career,CoreFlow,15.0,13.0,12.0,12.0,0.9230769230769231,0.0,1.0,0.9230769230769231,0.9600000000000001
career,SentenTree,15.0,15.0,13.0,9.0,0.6,4.0,0.6923076923076923,0.6,0.6428571428571429
career,SentenTree,20.0,12.0,12.0,12.0,1.0,0.0,1.0,1.0,1.0
chicago_baseball,CoreFlow,10.0,12.0,11.0,11.0,0.9166666666666666,0.0,1.0,0.9166666666666666,0.9565217391304348
chicago_baseball,SentenTree,10.0,13.0,12.0,11.0,0.8461538461538461,1.0,0.9166666666666666,0.8461538461538461,0.8799999999999999
emergency_dataset,CoreFlow,5.0,11.0,10.0,9.0,0.8181818181818182,1.0,0.9,0.8181818181818182,0.8571428571428572
emergency_dataset,SentenTree,5.0,14.0,12.0,9.0,0.6428571428571429,3.0,0.75,0.6428571428571429,0.6923076923076924
emergency_dataset,SentenTree,10.0,12.0,11.0,9.0,0.75,2.0,0.8181818181818182,0.75,0.7826086956521738
emergency_dataset,SentenTree,15.0,12.0,11.0,10.0,0.8333333333333334,1.0,0.9090909090909091,0.8333333333333334,0.8695652173913043
pediatric_trauma,CoreFlow,15.0,11.0,10.0,10.0,0.9090909090909091,0.0,1.0,0.9090909090909091,0.9523809523809523
pediatric_trauma,SentenTree,10.0,18.0,16.0,9.0,0.5,7.0,0.5625,0.5,0.5294117647058824
pediatric_trauma,Sequence Synopsis,5.0,63.0,57.0,57.0,0.9047619047619048,0.0,1.0,0.9047619047619048,0.9500000000000001
pediatric_trauma,Sequence Synopsis,15.0,45.0,33.0,32.0,0.7111111111111111,1.0,0.9696969696969697,0.7111111111111111,0.8205128205128205
pediatric_trauma,Sequence Synopsis,20.0,58.0,47.0,47.0,0.8103448275862069,0.0,1.0,0.8103448275862069,0.8952380952380952
process_mining,CoreFlow,10.0,13.0,12.0,11.0,0.8461538461538461,1.0,0.9166666666666666,0.8461538461538461,0.8799999999999999
process_mining,SentenTree,5.0,20.0,19.0,17.0,0.85,2.0,0.8947368421052632,0.85,0.8717948717948718
process_mining,SentenTree,10.0,13.0,13.0,13.0,1.0,0.0,1.0,1.0,1.0
process_mining,Sequence Synopsis,5.0,33.0,31.0,31.0,0.9393939393939394,0.0,1.0,0.9393939393939394,0.96875
process_mining,Sequence Synopsis,10.0,33.0,24.0,24.0,0.7272727272727273,0.0,1.0,0.7272727272727273,0.8421052631578948
process_mining,Sequence Synopsis,15.0,33.0,22.0,22.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.8
process_mining,Sequence Synopsis,20.0,33.0,31.0,31.0,0.9393939393939394,0.0,1.0,0.9393939393939394,0.96875
process_mining,Sequence Synopsis,25.0,33.0,31.0,31.0,0.9393939393939394,0.0,1.0,0.9393939393939394,0.96875
process_mining,Sequence Synopsis,30.0,33.0,32.0,30.0,0.9090909090909091,2.0,0.9375,0.9090909090909091,0.923076923076923
umdvsunc_D2O_basketball,CoreFlow,10.0,15.0,13.0,13.0,0.8666666666666667,0.0,1.0,0.8666666666666667,0.9285714285714286
umdvsunc_D2O_basketball,SentenTree,10.0,20.0,18.0,13.0,0.65,5.0,0.7222222222222222,0.65,0.6842105263157895
umdvsunc_D2O_basketball,Sequence Synopsis,5.0,40.0,36.0,36.0,0.9,0.0,1.0,0.9,0.9473684210526316
umdvsunc_D2O_basketball,Sequence Synopsis,30.0,40.0,33.0,33.0,0.825,0.0,1.0,0.825,0.9041095890410958
vast_1000,SentenTree,10.0,13.0,11.0,10.0,0.7692307692307693,1.0,0.9090909090909091,0.7692307692307693,0.8333333333333333
