dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,10.0,11.0,11.0,11.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,10.0,10.0,9.0,8.0,0.8,1.0,0.8888888888888888,0.8,0.8421052631578948
VAST,SentenTree,10.0,16.0,16.0,12.0,0.75,4.0,0.75,0.75,0.75
career,CoreFlow,15.0,13.0,12.0,12.0,0.9230769230769231,0.0,1.0,0.9230769230769231,0.9600000000000001
career,SentenTree,15.0,15.0,13.0,9.0,0.6,4.0,0.6923076923076923,0.6,0.6428571428571429
career,SentenTree,20.0,12.0,12.0,12.0,1.0,0.0,1.0,1.0,1.0
career,SentenTree,25.0,10.0,11.0,10.0,1.0,1.0,0.9090909090909091,1.0,0.9523809523809523
career,Sequence Synopsis,5.0,50.0,22.0,22.0,0.44,0.0,1.0,0.44,0.6111111111111112
career,Sequence Synopsis,10.0,36.0,35.0,35.0,0.9722222222222222,0.0,1.0,0.9722222222222222,0.9859154929577464
career,Sequence Synopsis,15.0,49.0,14.0,14.0,0.2857142857142857,0.0,1.0,0.2857142857142857,0.4444444444444445
career,Sequence Synopsis,25.0,50.0,9.0,9.0,0.18,0.0,1.0,0.18,0.3050847457627119
career,Sequence Synopsis,30.0,40.0,15.0,15.0,0.375,0.0,1.0,0.375,0.5454545454545454
chicago_baseball,CoreFlow,10.0,12.0,11.0,11.0,0.9166666666666666,0.0,1.0,0.9166666666666666,0.9565217391304348
chicago_baseball,SentenTree,10.0,13.0,12.0,11.0,0.8461538461538461,1.0,0.9166666666666666,0.8461538461538461,0.8799999999999999
emergency_dataset,CoreFlow,5.0,11.0,10.0,9.0,0.8181818181818182,1.0,0.9,0.8181818181818182,0.8571428571428572
emergency_dataset,SentenTree,5.0,14.0,12.0,9.0,0.6428571428571429,3.0,0.75,0.6428571428571429,0.6923076923076924
emergency_dataset,SentenTree,10.0,12.0,11.0,9.0,0.75,2.0,0.8181818181818182,0.75,0.7826086956521738
emergency_dataset,SentenTree,15.0,12.0,11.0,10.0,0.8333333333333334,1.0,0.9090909090909091,0.8333333333333334,0.8695652173913043
pediatric_trauma,CoreFlow,15.0,11.0,10.0,10.0,0.9090909090909091,0.0,1.0,0.9090909090909091,0.9523809523809523
pediatric_trauma,SentenTree,10.0,18.0,16.0,9.0,0.5,7.0,0.5625,0.5,0.5294117647058824
pediatric_trauma,Sequence Synopsis,15.0,45.0,33.0,32.0,0.7111111111111111,1.0,0.9696969696969697,0.7111111111111111,0.8205128205128205
pediatric_trauma,Sequence Synopsis,25.0,40.0,40.0,40.0,1.0,0.0,1.0,1.0,1.0
pediatric_trauma,Sequence Synopsis,30.0,36.0,34.0,34.0,0.9444444444444444,0.0,1.0,0.9444444444444444,0.9714285714285714
process_mining,CoreFlow,10.0,13.0,12.0,11.0,0.8461538461538461,1.0,0.9166666666666666,0.8461538461538461,0.8799999999999999
process_mining,SentenTree,10.0,13.0,13.0,13.0,1.0,0.0,1.0,1.0,1.0
umdvsunc_D2O_basketball,CoreFlow,10.0,15.0,13.0,13.0,0.8666666666666667,0.0,1.0,0.8666666666666667,0.9285714285714286
umdvsunc_D2O_basketball,SentenTree,10.0,20.0,18.0,13.0,0.65,5.0,0.7222222222222222,0.65,0.6842105263157895
umdvsunc_D2O_basketball,Sequence Synopsis,5.0,40.0,36.0,36.0,0.9,0.0,1.0,0.9,0.9473684210526316
umdvsunc_D2O_basketball,Sequence Synopsis,10.0,35.0,35.0,35.0,1.0,0.0,1.0,1.0,1.0
umdvsunc_D2O_basketball,Sequence Synopsis,30.0,40.0,33.0,33.0,0.825,0.0,1.0,0.825,0.9041095890410958
vast_1000,SentenTree,10.0,13.0,11.0,10.0,0.7692307692307693,1.0,0.9090909090909091,0.7692307692307693,0.8333333333333333
